[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.30000000000000E+003 0.41587069596473E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549808E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.42572028987537E-032 0.00000000000000E+000
   2 -.46123553246360E+000 -.12518346995149E-029 0.15322285306382E-030 0.96616216606133E-030 -.77691534896632E-035 -.19211313797375E-031 -.19026551426359E-029 -.22880687568218E-030 -.15335715737394E-029 -.13689801416267E-035 -.12574153984617E-030 0.10000000000000E+001 -.11067561248453E-039 -.58656289429720E-030 -.94101582279009E-034 -.21929639516166E-048 0.27078189025563E-058 -.75461652683582E-056 0.35815471968673E-039 0.88887771465591E-031 0.39936560449882E-030 0.10574973244380E-063 -.18709098530821E-014 0.55276004466942E-115 0.30000000000000E+003 0.38243265999727E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549809E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.53093869764470E-028 0.00000000000000E+000
   3 -.42247159152646E+000 -.24561355129598E-029 0.10736386249360E-029 0.12372510675802E-029 0.68277803840564E-036 -.14882142188501E-031 0.17970837427167E-029 -.32095677974808E-029 0.47882608522202E-029 0.64083295627573E-036 -.12751835545185E-030 0.10000000000000E+001 -.10687487030287E-039 -.20940307583824E-029 0.29666731340362E-035 -.21176203210652E-048 0.17736227362792E-055 0.45458648405512E-055 0.23585690358301E-039 0.92140635779616E-031 0.44310088044273E-029 -.27069781651925E-059 0.98515255833116E-015 -.78028610893864E-107 0.29999999999999E+003 0.34899564872459E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549810E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999999E+003 0.29854814127105E-026 0.00000000000000E+000
   4 -.38370949981607E+000 0.22664118921314E-029 0.88782503893904E-030 -.16242739999958E-029 0.68278102531657E-036 0.10825638920609E-031 -.71123817079529E-030 -.24711479746470E-029 0.57735328287643E-029 -.57555625352481E-035 -.93610965023941E-030 0.10000000000000E+001 -.94557330465810E-040 0.49717963262311E-029 0.87777012988480E-035 -.18735157254160E-048 -.13347862249346E-055 0.12985481953258E-054 -.14648857870821E-038 -.34104096817885E-030 0.76708567011242E-029 -.23491256516896E-058 0.27079548833871E-014 0.10124363278487E-098 0.30000000000000E+003 0.31556142602171E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549807E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.48306573997856E-026 0.00000000000000E+000
   5 -.34495202437166E+000 0.10384761434832E-029 0.17807348509551E-029 -.43446729371452E-030 0.68278780860156E-036 -.11115745982302E-031 -.45543178477809E-029 -.44633484033631E-029 -.10672770635915E-029 0.21275167434031E-036 -.82091361489004E-030 0.10000000000000E+001 -.80929060011349E-040 0.63159685079540E-029 0.87777758738606E-035 -.16034345704720E-048 -.13347997324882E-055 0.12860928668048E-054 -.30782071968283E-038 -.63050025245414E-030 -.49943535666493E-030 -.27520461303648E-058 0.11468513076972E-014 -.11980627431690E-090 0.29999999999998E+003 0.28213281629308E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549812E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999998E+003 0.98780456832679E-027 0.00000000000000E+000
   6 -.30620294673183E+000 -.14439828816809E-029 0.16373710350595E-029 -.23039875938610E-029 0.68278079965670E-036 -.32143045606885E-031 -.16042892572021E-029 -.86382053031014E-029 0.15795389383656E-029 -.16139881500617E-035 -.14133715073023E-029 0.10000000000000E+001 -.65677266202355E-040 -.96205824644043E-030 0.87776716359583E-035 -.13011789025205E-048 -.13347862829403E-055 0.12736875357087E-054 -.43076425304295E-038 -.84150334115272E-030 0.32536663494790E-029 0.18378121697989E-058 0.37445431670966E-014 0.12808489466346E-082 0.29999999999998E+003 0.24871307118863E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549813E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999998E+003 0.18285914495105E-029 0.37690380765598E-036
   7 -.26746602453423E+000 -.22555896008845E-029 0.12162947934178E-029 -.81620370689968E-030 0.68266088283734E-036 -.44875410584272E-031 -.44437655089295E-029 -.60323300083452E-029 0.58142652902465E-030 0.30027166897292E-035 -.98197037823113E-030 0.10000000000000E+001 -.48365054279489E-040 0.10499932874408E-029 0.87761139814042E-035 -.95809054982276E-049 -.13345523853793E-055 0.12600513342691E-054 -.46939216035249E-038 -.10462106513300E-029 0.78201153711493E-029 0.67257552040522E-058 0.33095555326779E-014 -.12230188577954E-074 0.30000000000000E+003 0.21531200529913E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549809E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.14130485348029E-025 0.00000000000000E+000
   8 -.22876025595139E+000 0.47801112364227E-028 -.71412157354925E-029 -.52131107876490E-028 0.68215495875684E-036 0.24127373948765E-030 0.17778818937635E-027 -.13766640621988E-027 0.14533940604462E-027 -.11635639782708E-033 -.88599648680243E-028 0.99999999999999E+000 -.28402185626722E-040 0.11925483731845E-027 0.87695914844262E-035 -.56339686482269E-049 0.25702520773768E-054 -.60479786625676E-052 -.12020654275915E-036 -.19946819262833E-028 -.33630038267661E-028 -.18958960444692E-056 0.76065827995730E-014 0.10278585089238E-066 0.29999999999997E+003 0.18199756164544E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057308E+004 0.10000000000000E+006 0.64317894549814E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999997E+003 0.10796590793620E-024 0.10423534864354E-029
   9 -.19022417342295E+000 0.20031880741422E-026 -.28137806809042E-028 -.18966839422028E-026 0.78536236065475E-037 -.46933295451157E-028 -.21277605433508E-026 0.17446193829646E-026 -.48835629692402E-027 -.34239735271742E-032 0.43830506143361E-025 0.10000000000001E+001 -.51110050986611E-041 -.25471951604354E-026 0.87525248316823E-035 0.88616482693361E-044 -.25739202044824E-046 0.55991696915608E-044 -.25628642591872E-033 -.46010376399811E-025 -.40073435233877E-027 -.35617101492561E-054 -.62169207896342E-013 -.74420910471148E-059 0.30000000000011E+003 0.14908309309231E+000 -.46458389572342E+004 0.10000000000000E+001 0.13411522057309E+004 0.10000000000000E+006 0.64317894549783E-003 0.16043080000000E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000011E+003 -.42574600133436E-032 0.74804192950937E-027
  10 -.15244577488674E+000 0.20772927101404E-025 -.21516692311257E-026 -.36292102514693E-025 0.47342825420418E-026 -.26729966105230E-027 -.58091141593802E-025 0.10826013972304E-025 0.48332165625353E-025 0.95648258249178E-031 0.13042049926150E-023 0.99999999999919E+000 0.21968120009849E-040 0.36951762455626E-025 0.87194630595452E-035 -.70528007825808E-036 -.44248506726114E-043 -.44050457774282E-036 -.68926174518917E-032 -.12637452463228E-023 -.49173748032085E-025 0.17514291370875E-046 0.81466713112302E-012 0.44669694595749E-051 0.30000000034877E+003 0.11749951655220E+000 -.46458389564530E+004 0.10000000000000E+001 0.13411522059629E+004 0.10000000000000E+006 0.64317894475056E-003 0.16043080000006E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000034877E+003 0.45068036559070E-021 0.15288549393743E-023
  11 -.11699545784101E+000 0.53409898034802E-023 0.65322042239248E-024 0.99845813014692E-025 -.54472124334434E-018 -.27686652581253E-025 0.48906281299936E-023 -.11858666566659E-022 0.52362317685110E-024 -.13853441030335E-029 0.11076258065227E-022 0.10000000054868E+001 0.15825472422733E-037 -.28202414869244E-023 -.25328310003567E-035 0.43177196475072E-028 0.96615592040115E-040 0.26072258080953E-028 -.54060682989766E-031 -.10295871937855E-022 0.97989064127053E-024 -.79575822297830E-039 -.54867828480945E-008 -.20651947811141E-043 0.30000000980554E+003 0.89080106408552E-001 -.46458389608785E+004 0.99999999999988E+000 0.13411522135499E+004 0.10000000000000E+006 0.64317892296774E-003 0.16043079962386E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000980554E+003 -.56047297610491E-023 0.13653270047546E-020
  12 -.86553396977128E-001 0.10452304701647E-020 0.38699896423052E-022 0.22550936419162E-022 0.39064538900160E-011 0.16389722197685E-023 0.43759595411953E-021 0.39847619267054E-020 0.25623886194664E-021 -.63052261358473E-027 -.18570787333313E-021 0.99999982573202E+000 -.48479889889847E-030 0.15564535187997E-021 0.46079474756476E-027 0.11545851670585E-022 -.53938371091909E-032 0.68769697872229E-023 -.77348920433992E-030 -.87148906210551E-023 0.90022100989157E-022 0.24858094518062E-031 0.17426407571297E-006 0.64352779529816E-036 0.29999961706671E+003 0.66122880820465E-001 -.46458390008513E+004 0.10000000000029E+001 0.13411519037779E+004 0.10000000000000E+006 0.64317981437638E-003 0.16043081194667E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999961706671E+003 0.72523595454557E-018 0.29264506558218E-017
