[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i    x(i)                 H2                    H                     O                     O2                    OH                    H2O                   HO2                   CH2                   CH2(S)                CH3                   CH4                   CO                    CO2                   HCO                   CH2O                  CH3O                  C2H4                  C2H5                  C2H6                  N                     NO                    N2                    AR                    Temp                  Massflow              Enthalpy              MixFrac               Stretch               Press                 Density               MeanMass              Surface               Porosity              Tsolid                HeatRel               Dissipation
  11 -.14734192228947E+000 0.20964442530048E-003 0.22227584378723E-013 0.18474089864683E-017 0.16215656942694E-004 0.84449251860625E-013 0.12804870406212E-002 0.47985014047555E-008 0.35036821018495E-016 0.41970333339090E-021 0.91706437298978E-008 0.99411909314147E+000 0.34135581418580E-003 0.25842874731428E-003 0.11364442304196E-013 0.78070247252062E-007 0.94464685959449E-009 0.46973899300510E-004 0.24817059587083E-008 0.27382913793695E-005 0.22107339884721E-015 0.19504984073953E-007 0.37249480126384E-002 0.33633664968035E-020 0.30798567913807E+003 0.97577490630919E-002 -.46214135971832E+004 0.10000000000013E+001 0.13497882595644E+003 0.10000000000000E+006 0.62688624743233E-003 0.16052916270503E+002 0.10000000000000E+001 0.10000000000000E+001 0.30798567913807E+003 0.17368016440070E-005 0.23162373251637E-019
  12 -.14276361325596E+000 0.23637191441392E-003 0.25170810561395E-013 0.23105840684092E-017 0.22527496883382E-004 0.15329550731219E-012 0.17554965979619E-002 0.66840806251918E-008 0.50756332807561E-016 0.10662207205940E-020 0.12715793063938E-007 0.99187168614611E+000 0.47660435934991E-003 0.39394586510168E-003 0.15444303192269E-013 0.12112165387722E-006 0.14513407213462E-008 0.71939094062929E-004 0.39101128542030E-008 0.43250080001855E-005 0.28576627007319E-015 0.27258664567071E-007 0.51669303762740E-002 0.44164437230820E-020 0.31079619138022E+003 0.94086527397088E-002 -.46127478681089E+004 0.10000000000023E+001 0.13529979918807E+003 0.10000000000000E+006 0.62161586530793E-003 0.16063214307918E+002 0.10000000000000E+001 0.10000000000000E+001 0.31079619138022E+003 0.32849947490854E-005 0.23982647507911E-019
  13 -.13904043268898E+000 0.25992686419792E-003 0.28097184128018E-013 0.27363850568298E-017 0.29121743044136E-004 0.24136270102648E-012 0.22457321787120E-002 0.86614961115323E-008 0.68738327603460E-016 0.21899289447139E-020 0.16432581747592E-007 0.98951752662424E+000 0.61855980052415E-003 0.54737464144226E-003 0.19863463216958E-013 0.17059642354374E-006 0.20258153702391E-008 0.10032069173624E-003 0.55749022480622E-008 0.61780702929226E-005 0.34944132614695E-015 0.35402330871907E-007 0.66750206919749E-002 0.52121016577127E-020 0.31366609370194E+003 0.91200557538984E-002 -.46038311414900E+004 0.10000000000031E+001 0.13563331239338E+003 0.10000000000000E+006 0.61636571092410E-003 0.16074620216857E+002 0.10000000000000E+001 0.10000000000000E+001 0.31366609370194E+003 0.53959177231714E-005 0.24700112953736E-019
  14 -.13585935627197E+000 0.28137824974272E-003 0.31102959588890E-013 0.31314923564092E-017 0.35985926910804E-004 0.34766500254712E-012 0.27509358140555E-002 0.10727525700816E-007 0.89280004197447E-016 0.39382317290890E-020 0.20321632309205E-007 0.98705883103161E+000 0.76689162628469E-003 0.71767330540840E-003 0.24722928797142E-013 0.22616246939164E-006 0.26625679155305E-008 0.13192822743899E-003 0.74664243545097E-008 0.82868073621251E-005 0.41270752012640E-015 0.43915888215708E-007 0.82477777542754E-002 0.57618081833471E-020 0.31659956439096E+003 0.88713749111512E-002 -.45946505051570E+004 0.10000000000038E+001 0.13597898068058E+003 0.10000000000000E+006 0.61112479980107E-003 0.16086993861326E+002 0.10000000000000E+001 0.10000000000000E+001 0.31659956439096E+003 0.81147155967543E-005 0.25296651609701E-019
  15 -.13305534336009E+000 0.30131519313382E-003 0.34244748570835E-013 0.34999032414340E-017 0.43106212735222E-004 0.47103295324893E-012 0.32704898830419E-002 0.12878665916284E-007 0.11267212016718E-015 0.64635689165426E-020 0.24382074295151E-007 0.98449905281281E+000 0.92126501741046E-003 0.90404713474481E-003 0.30097560961367E-013 0.28756765340285E-006 0.33570598478340E-008 0.16661709194115E-003 0.95776051383067E-008 0.10643365158849E-004 0.47589171247743E-015 0.52779322668483E-007 0.98830727461026E-002 0.66359893179924E-020 0.31959702980309E+003 0.86512307767455E-002 -.45852044301825E+004 0.10000000000044E+001 0.13633625476571E+003 0.10000000000000E+006 0.60589183830659E-003 0.16100246007173E+002 0.10000000000000E+001 0.10000000000000E+001 0.31959702980309E+003 0.11484070533225E-004 0.25741966409402E-019
  16 -.13052931401462E+000 0.32010638852947E-003 0.37562305540085E-013 0.38444845030323E-017 0.50471179197318E-004 0.61021951216764E-012 0.38038218199028E-002 0.15112206542102E-007 0.13920718098027E-015 0.99224760284811E-020 0.28614069991013E-007 0.98184114431044E+000 0.10814102929573E-002 0.11059035962417E-002 0.36046399329354E-013 0.35462449952302E-006 0.41055145702555E-008 0.20428006814053E-003 0.11903467693551E-007 0.13242179182771E-004 0.53920529198451E-015 0.61976534027883E-007 0.11579143828431E-001 0.72621014838376E-020 0.32265826135252E+003 0.84525708318490E-002 -.45754931002026E+004 0.10000000000049E+001 0.13670466681790E+003 0.10000000000000E+006 0.60066793495388E-003 0.16114317389463E+002 0.10000000000000E+001 0.10000000000000E+001 0.32265826135252E+003 0.15545701399082E-004 0.26021947930129E-019
  17 -.12821671221453E+000 0.33800107871131E-003 0.41087635873345E-013 0.41675037809661E-017 0.58071718593068E-004 0.76395692363233E-012 0.43504494708130E-002 0.17426180611309E-007 0.16917916775098E-015 0.14475075092925E-019 0.33018974201181E-007 0.97908742239639E+000 0.12471156490993E-002 0.13227957545038E-002 0.42618106191423E-013 0.42719211530040E-006 0.49046849174663E-008 0.24483687474905E-003 0.14440563027078E-007 0.16079345214290E-004 0.60279961014317E-015 0.71494851558200E-007 0.13334659233707E-001 0.78486508322712E-020 0.32578298661947E+003 0.82706870500119E-002 -.45655165197344E+004 0.10000000000054E+001 0.13708384504787E+003 0.10000000000000E+006 0.59545489721115E-003 0.16129167308190E+002 0.10000000000000E+001 0.10000000000000E+001 0.32578298661947E+003 0.20341142984733E-004 0.26160543981330E-019
  18 -.12607286622785E+000 0.35517784226960E-003 0.44849766791428E-013 0.44708860567484E-017 0.65900926368015E-004 0.93100051416484E-012 0.49099994188229E-002 0.19819325086951E-007 0.20288390626187E-015 0.20285214107733E-019 0.37599415163142E-007 0.97623952016185E+000 0.14182222396972E-002 0.15543935256787E-002 0.49855167851532E-013 0.50516725607036E-006 0.57517295811940E-008 0.28822889702024E-003 0.17186702817315E-007 0.19152324036410E-004 0.66679353017722E-015 0.81324715827840E-007 0.15148737814089E-001 0.83597692866475E-020 0.32897118530721E+003 0.81022532594089E-002 -.45552736082857E+004 0.10000000000058E+001 0.13747351677376E+003 0.10000000000000E+006 0.59025445669364E-003 0.16144768038082E+002 0.10000000000000E+001 0.10000000000000E+001 0.32897118530721E+003 0.25912561851895E-004 0.26131381647891E-019
  19 -.12406525180546E+000 0.37177185416037E-003 0.48877980961674E-013 0.47563705514234E-017 0.73954582542263E-004 0.11101743265860E-011 0.54822550912389E-002 0.22291230257309E-007 0.24062296627635E-015 0.27521765453173E-019 0.42359696883668E-007 0.97329815779372E+000 0.15946334202653E-002 0.18004863361053E-002 0.57797979936773E-013 0.58848588100627E-006 0.66442056536726E-008 0.33441979474962E-003 0.20141054547771E-007 0.22460049431140E-004 0.73129327894699E-015 0.91460188925042E-007 0.17021089694312E-001 0.91008814303899E-020 0.33222347624408E+003 0.79448182377959E-002 -.45447609691311E+004 0.10000000000063E+001 0.13787353645703E+003 0.10000000000000E+006 0.58506754137632E-003 0.16161102997505E+002 0.10000000000000E+001 0.10000000000000E+001 0.33222347624408E+003 0.32304085763330E-004 0.25939635171040E-019
  20 -.12216945395276E+000 0.38788806712543E-003 0.53203548625910E-013 0.50255580372836E-017 0.82230236089126E-004 0.13003767110018E-011 0.60670989130161E-002 0.24842066110320E-007 0.28270222712632E-015 0.36359440514977E-019 0.47305374870999E-007 0.97026343934033E+000 0.17762940574333E-002 0.20609508772009E-002 0.66487212158961E-013 0.67711286143010E-006 0.75799327698696E-008 0.38338956018356E-003 0.23303814890498E-007 0.26002562269452E-004 0.79639439137551E-015 0.10189775228925E-006 0.18951824343132E-001 0.98399509124763E-020 0.33554086158570E+003 0.77965236570152E-002 -.45339737078859E+004 0.10000000000066E+001 0.13828384229064E+003 0.10000000000000E+006 0.57989468232600E-003 0.16178163371393E+002 0.10000000000000E+001 0.10000000000000E+001 0.33554086158570E+003 0.39562159349279E-004 0.25628879862386E-019
