[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46259869599359E+000 -.31745527068070E-040 -.10633915892007E-037 -.20659953187652E-031 -.83034196140912E-033 0.11024773927927E-032 0.20387789181821E-031 0.28574447928062E-037 -.33152434669619E-046 0.98360893338022E-052 0.41874561843861E-031 -.41876316615546E-031 0.12626092352656E-045 0.91298569271602E-058 -.93108589152235E-046 0.17570178406397E-035 -.22461553343767E-038 0.87663726848438E-043 -.87663726857531E-043 0.91047395860277E-053 -.82855861527582E-033 0.82855861527582E-033 0.27994311719347E-058 0.00000000000000E+000 0.10750592518196E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42522487777458E+000 -.22684358048386E-034 -.22662082999563E-033 -.52004355267726E-027 -.48345043481788E-031 0.42576200026991E-029 0.51583402427402E-027 0.25344402418810E-033 -.68102051765700E-043 -.29145708608713E-044 0.10358294626831E-026 -.10358775542826E-026 0.34573460235895E-042 0.18753423428404E-050 -.27521698455781E-042 0.48095722462369E-031 -.41230056485716E-035 0.16829699416253E-039 -.16829699418320E-039 0.88046199726719E-047 0.12540787957097E-062 0.12540787957097E-062 -.12540787957097E-062 0.00000000000000E+000 0.24705351666902E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38794437035577E+000 -.16399823629642E-029 -.29056027768870E-029 -.17932464939508E-023 -.22463516896589E-027 -.37333682771954E-024 0.21668034082649E-023 0.45485743182655E-029 0.26922371214882E-046 0.11686913557738E-040 0.39598281756385E-023 -.39600482622332E-023 0.25312154040905E-039 0.85552142732687E-044 -.25311991585895E-039 0.22008958368147E-027 -.29889808722131E-032 0.12811756969719E-036 -.12811757430659E-036 0.18403382611713E-039 0.43243906080117E-059 0.43243906080117E-059 -.43243906080117E-059 0.00000000000000E+000 0.10835578349316E-018 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.35096254832704E+000 -.26317410564793E-025 -.23106525931844E-025 -.13798715746376E-020 -.58833207448823E-023 -.29532108819873E-020 0.43389163521879E-020 0.49424022870775E-025 0.14290485045736E-038 0.62033529089837E-033 0.57129277093068E-020 -.57187616074457E-020 -.13426670578835E-032 0.13426670576715E-032 0.75598612720353E-037 0.58338976179898E-023 0.26171080374442E-030 0.50730764543280E-034 -.50730025609260E-034 0.12930917048170E-030 0.33275227158601E-056 0.33275214045916E-056 -.33275220602259E-056 0.00000000000000E+000 0.24400182186305E-015 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.31483846750186E+000 -.23137944179506E-021 -.90731729611734E-022 -.29420429428106E-018 -.38583027587889E-019 -.62373712269292E-017 0.65696909292963E-017 0.46600848993337E-021 -.20466820484890E-027 -.10395272800761E-028 0.68255250348669E-017 -.68636546565562E-017 -.16336107776067E-025 0.19703933860945E-025 0.21776523596347E-026 0.38268478587213E-019 -.14987372670132E-021 0.34446989951847E-027 -.53598592655660E-027 0.55059406840071E-023 0.71443489028445E-054 0.70438326191844E-054 -.70940907610145E-054 0.00000000000000E+000 0.39684112676628E-012 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.28110248215127E+000 -.79698496723788E-018 -.10290849586072E-018 -.18933817279078E-016 -.10786316943276E-015 -.40498203550458E-014 0.41154062257555E-014 0.61149486795862E-016 -.14905271060689E-022 -.77324912289830E-024 0.40819485903512E-014 -.41316719516275E-014 -.54075542297993E-020 0.90975243525499E-020 -.10395069908557E-022 0.10876086023600E-015 -.61998325492255E-016 0.13498528625567E-020 -.18401801672987E-020 0.14790716453246E-017 0.41148828194572E-051 -.32203485291626E-051 -.44726714514727E-052 0.00000000000000E+000 0.26356935488445E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.25419722992427E+000 -.43784028894070E-015 -.25594915924178E-016 -.75630455076680E-015 -.18308098082928E-012 -.54694507390973E-012 0.65859736031295E-012 0.72030259251085E-013 -.25946197277679E-019 -.13559401857321E-020 0.53164712281823E-012 -.65114888798087E-012 -.70239486399051E-017 0.10670796220107E-015 -.11714367659537E-018 0.18992655983095E-012 -.78927373359112E-013 0.63591476634205E-017 -.83260848836941E-017 0.42034864987470E-014 0.49045143496814E-048 -.48899857368310E-048 -.72643064251913E-051 0.00000000000000E+000 0.75697024880688E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.23801142614917E+000 -.23668194865381E-013 -.10461591524387E-014 -.20415263152233E-013 -.10838600564913E-010 -.10326156527735E-010 0.18554042195302E-010 0.26017219161263E-011 -.18862376720599E-017 -.99555436051929E-019 0.88754890284961E-011 -.17634017899181E-010 0.17971284045302E-013 0.27566861622957E-013 -.18936955295017E-016 0.11563340279057E-010 -.33701394562358E-011 0.11690091622831E-014 -.10035437501329E-014 0.25973994705962E-012 0.25895976796613E-046 -.25889528527255E-046 -.32241346792506E-050 0.00000000000000E+000 0.35913817326348E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.22945529915084E+000 -.18689443244046E-012 -.10207727569486E-013 -.12248710494719E-012 -.80696147229229E-010 -.44389819201724E-010 0.10982012355860E-009 0.14924990294350E-010 -.19587260411949E-016 -.10502810410950E-017 0.28712914677112E-010 -.98225641833231E-010 0.55156491773019E-012 0.45203747391166E-012 -.29853188600583E-015 0.88527408881117E-010 -.23748253596962E-010 0.20688929636651E-013 -.13196429847708E-013 0.18576518250854E-011 0.24765913191417E-045 -.24764561485079E-045 -.67585316904158E-050 0.00000000000000E+000 0.26996060471201E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.22447867695856E+000 -.57324410571512E-012 -.41265362460432E-013 -.33752773059094E-012 -.24052761762893E-009 -.91150933817197E-010 0.29375092477803E-009 0.36213358001794E-010 -.72975546499649E-016 -.39957505802856E-017 0.31178785426528E-010 -.24641157951694E-009 0.32607320037709E-011 0.20205934451447E-011 -.14450945827907E-014 0.26897649691923E-009 -.69910914694668E-010 0.10065275784801E-012 -.53870971384307E-013 0.53969224549439E-011 0.11219184418293E-044 -.11218978601448E-044 -.10290842240245E-049 0.00000000000000E+000 0.83246018012624E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
