[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.49990805900602E+000 0.62630308253854E-011 -.26588090754123E-006 -.39671610618154E-009 -.35957578030827E-006 -.21525362719668E-007 0.36520166629915E-007 0.34450530249851E-006 -.50797249295979E-009 -.71437204324643E-010 -.12095982323032E-008 -.26036268624072E-007 0.56572819611900E-008 0.36034751985211E-009 -.23280064263133E-008 0.89059929812626E-007 -.77567032571743E-007 0.21870724678206E-008 -.21359177064669E-008 0.62702233676706E-008 -.11263121178389E-020 0.11225354735927E-020 0.18883221231293E-023 0.00000000000000E+000 0.74372512710138E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.49981431447092E+000 0.24142194317191E-010 -.49954324203039E-006 -.15326895861947E-008 -.67900582917598E-006 -.39218277672861E-007 0.96223279904559E-007 0.62169052219883E-006 -.78371253468108E-009 -.73574382642412E-010 -.50427215181073E-007 -.55684084632344E-007 0.14701420777305E-007 0.14373723445650E-008 -.30562267885120E-008 0.17335485605978E-006 -.12871649342893E-006 0.47240665283750E-008 -.45098659268120E-008 0.24409628281698E-007 -.28199424477174E-020 0.28050771633899E-020 0.74326421637760E-023 0.00000000000000E+000 0.15555688786866E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.49971745603902E+000 0.53584549348010E-010 -.71523124039782E-006 -.33667941981926E-008 -.97667206159814E-006 -.53876461999561E-007 0.17894891408247E-006 0.85089337303712E-006 -.91544440637084E-009 -.72776628101654E-010 -.14451668688270E-006 -.89941800095280E-007 0.28256980383270E-007 0.32544587630955E-008 -.33046682754845E-008 0.25472657125806E-006 -.15633608165473E-006 0.76769913822445E-008 -.71684460681028E-008 0.53916178454979E-007 -.52064368585542E-020 0.51732330083015E-020 0.16601925126334E-022 0.00000000000000E+000 0.24631705727863E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.49961707047452E+000 0.95773536304733E-010 -.92160062851325E-006 -.58727760255596E-008 -.12633366032572E-005 -.66153527993466E-007 0.28469946046252E-006 0.10435396839789E-005 -.96393769256726E-009 -.71936273253769E-010 -.28116552083396E-006 -.12964115144013E-006 0.46657058600002E-007 0.58451260898034E-008 -.34073521464377E-008 0.33402408299395E-006 -.16204335951407E-006 0.11097940507114E-007 -.10141095789194E-007 0.94426650390407E-007 -.84350241810444E-020 0.83762104375857E-020 0.29406871729358E-022 0.00000000000000E+000 0.34819865647502E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.49951316345781E+000 0.15301718076450E-009 -.11246039385004E-005 -.90227722681397E-008 -.15463458135268E-005 -.76727591851082E-007 0.41327747939421E-006 0.12078834497925E-005 -.96668309086749E-009 -.71198623417348E-010 -.45770048092725E-006 -.17551728566070E-006 0.69937578065597E-007 0.92372101052575E-008 -.34679813738243E-008 0.41173370893993E-006 -.14728011364858E-006 0.15028782410008E-007 -.13446166880293E-007 0.14546500757721E-006 -.12675133429801E-019 0.12583494094752E-019 0.45819667524671E-022 0.00000000000000E+000 0.46199775593984E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.49940577312516E+000 0.22898129202390E-009 -.13288818822735E-005 -.12790281740307E-007 -.18315572563865E-005 -.86352012260443E-007 0.56447250332317E-006 0.13507987903545E-005 -.94650507222380E-009 -.70590823335134E-010 -.67122324652913E-006 -.22831300013203E-006 0.98028282693334E-007 0.13454910978142E-007 -.35196582368791E-008 0.48834122922080E-006 -.11357295289209E-006 0.19510101587416E-007 -.17099736121788E-007 0.20650039993108E-006 -.18124286742646E-019 0.17992712069401E-019 0.65787336622706E-022 0.00000000000000E+000 0.58818351655554E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.49929478721259E+000 0.32909387727281E-009 -.15383829124638E-005 -.17157629288264E-007 -.21241449819866E-005 -.95840103163785E-007 0.73834886949602E-006 0.14782826346030E-005 -.91685639879386E-009 -.70136368688553E-010 -.91908166916530E-006 -.28886973196418E-006 0.13086286960711E-006 0.18526886246584E-007 -.35735518603364E-008 0.56445448815859E-006 -.62424020675256E-007 0.24589021290524E-007 -.21121888054769E-007 0.27707872797438E-006 -.25022101066043E-019 0.24843558072483E-019 0.89271496779984E-022 0.00000000000000E+000 0.72720286780601E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.49918014227599E+000 0.46078822952293E-009 -.17562142364606E-005 -.22110377698495E-007 -.24283171121899E-005 -.10602126040063E-006 0.93501074078406E-006 0.15953671480522E-005 -.88543970427750E-009 -.69859471164054E-010 -.11985897119836E-005 -.35804006637019E-006 0.16835695447678E-006 0.24480192617036E-007 -.36338915690669E-008 0.64065312999493E-006 0.46842474536920E-008 0.30311754468315E-007 -.25530355051481E-007 0.35674082286109E-006 -.33647336849934E-019 0.33414897433341E-019 0.11621970829647E-021 0.00000000000000E+000 0.87932769459954E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.49906193893280E+000 0.63368027941673E-009 -.19846000854229E-005 -.27630985967469E-007 -.27471929659532E-005 -.11770815506430E-006 0.11543445066245E-005 0.17062244785135E-005 -.85656337745341E-009 -.69784526375364E-010 -.15067019566804E-005 -.43659148578513E-006 0.21036645375476E-006 0.31331838411941E-007 -.37026110575270E-008 0.71742084628752E-006 0.86183243477818E-007 0.36716010619981E-007 -.30335047959598E-007 0.44492904708704E-006 -.44308382322294E-019 0.44015322491115E-019 0.14652991558936E-021 0.00000000000000E+000 0.10445172216687E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.49894021626547E+000 0.86017984380895E-009 -.22254229356615E-005 -.33708143840933E-007 -.30835086066001E-005 -.13169086420364E-006 0.13963770659595E-005 0.18145085417165E-005 -.83251088177890E-009 -.69937041997192E-010 -.18405803334168E-005 -.52532177268148E-006 0.25676106342688E-006 0.39099254608246E-007 -.37809511686334E-008 0.79529493738823E-006 0.18054851298935E-006 0.43841006328320E-007 -.35546093112608E-007 0.54114595517327E-006 -.57359777897446E-019 0.56999575856564E-019 0.18010102044095E-021 0.00000000000000E+000 0.12227363771280E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.49881488861283E+000 0.11562428670946E-008 -.24804611950077E-005 -.40341735823162E-007 -.34399073684454E-005 -.14872918763458E-006 0.16614625157320E-005 0.19234543929278E-005 -.81441857748181E-009 -.70344405838497E-010 -.21978803234643E-005 -.62512583230415E-006 0.30746453589205E-006 0.47807073662932E-007 -.38700406761125E-008 0.87489750802893E-006 0.28640820819004E-006 0.51732796144289E-007 -.41177389467374E-007 0.64503641015004E-006 -.73218589691034E-019 0.72784866797231E-019 0.21686144690111E-021 0.00000000000000E+000 0.14141061619586E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.49868599817595E+000 0.15414896094140E-008 -.27509738684751E-005 -.47530564000374E-007 -.38183251964595E-005 -.16950826949998E-006 0.19497821189260E-005 0.20357216844137E-005 -.80283641123571E-009 -.71034209672137E-010 -.25760903724496E-005 -.73680829020843E-006 0.36236195288418E-006 0.57471312166350E-007 -.39709760858166E-008 0.95677140610147E-006 0.40235873143331E-006 0.60429444304800E-007 -.47235793769130E-007 0.75619640285404E-006 -.92340840297752E-019 0.91827437439490E-019 0.25670142913110E-021 0.00000000000000E+000 0.16185573072818E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.49855364349030E+000 0.20397383432867E-008 -.30378782139365E-005 -.55275170129909E-007 -.42202122981973E-005 -.19462472372862E-006 0.22614424365373E-005 0.21535042754075E-005 -.79799786399455E-009 -.72034516829353E-010 -.29727227990531E-005 -.86110612830647E-006 0.42132213980569E-006 0.68102196150858E-007 -.40849304288736E-008 0.10414228933866E-005 0.52700900783557E-006 0.69963490285272E-007 -.53723429391251E-007 0.87422376560126E-006 -.11522402105981E-018 0.11462504288593E-018 0.29948908693904E-021 0.00000000000000E+000 0.18359299641631E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.49841778455564E+000 0.26803930738173E-008 -.33422172476939E-005 -.63589658173782E-007 -.46471683962450E-005 -.22461365599824E-006 0.25969402749365E-005 0.22787327170860E-005 -.79998857298183E-009 -.73375784613860E-010 -.33859264728663E-005 -.99887017022503E-006 0.48428857582570E-006 0.79720374921017E-007 -.42133307286967E-008 0.11294413397925E-005 0.65917706282183E-006 0.80376090685537E-007 -.60647368399349E-007 0.99889927012207E-006 -.14244306856939E-018 0.14175279517718E-018 0.34513669610822E-021 0.00000000000000E+000 0.20663093534859E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.49827845956316E+000 0.34985120705445E-008 -.36647443589898E-005 -.72489790507206E-007 -.51003435792589E-005 -.25990578427113E-006 0.29566740125260E-005 0.24129199616007E-005 -.80884954675609E-009 -.75088925167411E-010 -.38138611998114E-005 -.11508722366486E-005 0.55118901150754E-006 0.92340822449875E-007 -.43577463475715E-008 0.12213575224547E-005 0.79769836505407E-006 0.91702243937656E-007 -.68009450150868E-007 0.11300019061199E-005 -.17461924381373E-018 0.17383217350683E-018 0.39353515344701E-021 0.00000000000000E+000 0.23096908431212E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.49813583903099E+000 0.45347546539355E-008 -.40057964361197E-005 -.81988610602216E-007 -.55802445672028E-005 -.30079563658026E-006 0.33407546756485E-005 0.25571188067870E-005 -.82460189630443E-009 -.77204180326652E-010 -.42545248488409E-005 -.13177105715506E-005 0.62190461096788E-006 0.10596607623767E-006 -.45198226289086E-008 0.13175983365333E-005 0.94136581501783E-006 0.10396438947049E-006 -.75802702615133E-007 0.12672494183149E-005 -.21239538848380E-018 0.21150632421929E-018 0.44453213225500E-021 0.00000000000000E+000 0.25658705602105E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.49798999291507E+000 0.58373397348045E-008 -.43658498038549E-005 -.92111393500991E-007 -.60875072600621E-005 -.34749811735804E-006 0.37496031117966E-005 0.27121617176018E-005 -.84728922464908E-009 -.79753856513467E-010 -.47064746130246E-005 -.15000585259684E-005 0.69638384071602E-006 0.12060755041911E-006 -.47014680293004E-008 0.14186333552951E-005 0.10891666551627E-005 0.11719117799994E-006 -.84023732077225E-007 0.14105176783326E-005 -.25648720564755E-018 0.25549117416113E-018 0.49801574321206E-021 0.00000000000000E+000 0.28348553648251E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.49784087381844E+000 0.74638280268677E-008 -.47456256199256E-005 -.10289855863114E-006 -.66230401956430E-005 -.40017498021879E-006 0.41840597856204E-005 0.28787299030635E-005 -.87701700801826E-009 -.82773452139690E-010 -.51688838177195E-005 -.16987303395334E-005 0.77466182085914E-006 0.13629039097819E-006 -.49049172529762E-008 0.15249905091214E-005 0.12403061437041E-005 0.13142175008792E-006 -.92674829162814E-007 0.15598680792265E-005 -.30770808494553E-018 0.30660022850284E-018 0.55392822134838E-021 0.00000000000000E+000 0.31169250695308E+001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
