[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137802E-037 0.16816409666869E-037 0.13258454271800E-035 -.13916847386822E-035 0.00000000000000E+000 0.00000000000000E+000 0.65839311502192E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893458E-037 -.58482048893458E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.13258454271800E-035 0.13258454271800E-035 0.00000000000000E+000 0.00000000000000E+000 0.15787795865741E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46047324759270E+000 -.95748612614811E-031 0.13777205916302E-032 0.14831009907545E-030 -.55468562248258E-030 0.23878995420801E-030 0.73214607205533E-031 0.94370962292826E-031 0.55580916198434E-061 0.24121726967320E-055 0.28936023297288E-030 -.28941542962340E-030 0.25141848386848E-082 0.00000000000000E+000 0.14226905416555E-057 0.55196650514191E-034 0.13659994613815E-045 0.00000000000000E+000 0.25374333519281E-059 0.64592797846372E-052 -.46025946324000E-030 0.46025946324000E-030 0.20105720607541E-051 0.00000000000000E+000 0.81323679493340E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42094769317282E+000 -.12086836137801E-037 0.16816409666868E-037 0.00000000000000E+000 -.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893454E-037 -.58482048893454E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508001E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38142578775247E+000 -.12086836137802E-037 0.16816409666870E-037 0.35280337391104E-029 -.35280338049497E-029 0.00000000000000E+000 0.00000000000000E+000 0.65839311502194E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893460E-037 -.58482048893460E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.35280337391104E-029 0.35280337391104E-029 0.00000000000000E+000 0.00000000000000E+000 0.46653436195824E-024 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.34191422283032E+000 -.44587481909998E-030 0.46270993894698E-032 0.69524760162652E-029 -.85218035735383E-029 0.11992604848937E-030 0.10081537213026E-029 0.44124778888024E-030 0.00000000000000E+000 0.00000000000000E+000 0.16903587411644E-029 -.16903587411644E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.80805557832589E-029 0.80805557832589E-029 0.25712446930587E-050 0.00000000000000E+000 0.12077364463401E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.30243198458986E+000 -.31121095088852E-029 -.19613701679247E-028 -.38617954222700E-029 -.23453531499838E-028 -.91553906477447E-029 0.13744906455273E-028 0.22725811186640E-028 0.44979818790506E-093 0.42896176079473E-094 0.15222312752424E-028 -.15222312752424E-028 0.22688976796232E-074 0.00000000000000E+000 0.42178613688388E-049 -.42179022431326E-049 0.40874293721371E-054 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.72772024113607E-030 0.72772024113607E-030 0.42283775583231E-050 0.00000000000000E+000 0.55431215631398E-023 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.26302833289605E+000 -.39820180413477E-028 -.80344644040083E-028 -.43407762126206E-029 -.12016482452413E-027 -.28260653651767E-027 0.28694731349235E-027 0.12016482414310E-027 0.18269002338541E-089 0.46327310770588E-091 0.25146790974310E-027 -.25146790974310E-027 0.46342073353181E-072 0.00000000000000E+000 0.22290169786054E-046 -.22290611223096E-046 0.44143704190556E-051 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.38415729948744E-066 0.38415729948647E-066 -.38415729948696E-066 0.00000000000000E+000 0.41899733205782E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.22382931763318E+000 -.88617605919949E-027 0.88617605920422E-027 -.20925595742514E-029 -.39813511921483E-027 0.40022767873771E-027 0.00000000000000E+000 0.51375977260826E-037 0.68366466634416E-051 0.21246653276988E-049 -.12822186187245E-026 0.88408349955437E-027 0.38257521771033E-070 0.00000000000000E+000 0.17692692477922E-044 0.39813511914870E-027 0.14759871321427E-037 0.00000000000000E+000 0.19136599079476E-046 0.33606217855144E-038 0.18519083350556E-066 0.18519083350533E-066 -.18519083350544E-066 0.00000000000000E+000 0.89147768045640E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.18519685297464E+000 -.20408064833959E-024 0.20408064833960E-024 0.39557858797235E-029 -.91751480586431E-025 0.91747525018510E-025 0.00000000000000E+000 -.21795804061286E-033 0.36305370328396E-046 0.11282835799345E-044 -.29582817372556E-024 0.20408064834990E-024 0.19486800690822E-068 0.00000000000000E+000 0.16104435409581E-040 0.91747524810868E-025 0.20786884596410E-033 0.00000000000000E+000 0.10162311322782E-041 0.17846266559126E-033 -.39557856526679E-029 0.39557856526679E-029 0.00000000000000E+000 0.00000000000000E+000 0.20549189840793E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.14813797332819E+000 -.15366344038024E-022 0.15366344038024E-022 0.58674385400778E-029 -.69081769396326E-023 0.69081716866228E-023 0.00000000000000E+000 -.61442866057895E-030 0.20582983665891E-042 0.63966962171627E-041 -.22274517777476E-022 0.15366344067282E-022 0.62112160650282E-067 0.00000000000000E+000 0.38627842802786E-037 0.69081711014525E-023 0.58518731188634E-030 0.00000000000000E+000 0.57614255513808E-038 0.10117770773474E-029 -.58674214438281E-029 0.58674214438281E-029 0.00000000000000E+000 0.00000000000000E+000 0.15472223130488E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.11477980152058E+000 -.86672593432037E-021 0.86672593432040E-021 -.67983360286451E-027 -.38964953320470E-021 0.38965120188092E-021 -.21864410692207E-040 -.98884262251372E-027 0.65483278865744E-039 0.20350625821269E-037 -.12563822614032E-020 0.86672530157360E-021 -.65911754723224E-041 0.65911754722977E-041 0.48240264291754E-034 0.38964958029144E-021 0.94175584221383E-027 -.11086519181996E-037 0.18330547478470E-034 0.32188910893340E-026 0.60165063662313E-064 0.60165063630305E-064 -.60165063646309E-064 0.00000000000000E+000 0.87271021583072E-016 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.88007240220119E-001 -.45167740814983E-019 0.45167740949423E-019 -.22947341819781E-021 -.20279432027755E-019 0.20510209561454E-019 -.68163007728865E-036 -.13042505446220E-023 0.17736454440796E-035 0.55119943170777E-034 -.65236500001536E-019 0.44938329645274E-019 -.68859054912227E-033 0.68859054912227E-033 0.69314001056136E-030 0.20279494275508E-019 0.12421371401263E-023 -.65127713301662E-030 0.49660397298612E-031 0.87169720619124E-023 0.20305753377223E-058 0.20305749945542E-058 -.20305751661383E-058 0.00000000000000E+000 0.45429528572007E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.69711248405946E-001 -.25207962666031E-016 0.25208197324197E-016 -.72184738296106E-018 -.16387040623895E-016 0.13440731132796E-016 -.27079073737333E-028 0.36679115145499E-017 0.54879418205462E-030 0.17052348957262E-028 -.42659769592023E-016 0.24557981664750E-016 -.11972581084247E-024 0.11972581084247E-024 0.10616439313984E-022 0.11287739972885E-016 0.14316237598331E-017 0.51711488870238E-017 -.51711626756522E-017 0.26912205776777E-017 0.64117724951504E-055 0.63502155564251E-055 -.63809940257878E-055 0.00000000000000E+000 0.39791215718209E-011 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.59224211135910E-001 -.26848439592816E-014 0.26855019286897E-014 -.20060238076932E-016 -.69630452803246E-012 0.22746891721003E-013 -.27672652493711E-024 0.67357680824985E-012 0.64358247162064E-026 0.19967754566995E-024 -.88257500016723E-013 0.37409066646067E-014 -.46095756037869E-021 0.46095756037869E-021 0.23274112017101E-018 0.68733671833428E-012 -.66460834345379E-012 0.10043474468015E-013 -.10043712107726E-013 0.30894230504860E-013 0.29497123375376E-053 0.38324171363903E-054 -.16664770255883E-053 0.00000000000000E+000 0.92032729231495E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.53954700701080E-001 -.20453752332924E-013 0.20473926615131E-013 -.12192933427990E-015 -.13686865747929E-010 0.12925210146802E-011 -.15457042532956E-022 0.12394432246491E-010 0.37757065078093E-024 0.11653957603002E-022 -.47442619725644E-011 0.84520701378541E-013 -.15931365216431E-019 0.15931365216431E-019 0.14387244119031E-016 0.13514210806939E-010 -.12221757292569E-010 0.23681521173937E-012 -.23682962044937E-012 0.16836510934903E-011 0.60380118476106E-052 -.46527562454243E-052 -.69262780109315E-053 0.00000000000000E+000 0.23158672382990E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.51307834574739E-001 -.15376582328289E-011 0.49707200860511E-012 -.38858163210901E-015 -.55363491120064E-010 -.30649438946511E-011 0.11537192347972E-010 0.46890847068738E-010 0.36950274141790E-020 0.14752214147734E-014 -.20201788571212E-010 -.95707158348597E-011 -.60342649025628E-015 0.60329817940641E-015 0.60576210383363E-015 0.53699517043094E-010 -.45227297744103E-010 0.10491645243560E-011 -.10492048780733E-011 0.10649142477806E-010 0.36634783789979E-051 -.33962840047180E-051 -.13359718713997E-052 0.00000000000000E+000 0.11997762821143E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.49734013819836E-001 -.58079113167868E-011 -.85884180086097E-012 -.84477119346583E-015 -.12460031311670E-009 -.20323715064433E-010 0.44760654098992E-010 0.10015987039684E-009 0.24545592467609E-019 0.94034511591152E-014 -.46940704481653E-010 -.37689551520802E-010 -.39726324556156E-014 0.39711909633444E-014 0.42364714429873E-014 0.11672036358600E-009 -.92283778630561E-010 0.24548374248542E-011 -.24546629546725E-011 0.30089841800498E-010 0.11588141499120E-050 -.11201381785055E-050 -.19337985703256E-052 0.00000000000000E+000 0.31500641970861E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.48579235906357E-001 -.11704305139218E-010 -.17717376479054E-011 -.15332855094105E-014 -.21713557457598E-009 -.39534477351824E-010 0.91098372389788E-010 0.16556092368167E-009 0.73416779259209E-019 0.26972208915840E-013 -.10008236705958E-009 -.76690881196303E-010 -.11672834915776E-013 0.11668483525126E-013 0.13639749527145E-013 0.20178923397885E-009 -.15022759782434E-009 0.45075284546354E-011 -.45065676285588E-011 0.62584541384376E-010 0.28354269203219E-050 -.27852198096578E-050 -.25103555332076E-052 0.00000000000000E+000 0.60777732234804E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.47617588125769E-001 -.19940449273567E-010 -.29539133360632E-011 -.25413823871061E-014 -.33919077430769E-009 -.62204153112733E-010 0.15628094572251E-009 0.24508888995239E-009 -.86368887257255E-015 0.60652448659467E-013 -.18860583178521E-009 -.13134673037356E-009 -.26794367819561E-013 0.26784114615575E-013 0.34776986108301E-013 0.31372600079877E-009 -.21965803416309E-009 0.74068168632112E-011 -.74038604696641E-011 0.11289206362165E-009 0.62270001457638E-050 -.61650349169339E-050 -.30982614414929E-052 0.00000000000000E+000 0.10331290688036E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.46769702494055E-001 -.31253091080174E-010 -.45536929083021E-011 -.39772053741705E-014 -.49694983757712E-009 -.88756852864851E-010 0.24610537427695E-009 0.33955045963794E-009 0.14263802514477E-015 -.45765059984250E-014 -.32494407245875E-009 -.20650012277226E-009 -.40737229212955E-013 0.53886080995334E-013 0.79935970099719E-013 0.45783810379423E-009 -.30053086302548E-009 0.11404118602102E-010 -.11396868139930E-010 0.18701690129200E-009 0.12948254383413E-049 -.12874046976004E-049 -.37103703704563E-052 0.00000000000000E+000 0.16316133049131E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  21 -.46000446255868E-001 -.46361292290482E-010 -.67694099965400E-011 -.59672219214933E-014 -.69641282064476E-009 -.11911087568272E-009 0.36671305063298E-009 0.44871663213195E-009 -.30819724620370E-015 -.94481328919285E-016 -.52448986730201E-009 -.30706674466099E-009 -.76230904805523E-013 0.99266755265158E-013 0.15598269361940E-012 0.63928453927941E-009 -.39176665528145E-009 0.16792341966383E-010 -.16776774995522E-010 0.29191448907891E-009 0.26099784265547E-049 -.26012760509194E-049 -.43511878176580E-052 0.00000000000000E+000 0.24482356152443E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.45289779832132E-001 -.66122248605462E-010 -.97590804440120E-011 -.86623059433934E-014 -.94396011453173E-009 -.15284219997820E-009 0.52497471605919E-009 0.57166512686005E-009 -.48601142727053E-015 -.52364084836672E-015 -.80500859594894E-009 -.43867904815109E-009 -.13200303790432E-012 0.17131488272913E-012 0.28340160099253E-012 0.86345171783264E-009 -.49147962459287E-009 0.23923778538692E-010 -.23893270800000E-010 0.43566641579467E-009 0.51685647969622E-049 -.51585185947188E-049 -.50231011217003E-052 0.00000000000000E+000 0.35347519080243E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.44624501069424E-001 -.91499214392633E-010 -.13749361127233E-010 -.12244238780201E-013 -.12465792528656E-008 -.18930093453364E-009 0.72873544372734E-009 0.70687828085766E-009 -.75183867197848E-015 -.27815052495668E-015 -.11874834927274E-008 -.60768964010258E-009 -.21728579476720E-012 0.28095472325444E-012 0.48708871755555E-012 0.11361621492747E-008 -.59701418258304E-009 0.33228632753360E-010 -.33172765249196E-010 0.62768185173657E-009 0.10145455739252E-048 -.10133999509904E-048 -.57281146742176E-052 0.00000000000000E+000 0.49507951897443E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  24 -.43995358332937E-001 -.12359859901865E-009 -.19027152005843E-010 -.16931677295211E-013 -.16119517073730E-008 -.22762828416103E-009 0.98695704672102E-009 0.85220403638059E-009 -.10967080562675E-014 -.28546922433020E-015 -.16962589529231E-008 -.82133729362741E-009 -.34302878769781E-012 0.44209293796518E-012 0.80021954626749E-012 0.14637028420128E-008 -.70486070754517E-009 0.45232086732122E-010 -.45135062852066E-010 0.87883108140176E-009 0.19864043827729E-048 -.19851107503429E-048 -.64681621503361E-052 0.00000000000000E+000 0.67648194216628E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  25 -.43395573582229E-001 -.16368766585730E-009 -.25959572886620E-010 -.22987291038831E-013 -.20498125700951E-008 -.26677938437579E-009 0.13098507088201E-008 0.10061054769105E-008 -.15499842428107E-014 -.26678868929410E-015 -.23593259485746E-008 -.10878465200800E-008 0.76232605511644E-012 0.67207853461216E-012 -.19522775482576E-013 0.18528476123012E-008 -.81056872343400E-009 0.60574707318210E-010 -.60413292889201E-010 0.12015788429440E-008 0.38973037932530E-048 -.38958547389764E-048 -.72452713830526E-052 0.00000000000000E+000 0.90567325621195E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  26 -.42819913206959E-001 -.21322413871362E-009 -.35017361230852E-010 -.30727874428477E-013 -.25676516858721E-008 -.30555572671535E-009 0.17090838968543E-008 0.11631871035774E-008 -.21283488841837E-014 -.25122803030989E-015 -.32087501544438E-008 -.14165934723925E-008 0.11750954240797E-011 0.99222375579451E-012 -.10539873601492E-013 0.23109618016293E-008 -.90867908236657E-009 0.80040628601128E-010 -.79781497527037E-010 0.16101941228480E-008 0.76900626580976E-048 -.76884502942225E-048 -.80618193756187E-052 0.00000000000000E+000 0.11913011604154E-002 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
