[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
  11 -.12039711612547E+000 -.44170191453326E-013 -.16422772203888E-014 -.67064380689588E-019 -.10651202382490E-011 -.53203940512792E-013 0.31628468508319E-012 0.80202817958588E-012 -.29300507921496E-020 0.19767291728247E-019 -.60129193121343E-013 -.25893948232849E-012 -.11480277210949E-016 0.11693109570645E-016 0.38042086686516E-017 0.10320208345677E-011 -.76893310489815E-012 0.44218090331782E-015 -.44199334208291E-015 0.27988268389754E-013 0.53476470118787E-055 -.45684603791160E-055 -.38959331638136E-056 0.00000000000000E+000 0.18535289870660E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.11509056570383E+000 -.22552234447514E-012 -.80171535080668E-014 -.19551508138294E-018 -.46494635887643E-011 -.26205387829911E-012 0.16809731665461E-011 0.32304026568642E-011 -.12038218616007E-019 -.21044119569566E-020 -.32729389856830E-012 -.13836283455959E-011 -.11797699482872E-015 0.14576806581489E-015 0.35863968533914E-016 0.44850485548538E-011 -.30660552068908E-011 0.23978426386486E-014 -.23944035354595E-014 0.14592918854894E-012 0.27932483884885E-054 -.26516086066904E-054 -.70819890899047E-056 0.00000000000000E+000 0.87225725280124E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.11174738311228E+000 -.60006300583940E-012 -.21027518059522E-013 -.42220816316449E-018 -.11166072711050E-010 -.64314568277116E-012 0.45383067607216E-011 0.72702786363751E-011 -.49210475374320E-019 -.34836721964724E-020 -.94140468231040E-012 -.37391683605703E-011 -.32106782915929E-015 0.65133652583355E-015 -.98286558335795E-018 0.10735725415583E-010 -.68402785443332E-011 0.66913242897844E-014 -.66722670890702E-014 0.39237941204612E-012 0.84321500252478E-054 -.82290267484550E-054 -.10156163839640E-055 0.00000000000000E+000 0.22061593801832E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.10916079595009E+000 -.12409280361074E-011 -.42365418721392E-013 -.79186717987809E-018 -.21373942955930E-010 -.12028789282331E-011 0.94623423349336E-011 0.13112570123341E-010 -.13494207584690E-018 -.83931927716932E-020 -.21050796451692E-011 -.77950522680663E-011 -.85529770640688E-015 0.19656525790794E-014 -.18420461631530E-017 0.20497205461766E-010 -.12236996576826E-010 0.14501994047829E-013 -.14434581079775E-013 0.81933991643407E-012 0.20787559547390E-053 -.20521236684975E-053 -.13316143120725E-055 0.00000000000000E+000 0.44032257072245E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.10696429759135E+000 -.22528803736572E-011 -.75077929199476E-013 -.13668120828756E-017 -.36403920246575E-010 -.19616662681248E-011 0.17273064827235E-010 0.21087824178660E-010 -.30234902700308E-018 -.18279027269412E-019 -.40952479735964E-011 -.14221329892006E-010 -.18501414316683E-014 0.48394087322167E-014 -.46405601370404E-017 0.34833318807838E-010 -.19520347899779E-010 0.27652736269217E-013 -.27463484044176E-013 0.15001220734901E-011 0.46710893333509E-053 -.46377289111608E-053 -.16680211095066E-055 0.00000000000000E+000 0.77761272573361E-005 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.10502535761036E+000 -.37544599808409E-011 -.12290372583795E-012 -.22191111214458E-017 -.57427920115755E-010 -.29271539770622E-011 0.28898589702539E-010 0.31446383316623E-010 -.59557121438602E-018 -.35689687795683E-019 -.72446491832362E-011 -.23773712854906E-010 -.34738298229533E-014 0.10416051420949E-013 -.10078775388572E-016 0.54841083581858E-010 -.28866791684202E-010 0.48526304426921E-013 -.48069864481630E-013 0.25181128745165E-011 0.99513670297022E-053 -.99107865180705E-053 -.20290255815854E-055 0.00000000000000E+000 0.12669358452676E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.10327021923428E+000 -.58852478692141E-011 -.19040246722490E-012 -.34366813459612E-017 -.85763924913395E-010 -.40951418317438E-011 0.45428720901952E-010 0.44410629534136E-010 -.10694168213314E-017 -.63898501181828E-019 -.11961888625759E-010 -.37336480202891E-010 -.58583324456641E-014 0.20354208663755E-013 -.19736874442347E-016 0.81750822002538E-010 -.40412637225556E-010 0.80294613657314E-013 -.79307153691227E-013 0.39718670628534E-011 0.20549786290717E-052 -.20501410103029E-052 -.24188093843689E-055 0.00000000000000E+000 0.19483492054790E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.10165217847444E+000 -.88104138028395E-011 -.28324779339136E-012 -.51278883153357E-017 -.12290976436266E-009 -.54503821731709E-011 0.68147601316951E-010 0.60176780625268E-010 -.17895537051524E-017 -.10707800538631E-018 -.18743631910645E-010 -.55948139906456E-010 -.90453593255647E-014 0.36970715394655E-013 -.35712354481225E-016 0.11695654431162E-009 -.54252651211846E-010 0.12717043901447E-012 -.12520215604358E-012 0.59780272021510E-011 0.41726151769586E-052 -.41669305397445E-052 -.28423186070516E-055 0.00000000000000E+000 0.28686630114339E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.10014085691181E+000 -.12721227308319E-010 -.40844463006944E-012 -.74252852862284E-017 -.17052114287921E-009 -.69654393591270E-011 0.98534038736902E-010 0.78891328041974E-010 -.28314576561723E-017 -.17017967808703E-018 -.28177389628114E-010 -.80800435144028E-010 -.12908371019182E-013 0.63376655142201E-013 -.60683958727679E-016 0.16199301891533E-009 -.70415765448656E-010 0.19465434468262E-012 -.19097632159206E-012 0.86714053303804E-011 0.84094230064898E-052 -.84028128113698E-052 -.33050975600331E-055 0.00000000000000E+000 0.40812471056513E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.98714742542547E-001 -.17839101661067E-010 -.57464196114739E-012 -.10493683977063E-016 -.23043601384728E-009 -.86016389736174E-011 0.13828798865166E-009 0.10064973851146E-009 -.42788177887315E-017 -.25886111028606E-018 -.40951724696646E-010 -.11325870432651E-009 -.17059534469002E-013 0.10363442902390E-012 -.97943972924373E-016 0.21855658445197E-009 -.88860484344299E-010 0.28989669769641E-012 -.28337487402045E-012 0.12207406427614E-010 0.16936741560041E-051 -.16929114005556E-051 -.38137772426334E-055 0.00000000000000E+000 0.56469309360143E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  21 -.97357519395894E-001 -.24421561930744E-010 -.79255325442429E-012 -.14542919476829E-016 -.30471483965067E-009 -.10310638654455E-010 0.18937050780667E-009 0.12549817349707E-009 -.62217579046449E-017 -.37941786502401E-018 -.57870956914688E-010 -.15489306512825E-009 -.20739070735971E-013 0.16294045718284E-012 -.15141120681965E-015 0.28854025496116E-009 -.10947176769569E-009 0.42218542704713E-012 -.41111233920773E-012 0.16765672613857E-010 0.34271344045077E-051 -.34262590993608E-051 -.43765257343631E-055 0.00000000000000E+000 0.76353857254236E-004 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  22 -.96056731879566E-001 -.32766033531581E-010 -.10753993725312E-011 -.19844532181414E-016 -.39564952876308E-009 -.12035501648070E-010 0.25402487059076E-009 0.15342224326085E-009 -.87541556570866E-017 -.53862514275769E-018 -.79863791289427E-010 -.20749403387860E-009 -.22683679277244E-013 0.24779795689671E-012 -.22560780574697E-015 0.37403846812679E-009 -.13204593284720E-009 0.60350773703035E-012 -.58538344532193E-012 0.22552080963995E-010 0.69971671125069E-051 -.69961664667698E-051 -.50032286856682E-055 0.00000000000000E+000 0.10125730449797E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  23 -.94802917558845E-001 -.43212122616688E-010 -.14393784727627E-011 -.26754698243052E-016 -.50575563025674E-009 -.13712250740960E-010 0.33478380734707E-009 0.18433341461222E-009 -.11970006085810E-016 -.74354803001073E-018 -.10798649388970E-009 -.27307679550172E-009 -.20981587881244E-013 0.36616123386294E-012 -.32558369810386E-015 0.47733553878592E-009 -.15627365264445E-009 0.84919976990532E-012 -.82045402517030E-012 0.29799535205870E-010 0.14462633700926E-050 -.14461492559619E-050 -.57057065332749E-055 0.00000000000000E+000 0.13206621962165E-003 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
