[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.21269682578450E-001 -.15649619001421E+003 0.10000000000000E+001 0.87863050247119E+002 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.62584038432109E-026
   2 -.49360992229281E+000 0.22087527982399E-005 0.79875001580590E-017 0.65536435528886E-012 0.22658105620754E+000 0.24082119452310E-010 0.11529672526790E-003 0.18871495118915E-006 0.92667104153218E-018 0.48423526618611E-019 0.75762839514829E-009 0.33985041847011E-001 0.15002783719507E-004 0.10003801105985E-004 0.93033295432594E-016 0.30523223125010E-006 0.49751981281951E-010 0.13363305074254E-006 0.96871673024693E-014 0.11782634063638E-006 -.19862071303173E-022 0.46697844831588E-010 0.73929064359716E+000 -.42483401536690E-022 0.30143897015450E+003 0.20680130573828E-001 -.15623067801294E+003 0.10000000000000E+001 0.87863050247119E+002 0.10000000000000E+006 0.11208259749202E-002 0.28091327281021E+002 0.10000000000000E+001 0.10000000000000E+001 0.30143897015450E+003 0.39893215909225E-005 0.62584038432109E-026
   3 -.48802687124273E+000 0.44273152698365E-005 0.61739524301788E-016 0.14642309697532E-011 0.22654765362271E+000 0.76519049708715E-010 0.27454196331709E-003 0.46551605072550E-006 0.69103484347405E-017 0.36472172666593E-018 0.17989027993935E-008 0.33860199364044E-001 0.37040857130243E-004 0.27254633785120E-004 0.80539422987655E-015 0.83405488724796E-006 0.20145611805220E-009 0.36127155418964E-006 0.49557924253964E-013 0.33040333088096E-006 -.44222355391804E-022 0.11557456601985E-009 0.73924688880395E+000 -.11007825940077E-021 0.30348009918501E+003 0.20189909355918E-001 -.15588381595574E+003 0.10000000000000E+001 0.87899976743265E+002 0.10000000000000E+006 0.11132634310264E-002 0.28090717735819E+002 0.10000000000000E+001 0.10000000000000E+001 0.30348009918501E+003 0.17676911736624E-004 0.15243334987327E-025
   4 -.48359066806072E+000 0.64030604195090E-005 0.22761629212053E-015 0.23417856181228E-011 0.22649114013111E+000 0.16243090248812E-009 0.45751417288385E-003 0.79964784394457E-006 0.24104451080604E-016 0.12848380198214E-017 0.29909576847618E-008 0.33724986004131E-001 0.63681179708860E-004 0.50989802684983E-004 0.31985522804041E-014 0.15641097579364E-005 0.51128050807175E-009 0.67143413243808E-006 0.15944277821503E-012 0.63386563040743E-006 -.69978442616559E-022 0.19910616353489E-009 0.73920161272542E+000 -.18947192563624E-021 0.30587787260080E+003 0.19801749570729E-001 -.15550792921260E+003 0.10000000000000E+001 0.87965303578642E+002 0.10000000000000E+006 0.11045095119695E-002 0.28090029573715E+002 0.10000000000000E+001 0.10000000000000E+001 0.30587787260080E+003 0.46979385079400E-004 0.24217303865372E-025
   5 -.48003663411154E+000 0.81340013513751E-005 0.58170320398499E-015 0.32686567306282E-011 0.22641514881361E+000 0.27792401845710E-009 0.65226410839165E-003 0.11694431073263E-005 0.58163041982518E-016 0.31320614201534E-017 0.42697367894920E-008 0.33587980443345E-001 0.93202871801543E-004 0.80072763424333E-004 0.85927329342229E-014 0.24606761329202E-005 0.10100805980366E-008 0.10486491210108E-005 0.38183493889233E-012 0.10166482976487E-005 -.95213994863867E-022 0.29190219630142E-009 0.73915749572812E+000 -.28366034121239E-021 0.30847589847734E+003 0.19486827161586E-001 -.15512958778225E+003 0.10000000000000E+001 0.88048901563166E+002 0.10000000000000E+006 0.10951776052533E-002 0.28089270959975E+002 0.10000000000000E+001 0.10000000000000E+001 0.30847589847734E+003 0.95632497964101E-004 0.26308854621583E-025
   6 -.47705898559090E+000 0.96929454327413E-005 0.12146725603598E-014 0.42672942103936E-011 0.22632153923892E+000 0.42079426605635E-009 0.85655528614959E-003 0.15698672493095E-005 0.11485259868192E-015 0.62503161466598E-017 0.56394899861521E-008 0.33450113814406E-001 0.12520749779348E-003 0.11423009363597E-003 0.18553527674085E-013 0.35152575384221E-005 0.17315527542916E-008 0.14890915070454E-005 0.76358351969148E-012 0.14768939369364E-005 -.12033785569734E-021 0.39269782086501E-009 0.73911460182384E+000 -.38603442221990E-021 0.31124172145615E+003 0.19220991795930E-001 -.15475289290584E+003 0.10000000000000E+001 0.88145999558878E+002 0.10000000000000E+006 0.10854130813104E-002 0.28088434536174E+002 0.10000000000000E+001 0.10000000000000E+001 0.31124172145615E+003 0.16758786201455E-003 0.28236285291093E-025
   7 -.47447957400078E+000 0.11128404690333E-004 0.22373571430053E-014 0.53624054972379E-011 0.22621141420989E+000 0.59006984510592E-009 0.10695584596380E-002 0.19987448535308E-005 0.20059029299204E-015 0.11035219005294E-016 0.71160285542367E-008 0.33311465590907E-001 0.15952458508165E-003 0.15336810708757E-003 0.34916694028265E-013 0.47248116504918E-005 0.27136977961602E-008 0.19913581688494E-005 0.13567233192000E-011 0.20147685874360E-005 -.14499911592803E-021 0.50094614783734E-009 0.73907280003195E+000 -.50452539266901E-021 0.31416235367291E+003 0.18990194755446E-001 -.15437892316983E+003 0.10000000000000E+001 0.88254025619109E+002 0.10000000000000E+006 0.10752873320103E-002 0.28087516882943E+002 0.10000000000000E+001 0.10000000000000E+001 0.31416235367291E+003 0.26717844787627E-003 0.52457469439815E-025
   8 -.47219490034725E+000 0.12469274946717E-004 0.37835993953155E-014 0.65765552435507E-011 0.22608575411990E+000 0.78531129147572E-009 0.12903737585648E-002 0.24538959985618E-005 0.32265266647316E-015 0.17948298703772E-016 0.87162998054254E-008 0.33172259195778E-001 0.19598322294374E-003 0.19736838801969E-003 0.59774774180395E-013 0.60854789094866E-005 0.39964180248129E-008 0.25537826257555E-005 0.22173020107431E-011 0.26298961785725E-005 -.16909923710730E-021 0.61610019894773E-009 0.73903205486315E+000 -.63665597059225E-021 0.31722431673851E+003 0.18785861927068E-001 -.15400877870049E+003 0.10000000000000E+001 0.88371163905201E+002 0.10000000000000E+006 0.10648704425481E-002 0.28086519100852E+002 0.10000000000000E+001 0.10000000000000E+001 0.31722431673851E+003 0.39892933058841E-003 0.84174103973546E-025
   9 -.47013686434149E+000 0.13735657770713E-004 0.60172851854359E-014 0.79331403013326E-011 0.22594533090260E+000 0.10067851006810E-008 0.15183467789447E-002 0.29337002973738E-005 0.48967657590508E-015 0.27548626955477E-016 0.10460189978672E-007 0.33032614086468E-001 0.23445719984065E-003 0.24614232120124E-003 0.95527698524171E-013 0.75942807094172E-005 0.56228974788677E-008 0.31751243542416E-005 0.34063891477808E-011 0.33221464501486E-005 -.19249767980062E-021 0.73775459128493E-009 0.73899232996230E+000 -.78615940373310E-021 0.32041771715253E+003 0.18602192739019E-001 -.15364304807352E+003 0.10000000000000E+001 0.88496144812241E+002 0.10000000000000E+006 0.10542171762556E-002 0.28085443411585E+002 0.10000000000000E+001 0.10000000000000E+001 0.32041771715253E+003 0.56776116652544E-003 0.77535537963580E-025
  10 -.46825747926685E+000 0.14942688282767E-004 0.91416771764016E-014 0.94577763057202E-011 0.22579068899570E+000 0.12554831281264E-008 0.17530921857827E-002 0.34371512818991E-005 0.71221987365963E-015 0.40530015430622E-016 0.12370893656521E-007 0.32892526371314E-001 0.27486953050975E-003 0.29964907071466E-003 0.14496281177134E-012 0.92496865502071E-005 0.76407818718412E-008 0.38547827622506E-005 0.49917388580298E-011 0.40919537832336E-005 -.21675019245872E-021 0.86566009171179E-009 0.73895357543589E+000 -.92820354695298E-021 0.32373658023084E+003 0.18435074392088E-001 -.15328185482445E+003 0.10000000000000E+001 0.88628099903817E+002 0.10000000000000E+006 0.10433668372441E-002 0.28084291925131E+002 0.10000000000000E+001 0.10000000000000E+001 0.32373658023084E+003 0.77918807394547E-003 0.70525782564302E-025
