[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 -.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.42572028987537E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.47783183930714E+000 0.95156562263616E-035 -.95059706373576E-035 0.87453940869947E-076 0.88621778326418E-066 0.16962289064558E-064 -.27381661478826E-070 -.10789810601811E-064 -.21534221289288E-034 0.48385037722631E-065 0.52593784393941E-034 -.31059563104653E-034 0.13156466011092E-066 -.96941847750877E-076 -.13156466025720E-066 0.28449239544500E-065 0.19245605819306E-089 -.76086034779144E-088 0.76086034779144E-088 0.00000000000000E+000 -.21423017971855E-092 0.21423017971855E-092 0.00000000000000E+000 0.00000000000000E+000 0.47741515572246E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.45566368141652E+000 0.15172125987504E-033 -.15171157428604E-033 0.37929640110622E-121 0.11697761250481E-063 0.23923301972070E-062 0.00000000000000E+000 -.13687108115397E-062 -.83006544943039E-034 0.56966379988353E-093 0.31774403535012E-033 -.23473749040709E-033 0.48894004604197E-059 0.21380900730685E-109 -.48894004694588E-059 0.11114523999237E-063 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.14472939222236E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.43349552995832E+000 0.15687475285886E-033 -.15686506726986E-033 0.21993158178724E-090 0.29654722655528E-063 0.60676047391310E-062 0.00000000000000E+000 -.34752762551606E-062 -.85845948587789E-034 0.67535874028422E-050 0.32857633562345E-033 -.24273038703566E-033 0.65840455140880E-059 0.14195707921486E-108 -.65840455262600E-059 0.28156405543980E-063 0.83014346927259E-065 0.12592717091286E-057 0.15363817777207E-067 0.27025760454545E-059 0.12116817795369E-117 -.12116817795369E-117 0.00000000000000E+000 0.00000000000000E+000 0.14970754117248E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.41132739012247E+000 0.16852093191016E-033 -.16851124632116E-033 0.43184751000864E-090 0.49996431058392E-063 0.10272587916473E-061 0.00000000000000E+000 -.58903200053682E-062 -.98479821304151E-034 0.73786043398461E-050 0.36549026010747E-033 -.26701043880332E-033 0.82453511280686E-059 0.41745304937187E-108 -.82453511433120E-059 0.50814728375305E-063 -.85673163949779E-068 0.83570960202150E-060 -.43471071415549E-050 0.43471071407192E-050 0.12876085977831E-117 -.12876085977831E-117 0.00000000000000E+000 0.00000000000000E+000 0.17583144428731E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.38915926939746E+000 0.16778413326675E-033 -.16777444767775E-033 0.41554031022132E-060 0.12989792591703E-062 -.12088863908387E-030 0.12088863908387E-030 -.13242793140392E-061 -.10327089481832E-033 0.24014071619359E-089 0.12126297469237E-030 -.12115970379755E-030 0.39869667754308E-056 0.39931725219358E-086 -.39869667828016E-056 0.15338582659015E-057 -.58731556878474E-067 0.17399614862734E-056 -.90507503859160E-047 0.90507503841760E-047 0.18440036395275E-114 -.18440036395275E-114 0.00000000000000E+000 0.00000000000000E+000 0.72142048198220E-026 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.36699117822258E+000 0.16964977206384E-033 -.16964008647484E-033 0.15250137285804E-087 0.23288473321069E-062 0.47986217015293E-061 0.30724269697702E-083 -.27571447148224E-061 -.10466453615400E-033 -.35989811075913E-030 0.72017521004822E-030 -.36017243475294E-030 0.20131177489995E-055 0.81869679516336E-104 -.20131177527212E-055 0.25370976166212E-062 -.89810092449081E-066 0.41136365342212E-056 -.21397885955143E-046 0.21397885951029E-046 0.75008294253670E-114 -.75008294253670E-114 0.00000000000000E+000 0.00000000000000E+000 0.22127893978489E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.34482313106547E+000 0.26227588069116E-033 -.26226619510216E-033 0.19319754427745E-076 0.14377981084840E-061 0.28532943218432E-060 -.36227146299671E-067 -.24131596880542E-060 0.27628806625263E-065 0.98987000364231E-064 0.26228556628020E-033 -.26228556628020E-033 0.19601734173146E-055 0.25955952602603E-103 -.19601734209384E-055 0.39016068655786E-064 0.16854380152195E-060 0.57906684617468E-056 -.30121295918519E-046 0.30121303528526E-046 -.19319754410491E-076 -.19319582375906E-076 0.19319668393199E-076 0.00000000000000E+000 -.92786080139121E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.32265515272141E+000 0.95694908595880E-033 -.95693940036979E-033 0.59190291377973E-075 0.51005445912326E-061 0.10155880131365E-059 -.41448126137636E-066 -.88769401331842E-060 0.53039939863125E-064 0.19018005020594E-062 0.95695877154780E-033 -.95695877154780E-033 0.27998165636785E-054 0.18192877866904E-102 -.27998165688546E-054 0.53519686455748E-063 0.65777194681754E-060 0.32836686668453E-057 -.17080645570671E-047 0.17082290667354E-047 -.59190291371678E-075 -.59190229670435E-075 0.59190260521056E-075 0.00000000000000E+000 -.33741500692803E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.30048730354166E+000 0.95263394635616E-033 -.95262426076716E-033 0.16632572815799E-074 0.67010988851076E-061 0.13351665985442E-059 -.59616187476197E-066 -.12023845364226E-059 0.78480627440118E-064 0.27588005530230E-062 0.95264363194517E-033 -.95264363194517E-033 -.66067981179581E-083 0.10964510108996E-102 0.93095902558414E-075 0.18516790060122E-063 0.93539592486015E-060 -.46264317057196E-075 0.15032621466304E-059 0.26443168790696E-051 -.16632572765102E-074 -.16632022770170E-074 0.16632297767636E-074 0.00000000000000E+000 -.33589543202298E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
