[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.00 300.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.96855890040176E-038 -.96855890040176E-038 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.42572028987537E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45199329440189E+000 0.41516855491208E-025 -.41516855491198E-025 -.40832981695061E-054 -.34571045815858E-050 0.40835136635354E-054 0.00000000000000E+000 0.34571045707805E-050 0.57590624416597E-053 0.25825729458456E-051 0.41516855491217E-025 -.41516855491217E-025 0.75811532928355E-080 -.11300346778213E-098 -.61893555291206E-080 0.61346755265964E-061 0.11792396348173E-068 0.66969969129566E-117 0.44432001190875E-052 0.78158218101502E-044 0.72239383727541E-105 0.72239383727541E-105 -.72239383727541E-105 0.00000000000000E+000 -.14620146171963E-021 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.40399134110710E+000 0.48401279452185E-023 -.48401279452195E-023 -.87083908074780E-052 0.45785928162786E-060 0.87083917424398E-052 -.28483806912683E-060 -.49917404116387E-059 0.88193722623899E-049 0.39548847216825E-047 0.48401279452175E-023 -.48401279452175E-023 0.33103308464291E-069 -.38195371803884E-087 -.33096331149904E-069 0.13824427724701E-066 0.29821181996341E-062 -.82623998049456E-073 0.76660657258188E-048 0.13485011272903E-039 -.11811807805001E-085 -.11811807805001E-085 0.11811807805001E-085 0.00000000000000E+000 -.17044493666300E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.35601027130158E+000 0.31123275466381E-021 -.31123275466833E-021 -.10321753547410E-049 0.29275259022081E-118 0.10321753547409E-049 0.00000000000000E+000 0.00000000000000E+000 0.41571071030358E-045 0.18641530924728E-043 0.31123275465929E-021 -.31123275465929E-021 0.23273327380530E-056 0.13844693550641E-088 -.23273327786697E-056 0.12415574620503E-062 0.00000000000000E+000 0.20985474855478E-089 0.41189352617345E-044 0.72454229253131E-036 -.11008571368648E-070 -.11008571368648E-070 0.11008571368648E-070 0.00000000000000E+000 -.10960050574223E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.30811635045717E+000 0.11427615242450E-019 -.11427615249042E-019 0.26246357066498E-058 0.10662206254447E-047 0.21109250288158E-046 -.81205795712236E-054 -.11625441805988E-046 0.64700581152084E-042 0.29189003898861E-040 0.11427615235856E-019 -.11427615235859E-019 0.27471489012122E-044 0.69675846368777E-078 -.27471504418490E-044 0.15406368463655E-050 0.91928849868513E-050 0.12720745076825E-054 0.74900613899599E-041 0.13175405631215E-032 -.26246357066498E-058 -.26246357066498E-058 0.26246357066498E-058 0.00000000000000E+000 -.40242305048616E-016 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.26055530900247E+000 0.24329147743987E-018 -.24329148072451E-018 -.26079510357606E-030 0.16995574159090E-051 -.21991755231697E-030 0.48071266028347E-030 0.29828712482483E-072 0.34875021132117E-039 0.15638230225511E-037 0.24329147415429E-018 -.24329147415596E-018 0.68330189046260E-038 -.66354730561051E-051 -.63284976049861E-038 0.17881457132934E-037 -.22776417015038E-037 -.46093197952460E-035 0.45700962693053E-035 0.83427942566860E-030 0.45933424659640E-074 0.45933424659640E-074 -.45933424659640E-074 0.00000000000000E+000 -.85674876130941E-015 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.21428457821870E+000 0.29626903298453E-017 -.29626911996520E-017 -.60820279317668E-026 -.22977890757850E-024 -.84940920724107E-024 0.85908187033741E-024 0.22798219186056E-024 -.41155011764481E-028 -.97949009778286E-037 0.29626905603357E-017 -.29626905608641E-017 -.40477351916939E-026 0.32803909416817E-036 0.40477351930463E-026 0.24888924744258E-034 0.27962450373522E-029 0.61825169338136E-036 0.16111170245760E-035 0.28342173064156E-027 -.71378314622621E-036 -.64189094620960E-036 0.67783704621790E-036 0.00000000000000E+000 -.10432692136732E-013 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.17238028557933E+000 0.19372099191465E-016 -.19615003593636E-016 -.30727007389974E-023 -.18837748105347E-018 -.56961307825735E-019 0.66708417492078E-019 0.18040227575131E-018 -.17631485385641E-023 -.16017277421872E-029 0.19266529562226E-016 -.19396471077324E-016 -.60059863165004E-020 0.53453812721745E-026 0.60065334532132E-020 0.62154068911227E-024 0.62051944836377E-020 -.43911073129412E-020 0.43697471216282E-020 0.61889815062532E-019 -.22402549070961E-027 -.21310368290001E-027 0.21856458680481E-027 0.00000000000000E+000 0.18429203881987E-013 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.14023120686067E+000 0.62857056854562E-016 -.26565130298443E-015 -.11927486720778E-021 -.12512859188358E-015 -.63660518449059E-016 0.33391813901967E-015 -.14377009650530E-015 -.66315591540336E-021 -.53634717294161E-025 -.44933639688063E-014 -.35640349956172E-015 -.45968810861428E-017 0.63792164712367E-020 0.45971651471964E-017 0.71702382207207E-018 0.26680981199565E-015 -.31692196272150E-016 0.31310181494348E-016 0.22914993310189E-014 -.29588612431318E-023 -.28297083637952E-023 0.28942848034635E-023 0.00000000000000E+000 0.96169244415038E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.12066408468269E+000 0.23002597495429E-016 -.62612384158860E-014 -.84962637089929E-021 -.20649486933940E-014 -.28788874971890E-014 0.50884623464470E-013 -.45916930057268E-013 -.65386071915141E-019 -.12884035022039E-022 -.77343233050048E-012 -.47848469989637E-013 -.99658339931810E-016 0.13516738265552E-016 0.87117508248137E-016 0.33082455804430E-015 0.47612705484007E-013 -.13089438718158E-014 0.12810445369960E-014 0.38669607930504E-012 -.31707977310114E-021 -.30322981331507E-021 0.31015479320810E-021 0.00000000000000E+000 0.15602953921361E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
