[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.53111762407135E-203 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.52344223073707E-033 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.15599227270999E+001 -.18871969411586E+004 0.10000000000000E+001 0.41729090443199E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.63463983111528E-030 0.00000000000000E+000
   2 -.46442937204556E+000 0.10342068519984E-001 -.81130290192808E-033 -.11083189645083E-026 0.13679865441157E+000 -.80221744989226E-030 -.23134732470148E-028 -.17762587844658E-028 -.32655045582716E-041 -.15618729288180E-042 -.31210212032229E-028 0.40651061452297E+000 0.10674328771340E-040 -.23767126019880E-045 -.23233120729667E-041 -.36742197862955E-033 -.12569376438116E-044 -.21304066913317E-040 -.42494707303780E-040 -.11732283603480E-031 -.13113997362390E-025 -.21185514755136E-026 0.44634866254547E+000 0.15825427857927E-045 0.30000000000000E+003 0.14424980143882E+001 -.18871969411586E+004 0.10000000000000E+001 0.41729090443199E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508002E-031 0.00000000000000E+000
   3 -.42885892349444E+000 0.10342068519984E-001 -.16444192422072E-032 -.22233980842740E-026 0.13679865441157E+000 -.16576597412671E-029 -.59029617062558E-028 -.45126145263428E-028 -.62917745570650E-041 -.19063329342054E-042 -.79374239310417E-028 0.40651061452297E+000 -.89784273292130E-039 -.12933663117658E-044 -.43487670542906E-041 -.10847835340019E-032 -.44694958237821E-044 -.64354977821670E-040 -.13047315218855E-039 -.35835737222162E-031 -.16903984842936E-025 -.42711288961421E-026 0.44634866254547E+000 -.44341618869592E-045 0.30000000000000E+003 0.13250746675392E+001 -.18871969411586E+004 0.10000000000000E+001 0.41729090443199E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   4 -.39328912304002E+000 0.10342068519984E-001 -.13410312724118E-031 -.18359246172200E-025 0.13679865441157E+000 -.13199506409378E-028 -.49475324037520E-027 -.37787865684781E-027 -.16169000816877E-040 -.41474584838262E-042 -.66484226146208E-027 0.40651061452297E+000 -.14781459755806E-035 -.34637590094421E-038 -.10561595446762E-040 -.94812130588923E-032 -.23622175423178E-043 -.70059149426003E-036 -.10696382473667E-038 -.30747365892979E-030 -.18323650070165E-024 -.35279357807723E-025 0.44634866254547E+000 -.40249931942078E-044 0.30000000000000E+003 0.12076554901509E+001 -.18871969411586E+004 0.10000000000000E+001 0.41729090443198E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   5 -.35772120053227E+000 0.10342068519984E-001 -.27688885711489E-031 -.37669618421309E-025 0.13679865441157E+000 -.27568313107023E-028 -.15898181756934E-026 -.12068694608455E-026 -.37094496994365E-040 -.83829444757638E-042 -.21264909376712E-026 0.40651061452297E+000 -.16811281628029E-033 -.65118622190726E-036 -.23937643325964E-040 -.41952012237419E-031 -.87280669708762E-043 -.86177804786508E-034 -.40630868765195E-038 -.13400232592475E-029 -.17101445791757E-024 -.73344621107958E-025 0.44634866254547E+000 -.26205459040284E-043 0.30000000000000E+003 0.10902465599808E+001 -.18871969411586E+004 0.10000000000000E+001 0.41729090443197E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508002E-031 0.46827215195986E-036
   6 -.32215760829516E+000 0.10342068519984E-001 -.45595588237483E-031 -.61765382321335E-025 0.13679865441157E+000 -.45751742227540E-028 -.37754121736660E-026 -.28562066879096E-026 -.79566996610628E-040 -.17268250709672E-041 -.50361123725831E-026 0.40651061452297E+000 -.88087741169111E-034 -.34163324918794E-036 -.52059651785816E-040 -.13471375764054E-030 -.25647677250016E-042 -.45176488602933E-034 -.10965637799517E-037 -.42168318051101E-029 -.17351062096758E-024 -.12220803144738E-024 0.44634866254547E+000 -.12842115161442E-042 0.30000000000000E+003 0.97285760964983E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090443195E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   7 -.28660179045625E+000 0.10342068519984E-001 -.67251593611336E-031 -.91074880734372E-025 0.13679865441157E+000 -.67498535656781E-028 -.76489884133806E-026 -.57742185414747E-026 -.16203909819575E-039 -.27620671247652E-041 -.10184367216414E-025 0.40651061452297E+000 -.11220341639089E-034 -.43712413282510E-037 -.10990131719778E-039 -.49460706005979E-030 -.66137909424777E-042 -.57930758864815E-035 -.24388673490940E-037 -.11012862093690E-028 -.19076265295184E-024 -.18366770453789E-024 0.44634866254547E+000 -.50193836468433E-042 0.30000000000000E+003 0.85550413788849E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090443187E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   8 -.25105969270338E+000 0.10342068519984E-001 -.95678625467478E-031 -.12970093764148E-024 0.13679865441157E+000 -.95813843155178E-028 -.14253645356170E-025 -.10752437678150E-025 -.32897399568284E-039 -.44177728297564E-041 -.18953189818595E-025 0.40651061452297E+000 0.16548588030194E-034 0.63954161353103E-037 -.24953760589100E-039 -.99956201784863E-029 -.41974148227284E-041 0.83883493360989E-035 -.48610584810907E-037 -.25841638526475E-028 -.20393515341725E-024 -.26715642120793E-024 0.44634866254547E+000 -.16655993222676E-041 0.30000000000000E+003 0.73825188938976E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090443163E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   9 -.21556520038700E+000 0.10342068519984E-001 -.11082071982916E-030 -.15014284631330E-024 0.13679865441157E+000 -.11102796383268E-027 -.23609403835704E-025 -.18273339968547E-025 -.58759866675365E-039 -.70080130887844E-041 -.31482760534594E-025 0.40651061452297E+000 0.22735170433374E-034 0.87938393596912E-037 -.13358750176610E-038 -.42062231857339E-027 -.34516401669293E-039 0.11441154041213E-034 -.86433048196629E-037 -.55021578554787E-028 -.96904138045478E-025 -.32111106396596E-024 0.44634866254547E+000 -.48861027938128E-041 0.30000000000000E+003 0.62145767848707E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090443096E+004 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508000E-031 0.46827215195986E-036
  10 -.18030060203691E+000 0.10342068519984E-001 -.11316345498120E-030 -.15308844220571E-024 0.13679865441157E+000 -.11352886245573E-027 -.35577745489146E-025 -.45623913400698E-025 -.94516518730975E-039 -.42154208771100E-040 -.57678945384361E-025 0.40651061452298E+000 -.23084640026257E-033 -.16069871908982E-035 -.29992525394625E-037 -.13826455598247E-025 -.24855237775691E-037 -.53805186367817E-034 -.15536551580756E-036 -.11845898785062E-027 -.68698249071884E-026 -.34657610710094E-024 0.44634866254547E+000 -.12859341864394E-040 0.30000000000000E+003 0.50647461935166E+000 -.18871969411586E+004 0.10000000000000E+001 0.41729090442966E+004 0.10000000000000E+006 0.79109775256725E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508003E-031 0.00000000000000E+000
