[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
  11 -.31256529761429E+000 -.45105045125483E-014 -.15226705856103E-016 -.86376207339306E-020 -.40339730717977E-013 -.27433817911435E-015 0.34262099644353E-013 0.63236122588053E-014 -.46041644125825E-025 -.25545986617728E-026 -.61028843002844E-014 -.27915709624156E-013 -.88246858338635E-017 0.29007510922665E-016 -.51706166701188E-018 0.37562183652930E-013 -.35663728365481E-014 -.11749815845195E-017 0.21799716436120E-017 0.55368228370209E-018 0.69813003177072E-055 -.69759202331372E-055 -.26900422849970E-058 0.00000000000000E+000 0.11180981340373E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.30675472908920E+000 -.70788020708185E-014 -.24145233108972E-016 -.86100338218629E-020 -.63036955181679E-013 -.37237327491853E-015 0.53751292463043E-013 0.96040393653599E-014 -.81309541107597E-025 -.46569676114323E-026 -.96923200330185E-014 -.43744178781612E-013 -.15340212653841E-016 0.55317891096814E-016 0.41679851203042E-021 0.58680919145383E-013 -.52892940771726E-014 0.53362331412859E-017 -.32026203350738E-017 0.31421282616587E-018 0.10676004868268E-054 -.10671994861571E-054 -.20050033487809E-058 0.00000000000000E+000 0.17536028370006E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.30141862035834E+000 -.10590090128544E-013 -.36734484373789E-016 -.80703581967907E-020 -.93868863487157E-013 -.48109054067691E-015 0.80313793557958E-013 0.13940899536906E-013 -.13406010876752E-024 -.78410197735499E-026 -.14656702070322E-013 -.65276104159410E-013 -.23061168894755E-016 0.97760260117838E-016 -.34560685020967E-020 0.87352937661940E-013 -.75021606036335E-014 0.13196534806179E-016 -.90438816691843E-017 -.48588493052888E-018 0.15925951906188E-054 -.15923051150309E-054 -.14503779396160E-058 0.00000000000000E+000 0.26200319413201E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.29646124713603E+000 -.15252116381015E-013 -.54103239855150E-016 -.71670152794143E-020 -.13453052778682E-012 -.59774950376829E-015 0.11544003694235E-012 0.19530140948268E-013 -.20945675171916E-024 -.12453155252086E-025 -.21314007856064E-013 -.93692502562609E-013 -.32106583482950E-016 0.16256674032306E-015 -.99145162752725E-020 0.12513800987707E-012 -.10272533454189E-013 0.24710170129737E-016 -.17164093886925E-016 -.22541993984954E-017 0.23617199977351E-054 -.23615149259617E-054 -.10253588673509E-058 0.00000000000000E+000 0.37663515737657E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.29181238191805E+000 -.21299613862007E-013 -.77636780094348E-016 -.60733112994184E-020 -.18690517448846E-012 -.71982609013239E-015 0.16078415755792E-012 0.26591248167786E-013 -.31354541133551E-024 -.18910896170104E-025 -.30022739348151E-013 -.13029839104115E-012 -.41622225611210E-016 0.25722047140614E-015 -.18692032802963E-019 0.17376250884523E-012 -.13671781623529E-013 0.42245626554772E-016 -.29275803093051E-016 -.55580163742901E-017 0.35966361736459E-054 -.35964927039299E-054 -.71734857982000E-059 0.00000000000000E+000 0.52470101169372E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.28741907353311E+000 -.28997691605665E-013 -.10905695018604E-015 -.49555186025618E-020 -.25308292128160E-012 -.84525492958454E-015 0.21817924991472E-012 0.35370965359074E-013 -.45346334473460E-024 -.27718589146046E-025 -.41185569309619E-013 -.17653412087369E-012 -.50215199535981E-016 0.39049112563264E-015 -.30310390532801E-019 0.23513490349198E-012 -.17775718417881E-013 0.68691108256672E-016 -.47403641789448E-016 -.11157719477253E-016 0.59379826897843E-054 -.59378809404422E-054 -.50874671029744E-059 0.00000000000000E+000 0.71224404787128E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  17 -.28324040355492E+000 -.38645893333314E-013 -.15049280326360E-015 -.39543362048548E-020 -.33538386527808E-012 -.97260395819369E-015 0.28965604897044E-012 0.46147902906426E-013 -.63773238094215E-024 -.39488671095590E-025 -.55253796264202E-013 -.23398936131216E-012 -.55888213681148E-016 0.57245838982026E-015 -.45392253526092E-019 0.31136476477296E-012 -.22665264261266E-013 0.10776213758247E-015 -.74152684288617E-016 -.20043312564002E-016 0.11350754543799E-053 -.11350678217458E-053 -.38163170508277E-059 0.00000000000000E+000 0.94596806320081E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  18 -.27924399545684E+000 -.50583235107749E-013 -.20456328023775E-015 -.31794666615411E-020 -.43638740391673E-012 -.11011824865890E-014 0.37746701629950E-012 0.59237918243231E-013 -.87664876345173E-024 -.54969629534303E-025 -.72733088345130E-013 -.30442124139839E-012 -.55990494226173E-016 0.81453506262518E-015 -.64665108828026E-019 0.40478736186236E-012 -.28427236114723E-013 0.16429039047327E-015 -.11295355585018E-015 -.33474787860325E-016 0.25974053136526E-053 -.25973989003207E-053 -.32066659401703E-059 0.00000000000000E+000 0.12333172528524E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  19 -.27540367371734E+000 -.65194359909171E-013 -.27447292774131E-015 -.27148718106358E-020 -.55896845813065E-012 -.12310882718168E-014 0.48411636365253E-012 0.75000407172449E-013 -.11827818084342E-023 -.75081770350781E-025 -.94190730178903E-013 -.38977696589739E-012 -.47183829594967E-016 0.11294996800656E-014 -.88970863935282E-019 0.51799436017836E-012 -.35155257487470E-013 0.24454714369578E-015 -.16833651195561E-015 -.53027378211104E-016 0.69065125648025E-053 -.69065062706240E-053 -.31470892858836E-059 0.00000000000000E+000 0.15825759249270E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  20 -.27169795610307E+000 -.82916494280010E-013 -.36412030521361E-015 -.26315054420633E-020 -.70633736774925E-012 -.13632014014713E-014 0.61239313516741E-012 0.93845167434792E-013 -.15715922105619E-023 -.10096179624062E-024 -.12026389377045E-012 -.49221848913877E-012 -.25420582475208E-016 0.15315368379355E-014 -.11928212791080E-018 0.65386753181875E-012 -.42950596135538E-013 0.35662896929836E-015 -.24626159367377E-015 -.80642248451051E-016 0.20103394558535E-052 -.20103387406496E-052 -.35760197651640E-059 0.00000000000000E+000 0.20029788550539E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
