[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666868E-037 0.00000000000000E+000 -.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502186E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893454E-037 -.58482048893454E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508001E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45358158903592E+000 -.15210872061241E-019 -.71882140270541E-022 -.42936830066666E-026 -.37544519885545E-019 -.12271543990861E-020 0.17937496779582E-019 0.20834174566461E-019 0.15654185313151E-035 0.61623352362791E-030 -.14531941876330E-019 -.21798094541054E-020 -.81940892285569E-026 0.81786276555055E-026 0.68380877435532E-027 0.22808567911317E-019 -.60982242069377E-020 0.87670879112426E-026 -.87576600492085E-026 0.70346911835020E-024 0.41899758955093E-063 0.34687123110750E-063 -.38293441032921E-063 0.00000000000000E+000 0.86889154038269E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.41225589891416E+000 -.40612487008643E-018 -.24830129694952E-020 -.31399108346341E-025 -.26294574755788E-017 -.71794099185779E-019 0.18878630210567E-017 0.81337727681506E-018 -.15816972875961E-030 -.35216863948390E-031 -.42190345065026E-018 -.13943784498154E-017 -.99013625807761E-023 0.11630320782907E-022 -.16022362693562E-026 0.23081897920985E-017 -.49211164271962E-018 0.29868524914706E-023 -.29326884555678E-023 0.10095770147996E-021 0.64576605875878E-062 -.97544598717019E-063 -.27411073002088E-062 0.00000000000000E+000 0.66630853389049E-012 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.38121942232413E+000 -.80388710632236E-017 -.36716334194195E-019 -.14055839533999E-024 -.68696003912280E-016 -.12190527213227E-017 0.54360338460823E-016 0.15552840162140E-016 -.95951418446805E-029 -.35838667481992E-029 -.94742857236443E-017 -.43674512318190E-016 -.14368221661390E-020 0.19146433038062E-020 -.17851732267911E-024 0.63263801114488E-016 -.10121151499073E-016 0.24178027236187E-021 -.22419776724460E-021 0.28178094007134E-020 0.10571817745840E-060 -.84902345631138E-061 -.10407915913632E-061 0.00000000000000E+000 0.18175069523819E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.36018202276037E+000 -.62538248275729E-016 -.24067014293305E-018 -.49043063160750E-024 -.56018719205062E-015 -.79213046142667E-017 0.45589466375705E-015 0.11216734195838E-015 -.15190780609061E-027 -.60588914310160E-028 -.77274412621845E-016 -.37079048673331E-015 -.30857830433570E-019 0.47348581818379E-019 -.42527635860112E-023 0.51987247700463E-015 -.71869970552950E-016 0.51080672061131E-020 -.44454569334965E-020 0.22290592260424E-019 0.91618277394231E-060 -.86695464178713E-060 -.24614066077589E-061 0.00000000000000E+000 0.15052946818565E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.34546001044585E+000 -.24806905320304E-015 -.88555558538820E-018 -.14181857391369E-023 -.22425094296231E-014 -.27093593251487E-016 0.18507182009497E-014 0.41850513819789E-015 -.99316904357832E-027 -.29750207813255E-027 -.31443237278672E-015 -.15097467561774E-014 -.21917542404379E-018 0.38678812386837E-018 -.35167504251529E-022 0.20855255863262E-014 -.26169597541200E-015 0.41995217067830E-019 -.34815846463567E-019 0.83790888837672E-019 0.48594485190991E-059 -.47701248358583E-059 -.44661841620382E-061 0.00000000000000E+000 0.60796364356010E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.33458392098687E+000 -.65760888389290E-015 -.22777741268188E-017 -.33764677219953E-023 -.59482103830747E-014 -.62783831910902E-016 0.49543226613048E-014 0.10550285114167E-014 -.37598062748337E-026 -.98829656629615E-027 -.84927416665989E-015 -.40443554719514E-014 -.83011237121950E-018 0.16749046919232E-017 -.15785854767040E-021 0.55362768126719E-014 -.64397143452742E-015 0.19001885390459E-018 -.15192336860235E-018 0.20171751937565E-018 0.19245448022912E-058 -.19105245728068E-058 -.70101147421847E-061 0.00000000000000E+000 0.16230561655031E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.32596509699308E+000 -.13828533619007E-014 -.47325360192420E-017 -.69562549793450E-023 -.12480879939181E-013 -.11554413413360E-015 0.10468804560268E-013 0.21226639336484E-014 -.10243828085649E-025 -.26857472799069E-026 -.18146189051518E-014 -.85445000694904E-014 -.21992040842033E-017 0.50561683675749E-017 -.49277488417035E-021 0.11620483039124E-013 -.12652240871132E-014 0.60192117847770E-018 -.46719802897828E-018 0.36705241817396E-018 0.65186623706730E-058 -.64982787706246E-058 -.10191800024213E-060 0.00000000000000E+000 0.34238411778260E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.31864959744594E+000 -.25436644660506E-014 -.86589647012209E-017 -.13106204438992E-022 -.22879682615031E-013 -.18508375650361E-015 0.19303536559307E-013 0.37491028918763E-014 -.22860341009978E-025 -.60044546477387E-026 -.33866827005285E-014 -.15745476585916E-013 -.47189618573565E-017 0.12386398506588E-016 -.12257672066230E-020 0.21304704617960E-013 -.21820505707369E-014 0.15464103631788E-017 -.11695258021512E-017 0.54262962286519E-018 0.20646101573275E-057 -.20617548511091E-057 -.14276531091608E-060 0.00000000000000E+000 0.63062944711719E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.31218070814660E+000 -.42877448869509E-014 -.14588617302412E-016 -.23306118895615E-022 -.38412178862601E-013 -.27044139188409E-015 0.32569107146750E-013 0.60876438570298E-014 -.44701976893401E-025 -.10481209423096E-025 -.57854049295961E-014 -.26541635238791E-013 -.87784748946262E-017 0.26456304855538E-016 -.25942474942936E-020 0.35766302201078E-013 -.34600294620650E-014 0.34682553903249E-017 -.25638845401936E-017 0.64172600760865E-018 0.63747193781022E-057 -.63707927855481E-057 -.19632962770170E-060 0.00000000000000E+000 0.10632691528443E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.30641298635654E+000 -.67394661676333E-014 -.23121026146515E-016 -.39500754549399E-022 -.60116662712347E-013 -.36875920704648E-015 0.51182816068406E-013 0.92531558564860E-014 -.79196393121765E-025 -.16891964055674E-025 -.92026464594023E-014 -.41664519004013E-013 -.14545824328077E-016 0.50645426278260E-016 -.49056477861250E-020 0.55966257923555E-013 -.51400411562728E-014 0.69899700789892E-017 -.50704373464542E-017 0.50746723107262E-018 0.19192653235559E-056 -.19187328475331E-056 -.26623801140944E-060 0.00000000000000E+000 0.16703370743423E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.30120965423432E+000 -.10025826336027E-013 -.34943351274755E-016 -.64445969566674E-022 -.89031354649982E-013 -.47659529935246E-015 0.76063097165887E-013 0.13358147516656E-013 -.13000492063025E-024 -.26321745697393E-025 -.13836457296157E-013 -.61841729270601E-013 -.21940626797035E-016 0.88945661790315E-016 -.85129167117448E-020 0.82861772698565E-013 -.72578024178673E-014 0.12951324455284E-016 -.92521713195581E-017 -.89271065795915E-019 0.56488077991075E-056 -.56480931759593E-056 -.35731157406929E-060 0.00000000000000E+000 0.24819952519853E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.29641769243895E+000 -.14324170730801E-013 -.50951288544952E-016 -.10243316945318E-021 -.12660776460265E-012 -.59149164213360E-015 0.10848640549018E-012 0.18570258723288E-013 -.20149230078288E-024 -.38662250514525E-025 -.19958056737245E-013 -.88085822299763E-013 -.30680794679652E-016 0.14654326421508E-015 -.13803525594217E-019 0.11778971388001E-012 -.98720077971202E-014 0.22551704064492E-016 -.15914077845230E-016 -.14754820426190E-017 0.16456953040074E-055 -.16455998917472E-055 -.47706130097166E-060 0.00000000000000E+000 0.35401618436618E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.29194278750967E+000 -.19834684626707E-013 -.72269583402455E-016 -.15976354136728E-021 -.17445971390746E-012 -.71134638584870E-015 0.14987066256029E-012 0.25077381103742E-013 -.29879145486611E-024 -.53307144761710E-025 -.27872947826619E-013 -.12151705994258E-012 -.40136711157629E-016 0.22966516245973E-015 -.21205555361647E-019 0.16223142774820E-012 -.13045250563652E-013 0.37425316207952E-016 -.26160263982702E-016 -.41033825965727E-017 0.47764600771570E-055 -.47763329778694E-055 -.63549643767478E-060 0.00000000000000E+000 0.48914784330497E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.28774219610466E+000 -.26744382735515E-013 -.10020111012883E-015 -.24516081241856E-021 -.23404666051094E-012 -.83390817335912E-015 0.20149906847695E-012 0.33047298801514E-013 -.42747494382674E-024 -.71327221822788E-025 -.37867847535525E-013 -.16314013559746E-012 -.49217624225723E-016 0.34494910085180E-015 -.31204051975507E-019 0.21751742551114E-012 -.16824511524162E-013 0.59634667193178E-016 -.41401463362527E-016 -.85487668675260E-017 0.13785126155891E-054 -.13784957178987E-054 -.84488452046249E-060 0.00000000000000E+000 0.65783034740751E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.28377907343837E+000 -.35253128402267E-013 -.13634217997826E-015 -.37091694983140E-021 -.30689751289784E-012 -.95748684242645E-015 0.26471263502306E-012 0.42659524325357E-013 -.59405579431203E-024 -.98073983270250E-025 -.50246425632825E-013 -.21400040375407E-012 -.56420679519273E-016 0.49962898089737E-015 -.44428902748598E-019 0.28503463610722E-012 -.21256599625340E-013 0.91792447826648E-016 -.63452258043681E-016 -.15525673169534E-016 0.39511133268204E-054 -.39510909013791E-054 -.11212720620287E-059 0.00000000000000E+000 0.86449761421322E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
