[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
  11 -.22906769651746E+000 0.98596658868289E-002 0.22185985151939E-016 0.15578892083414E-019 0.13739384328797E+000 0.53685867889472E-013 0.42693865150298E-003 0.22599877386131E-006 0.49068678873534E-022 0.26520587958999E-023 0.58700560006171E-010 0.40530556305776E+000 0.54081793354758E-004 0.11160999393512E-005 0.28284216462996E-018 0.25533342900156E-006 0.42145093080513E-011 0.75872095760174E-004 0.53525690884450E-015 0.50093526504103E-006 0.18197436237125E-035 0.42762336301441E-012 0.44688193679601E+000 0.19166908531417E-030 0.30867640168648E+003 0.10558797370909E-001 -.18731910838027E+004 0.10000000000011E+001 0.84311847638206E+002 0.10000000000000E+006 0.77264815565737E-003 0.19829870421110E+002 0.10000000000000E+001 0.10000000000000E+001 0.30867640168648E+003 0.10985360840976E-006 0.15211734005198E-020
  12 -.22454395810584E+000 0.98334421787231E-002 0.38252474965563E-016 0.20638025976240E-019 0.13743823443566E+000 0.87392536227778E-013 0.54849252168408E-003 0.29643924259993E-006 0.10358798206393E-021 0.56404911790926E-023 0.76363310482347E-010 0.40488851988917E+000 0.71086030458930E-004 0.15801584721870E-005 0.65635098605948E-018 0.36461939572140E-006 0.69935294379637E-011 0.10738518536657E-003 0.11695465404282E-014 0.72828490684630E-006 0.26769121454653E-035 0.56280122480053E-012 0.44710987017291E+000 0.20903061981619E-030 0.31073501483066E+003 0.10280963425087E-001 -.18695174892338E+004 0.10000000000013E+001 0.84442123955128E+002 0.10000000000000E+006 0.76784879630956E-003 0.19838122921272E+002 0.10000000000000E+001 0.10000000000000E+001 0.31073501483066E+003 0.18395966229843E-006 0.21988790613307E-020
  13 -.22049770395069E+000 0.98124557800763E-002 0.61692335606728E-016 0.26989675430769E-019 0.13746935873893E+000 0.13250712989811E-012 0.68183124843725E-003 0.37524997788108E-006 0.19695543141021E-021 0.10806285147638E-022 0.96067561617200E-010 0.40444772694794E+000 0.90150949648891E-004 0.21369224094179E-005 0.13536129199043E-017 0.49674327783306E-006 0.10840047440576E-010 0.14518688916391E-003 0.23126389932889E-014 0.10078455433175E-005 0.36483623321358E-035 0.71453118107194E-012 0.44734927257683E+000 0.22473613923089E-030 0.31292501123606E+003 0.10031536477395E-001 -.18656700506717E+004 0.10000000000016E+001 0.84585524200063E+002 0.10000000000000E+006 0.76276115442721E-003 0.19845567342861E+002 0.10000000000000E+001 0.10000000000000E+001 0.31292501123606E+003 0.28753837408000E-006 0.30240035209450E-020
  14 -.21681201314487E+000 0.97959963982101E-002 0.94648415649989E-016 0.35052349811171E-019 0.13748737640977E+000 0.19040127323946E-012 0.82682031168414E-003 0.46245984025084E-006 0.34606629411816E-021 0.19135309321125E-022 0.11786329492900E-009 0.40398590009989E+000 0.11128813053936E-003 0.27917591258924E-005 0.25537228974762E-017 0.65316660698181E-006 0.15961039152135E-010 0.18964247094573E-003 0.42424479686107E-014 0.13438326550166E-005 0.47402741344887E-035 0.88291500725402E-012 0.44759772482584E+000 0.23918242386086E-030 0.31524451808806E+003 0.98039882871801E-002 -.18616611094478E+004 0.10000000000018E+001 0.84741862013565E+002 0.10000000000000E+006 0.75740591015905E-003 0.19852303588855E+002 0.10000000000000E+001 0.10000000000000E+001 0.31524451808806E+003 0.42671105898528E-006 0.40045336097644E-020
  15 -.21340720679510E+000 0.97835595529386E-002 0.13971110059239E-015 0.45378882725537E-019 0.13749232028107E+000 0.26231746694137E-012 0.98343162568326E-003 0.55815973212317E-006 0.57175739322263E-021 0.31865279803095E-022 0.14182565599346E-009 0.40350497027858E+000 0.13452423931144E-003 0.35503300171585E-005 0.44939125836201E-017 0.83541650840785E-006 0.22578108166084E-010 0.24113787526011E-003 0.73416127749920E-014 0.17406352344222E-005 0.59622575886965E-035 0.10681736334463E-011 0.44785337143992E+000 0.25258716433818E-030 0.31769296907457E+003 0.95937671466606E-002 -.18574985710885E+004 0.10000000000021E+001 0.84911076617875E+002 0.10000000000000E+006 0.75179947096209E-003 0.19858401832814E+002 0.10000000000000E+001 0.10000000000000E+001 0.31769296907457E+003 0.60814996436540E-006 0.51445443122137E-020
  16 -.21022573576126E+000 0.97747742331418E-002 0.20002709771709E-015 0.58705842628699E-019 0.13748412184471E+000 0.34939055850540E-012 0.11517558898162E-002 0.66251375935064E-006 0.89925512522950E-021 0.50521581757534E-022 0.16805881349193E-009 0.40300623059502E+000 0.15990385904160E-003 0.44188148678464E-005 0.74792276203959E-017 0.10451428497094E-005 0.30930461946067E-010 0.30009499732406E-003 0.12128153957517E-013 0.22029560190789E-005 0.73277239051773E-035 0.12706701519230E-011 0.44811478895283E+000 0.26505253986349E-030 0.32027133221327E+003 0.93975558544861E-002 -.18531863497120E+004 0.10000000000024E+001 0.85093242369899E+002 0.10000000000000E+006 0.74595406164651E-003 0.19863913913257E+002 0.10000000000000E+001 0.10000000000000E+001 0.32027133221327E+003 0.83919216820631E-006 0.64353706474690E-020
  17 -.20722495294062E+000 0.97693653162597E-002 0.27941577836510E-015 0.76018020913114E-019 0.13746262175584E+000 0.45264542395494E-012 0.13319585541401E-002 0.77573530240092E-006 0.13586199478449E-020 0.76954640910211E-022 0.19669143511923E-009 0.40249058817328E+000 0.18748378538576E-003 0.54038357366206E-005 0.11892386386487E-016 0.12841028634896E-005 0.41275737371784E-010 0.36696657897230E-003 0.19293451757978E-013 0.27357944331596E-005 0.88547302511594E-035 0.14908646648689E-011 0.44838081612786E+000 0.27660207183229E-030 0.32298142854601E+003 0.92128779495878E-002 -.18487260380819E+004 0.10000000000027E+001 0.85288518919640E+002 0.10000000000000E+006 0.73987970079378E-003 0.19868877787830E+002 0.10000000000000E+001 0.10000000000000E+001 0.32298142854601E+003 0.11279035643600E-005 0.78772300500622E-020
  18 -.20437253738030E+000 0.97671269068006E-002 0.38250510141596E-015 0.98637232340864E-019 0.13742758591631E+000 0.57299309226315E-012 0.15242505093448E-002 0.89807023479533E-006 0.19852150785150E-020 0.11338043218717E-021 0.22787419998650E-009 0.40195871543177E+000 0.21732900763849E-003 0.65123819221375E-005 0.18203869123490E-016 0.15541447019654E-005 0.53890347059845E-010 0.44223119928580E-003 0.29749409561118E-013 0.33444218644437E-005 0.10566602516260E-034 0.17292823528632E-011 0.44865045172604E+000 0.28720470957908E-030 0.32582551580453E+003 0.90378416525817E-002 -.18441178816111E+004 0.10000000000030E+001 0.85497117844368E+002 0.10000000000000E+006 0.73358540213049E-003 0.19873320985234E+002 0.10000000000000E+001 0.10000000000000E+001 0.32582551580453E+003 0.14831379730751E-005 0.94512767616021E-020
  19 -.20164338841616E+000 0.97679034659168E-002 0.51489720042922E-015 0.12834567908686E-018 0.13737871940314E+000 0.71123398432067E-012 0.17288776114154E-002 0.10297910443847E-005 0.28202472101287E-020 0.16242697899083E-021 0.26178025373491E-009 0.40141111725453E+000 0.24951131909733E-003 0.77517984070938E-005 0.26982583387493E-016 0.18572056412748E-005 0.69070163277352E-010 0.52639258903360E-003 0.44687450150395E-013 0.40343865419932E-005 0.12492648343294E-034 0.19865024290490E-011 0.44892280484164E+000 0.29679033881462E-030 0.32880616397271E+003 0.88709693878619E-002 -.18393611373979E+004 0.10000000000034E+001 0.85719290105891E+002 0.10000000000000E+006 0.72707961247000E-003 0.19877263395497E+002 0.10000000000000E+001 0.10000000000000E+001 0.32880616397271E+003 0.19146152422917E-005 0.11139871518904E-019
  20 -.19901760966295E+000 0.97715768860406E-002 0.68336533672841E-015 0.16755597977643E-018 0.13731567729966E+000 0.86806292227193E-012 0.19461126603776E-002 0.11711922061386E-005 0.39113830549461E-020 0.22718725733559E-021 0.29860620131699E-009 0.40084817645922E+000 0.28410822320289E-003 0.91297723200815E-005 0.38907085308325E-016 0.21953094691490E-005 0.87131055252951E-010 0.61997882228550E-003 0.65651834262771E-013 0.48115153994424E-005 0.14669174104005E-034 0.22631494168194E-011 0.44919706147089E+000 0.30526034543047E-030 0.33192616141683E+003 0.87110824870822E-002 -.18344543165632E+004 0.10000000000037E+001 0.85955316479494E+002 0.10000000000000E+006 0.72037052141706E-003 0.19880719197096E+002 0.10000000000000E+001 0.10000000000000E+001 0.33192616141683E+003 0.24330064637118E-005 0.12934082010842E-019
  21 -.19647905597427E+000 0.97780576354681E-002 0.89609667132100E-015 0.21954792038903E-018 0.13723807014758E+000 0.10440832585908E-011 0.21762582307661E-002 0.13225924746447E-005 0.53135227351545E-020 0.31128354699738E-021 0.33857516157025E-009 0.40027016257456E+000 0.32120352834835E-003 0.10654379490853E-004 0.54778176153991E-016 0.25705784342228E-005 0.10841016515082E-009 0.72354560072523E-003 0.94631746108563E-013 0.56819489397167E-005 0.17140893765217E-034 0.25598979102456E-011 0.44947247233253E+000 0.31249576309959E-030 0.33518857089745E+003 0.85572230437390E-002 -.18293951521978E+004 0.10000000000040E+001 0.86205509970757E+002 0.10000000000000E+006 0.71346601170944E-003 0.19883698345330E+002 0.10000000000000E+001 0.10000000000000E+001 0.33518857089745E+003 0.30500535102066E-005 0.14799856352596E-019
  22 -.19401443317692E+000 0.97872784844662E-002 0.11629766696344E-014 0.28879495292452E-018 0.13714546940010E+000 0.12398174513677E-011 0.24196413765523E-002 0.14843319229181E-005 0.70896891834943E-020 0.41894119749160E-021 0.38193880437351E-009 0.39967725764208E+000 0.36088665878947E-003 0.12334078774685E-004 0.75532422179755E-016 0.29852323440805E-005 0.13326657716129E-009 0.83767600350256E-003 0.13417513471340E-012 0.66521469522032E-005 0.19962615655479E-034 0.28774670640736E-011 0.44974833412506E+000 0.31836377118383E-030 0.33859666122202E+003 0.84086041279431E-002 -.18241807435612E+004 0.10000000000044E+001 0.86470209540951E+002 0.10000000000000E+006 0.70637386063238E-003 0.19886207481356E+002 0.10000000000000E+001 0.10000000000000E+001 0.33859666122202E+003 0.37786867417841E-005 0.16716109355539E-019
  23 -.19161271053174E+000 0.97991894283130E-002 0.14959173449646E-014 0.38141378677113E-018 0.13703741508616E+000 0.14557137366226E-011 0.26766028243105E-002 0.16567650849641E-005 0.93120256040733E-020 0.55507152979621E-021 0.42897864054190E-009 0.39906958983114E+000 0.40325100260119E-003 0.14177657244304E-004 0.10225633335881E-015 0.34415753245937E-005 0.16208112336194E-009 0.96297690757844E-003 0.18752797257095E-012 0.77288645191020E-005 0.23201255143585E-034 0.32166073547945E-011 0.45002396946180E+000 0.32272395710106E-030 0.34215376324208E+003 0.82645735617476E-002 -.18188077915064E+004 0.10000000000048E+001 0.86749767902367E+002 0.10000000000000E+006 0.69910206879664E-003 0.19888250591943E+002 0.10000000000000E+001 0.10000000000000E+001 0.34215376324208E+003 0.46331342032326E-005 0.18660575334503E-019
  24 -.18926462869927E+000 0.98137537791433E-002 0.19092474971565E-014 0.50578724531253E-018 0.13691342138397E+000 0.16921588202477E-011 0.29474931593452E-002 0.18402584735262E-005 0.12063006499294E-019 0.72537051973611E-021 0.48000875422763E-009 0.39844724512577E+000 0.44839332397142E-003 0.16194210821258E-004 0.13620226586111E-015 0.39419910785910E-005 0.19525647821529E-009 0.11000778208306E-002 0.25880564239050E-012 0.89191465518854E-005 0.26938374663022E-034 0.35780958372293E-011 0.45029871911925E+000 0.32543524271617E-030 0.34586322679032E+003 0.81245843653702E-002 -.18132726591390E+004 0.10000000000051E+001 0.87044546958171E+002 0.10000000000000E+006 0.69165894685447E-003 0.19889829632264E+002 0.10000000000000E+001 0.10000000000000E+001 0.34586322679032E+003 0.56290572846356E-005 0.20574560754700E-019
  25 -.18696230398082E+000 0.98309453616889E-002 0.24201767347181E-014 0.67342803034237E-018 0.13677297961639E+000 0.19494960391749E-011 0.32326734679393E-002 0.20351910516575E-005 0.15436931044178E-019 0.93643803774154E-021 0.53537973205340E-009 0.39781026692265E+000 0.49641389958082E-003 0.18393153958042E-004 0.17880682679033E-015 0.44889452579127E-005 0.23321765161588E-009 0.12496316963066E-002 0.35320380925377E-012 0.10230338818807E-004 0.31273374141836E-034 0.39627371945208E-011 0.45057194063149E+000 0.32636353668336E-030 0.34972843701460E+003 0.79881743894643E-002 -.18075713361611E+004 0.10000000000055E+001 0.87354918128948E+002 0.10000000000000E+006 0.68405306835554E-003 0.19890945038101E+002 0.10000000000000E+001 0.10000000000000E+001 0.34972843701460E+003 0.67837192137316E-005 0.22442707545561E-019
  26 -.18469901732566E+000 0.98507456795839E-002 0.30493156822011E-014 0.90016620422028E-018 0.13661556622973E+000 0.22280351201333E-011 0.35325049593406E-002 0.22419471245510E-005 0.19541576849185E-019 0.11959105355473E-020 0.59548086638683E-009 0.39715867902470E+000 0.54741478557275E-003 0.20784141186389E-004 0.23171010107866E-015 0.50849658363678E-005 0.27641089829186E-009 0.14123097569408E-002 0.47725154161276E-012 0.11670045855011E-004 0.36327289545679E-034 0.43713498118596E-011 0.45084299758516E+000 0.32539039394726E-030 0.35375267995006E+003 0.78549592343958E-002 -.18016996207662E+004 0.10000000000059E+001 0.87681250714430E+002 0.10000000000000E+006 0.67629350778750E-003 0.19891596092988E+002 0.10000000000000E+001 0.10000000000000E+001 0.35375267995006E+003 0.81161286192789E-005 0.24241156769776E-019
  27 -.18246924994754E+000 0.98731391061960E-002 0.38211857715302E-014 0.12077492915581E-017 0.13644066887795E+000 0.25280335765900E-011 0.38473090561858E-002 0.24608882607881E-005 0.24499606867939E-019 0.15125809541579E-020 0.66073626258838E-009 0.39649256646413E+000 0.60149288786270E-003 0.23376725486848E-004 0.29676988072477E-015 0.57325574104585E-005 0.32529720402979E-009 0.15887783946442E-002 0.63909740006684E-012 0.13245925388353E-004 0.42246933275047E-034 0.48047101856353E-011 0.45111122812247E+000 0.32242346048718E-030 0.35793862264412E+003 0.77246267380617E-002 -.17956538418809E+004 0.10000000000063E+001 0.88023868140365E+002 0.10000000000000E+006 0.66839076115955E-003 0.19891781308233E+002 0.10000000000000E+001 0.10000000000000E+001 0.35793862264412E+003 0.96470348745185E-005 0.25894167794530E-019
  28 -.18026852709963E+000 0.98981093627709E-002 0.47647918739212E-014 0.16260212462333E-017 0.13624780414873E+000 0.28496983978210E-011 0.41773515201330E-002 0.26923407859646E-005 0.30450295437121E-019 0.18965404326949E-020 0.73160489395347E-009 0.39581209493799E+000 0.65873683158351E-003 0.26180162354142E-004 0.37607748686979E-015 0.64341510507337E-005 0.38034713423079E-009 0.17796859307267E-002 0.84884448904596E-012 0.14965561277967E-004 0.49210219011630E-034 0.52635277309476E-011 0.45137594393169E+000 0.31740810201673E-030 0.36228813398705E+003 0.75969129240311E-002 -.17894310562025E+004 0.10000000000067E+001 0.88383030411968E+002 0.10000000000000E+006 0.66035691147518E-003 0.19891499014140E+002 0.10000000000000E+001 0.10000000000000E+001 0.36228813398705E+003 0.11398975076926E-004 0.27372807598279E-019
  29 -.17809281768300E+000 0.99256425800435E-002 0.59144872393307E-014 0.21959947713359E-017 0.13603648781002E+000 0.31932662526324E-011 0.45229043379953E-002 0.29366380032887E-005 0.37553068636208E-019 0.23594400636229E-020 0.80859771512652E-009 0.39511737293610E+000 0.71923736792997E-003 0.29203881102982E-004 0.47199547315136E-015 0.71922212141391E-005 0.44204875848961E-009 0.19856947987604E-002 0.11189958178275E-011 0.16836745421201E-004 0.57434447629936E-034 0.57485281185201E-011 0.45163648942269E+000 0.31033677066264E-030 0.36680312306849E+003 0.74715755771804E-002 -.17830278053851E+004 0.10000000000071E+001 0.88759001232659E+002 0.10000000000000E+006 0.65220392691111E-003 0.19890747722169E+002 0.10000000000000E+001 0.10000000000000E+001 0.36680312306849E+003 0.13396757670628E-004 0.28691056414853E-019
  30 -.17593826056282E+000 0.99557299193418E-002 0.73109820057498E-014 0.29740944643265E-017 0.13580621143413E+000 0.35590650649463E-011 0.48842812464904E-002 0.31941457035531E-005 0.45991844896862E-019 0.29148124336396E-020 0.89229201634542E-009 0.39440838482194E+000 0.78309371665767E-003 0.32457811274413E-004 0.58720458552844E-015 0.80093675828860E-005 0.51091475528983E-009 0.22075039345761E-002 0.14650002549567E-011 0.18867684563920E-004 0.67186746122565E-034 0.62605041187895E-011 0.45189226450324E+000 0.30125620498730E-030 0.37148599341465E+003 0.73483909895724E-002 -.17764394788650E+004 0.10000000000075E+001 0.89152086410294E+002 0.10000000000000E+006 0.64394283505250E-003 0.19889526036323E+002 0.10000000000000E+001 0.10000000000000E+001 0.37148599341465E+003 0.15667975143676E-004 0.29771124441320E-019
