[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666868E-037 0.33262786050168E-035 -.33921179165190E-035 0.00000000000000E+000 0.00000000000000E+000 0.65839311502188E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893455E-037 -.58482048893455E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.33262786050168E-035 0.33262786050168E-035 0.00000000000000E+000 0.00000000000000E+000 0.42240798307807E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45013616187829E+000 -.18267387334097E-024 0.67613577580551E-025 -.17877594064160E-025 -.19497826037048E-024 0.97795617861916E-025 -.29271413795340E-041 0.11506023693751E-024 0.27546331310819E-046 0.85607196854589E-045 -.24471430504000E-024 0.16479628170105E-024 -.21770893642763E-037 0.21739158000843E-037 0.65903477483041E-038 0.79917967399080E-025 0.55669071545815E-031 -.65569844069021E-038 0.25690178890155E-041 0.13540269739039E-033 0.15821441323193E-062 0.15821440405196E-062 -.15821440864194E-062 0.00000000000000E+000 0.41349335819425E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.40118833950638E+000 -.96717014229785E-022 0.96717014230070E-022 -.22670662835018E-024 -.43467960270611E-022 0.43720428449566E-022 -.64869240634749E-036 -.25761553991369E-025 0.81487454200397E-041 0.25323965115380E-039 -.13998533631963E-021 0.96491534402619E-022 -.23919156928977E-033 0.23919156928915E-033 0.28718251136080E-032 0.43469187068679E-022 0.24534756200865E-025 -.28664856074408E-032 0.23641483607571E-035 0.40047494208927E-028 0.20062655278872E-061 0.20061701512988E-061 -.20062178395930E-061 0.00000000000000E+000 0.97360721105809E-017 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.35452764604627E+000 -.14702280980634E-019 -.84358196293774E-021 -.32294673924988E-023 -.22130867806116E-019 0.73751610728375E-020 -.12339552157454E-031 0.14758936233677E-019 0.18903311432204E-036 0.58741907696032E-035 -.22110311945179E-019 0.14736524398316E-019 -.15063255292374E-029 0.72568150416043E-030 0.72726574585108E-028 0.66224777911024E-020 0.74945367567148E-021 -.84016268696331E-028 0.14418697450744E-028 0.92807366880701E-024 0.28716652735387E-060 0.28421298569465E-060 -.28568975652426E-060 0.00000000000000E+000 0.47642913962560E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.31328425314896E+000 -.62914734815462E-018 -.31950254988894E-018 -.34263450624995E-022 -.17375440033239E-017 0.19347261575029E-017 -.19925539099173E-028 -.19714785626764E-018 0.34867916248417E-033 0.10829677972514E-031 -.26497021903179E-017 0.71161163142315E-018 -.29558937954369E-026 0.42859807756931E-027 0.16442740861577E-024 0.87139281013164E-018 0.10632988526904E-017 -.30570674963380E-024 0.16642925452997E-024 0.16995063637788E-020 0.38582124848113E-059 0.21452241012530E-059 -.30017182930321E-059 0.00000000000000E+000 0.51581461484390E-012 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.28361017790111E+000 -.36286358791342E-016 -.35593431218461E-018 -.16467002630240E-021 -.33530130446448E-015 -.11210196608962E-016 0.22220979954902E-015 0.12429873861450E-015 0.93207681287571E-029 0.39552543220328E-023 -.35876293281626E-016 -.17551080104618E-015 -.31932987395798E-020 0.31921162302125E-020 0.59341890406355E-021 0.30906585572026E-015 -.98063946642952E-016 0.16383076157776E-020 -.16314185121703E-020 0.19228764031728E-018 0.60734066636225E-058 -.35481195044315E-058 -.12626435795955E-058 0.00000000000000E+000 0.80045329920103E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.26559350020927E+000 -.44328094814979E-015 -.34227971711843E-017 -.50953836826442E-021 -.44752615938760E-014 -.11607808966539E-015 0.31626788536735E-014 0.14284868862303E-014 -.22936950029816E-025 -.12493581211299E-026 -.48537368388753E-015 -.25666928941184E-014 -.17814350657334E-018 0.17810675303895E-018 0.49199557728888E-019 0.41809266820521E-014 -.11342047907877E-014 0.62112570613658E-019 -.60279701169092E-019 0.26459291113338E-017 0.49394184311027E-057 -.44317880174996E-057 -.25381520680155E-058 0.00000000000000E+000 0.11047431919546E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.25433152159518E+000 -.20389664037381E-014 -.14837885597683E-016 -.12407602530444E-020 -.20730195558703E-013 -.48214070303790E-015 0.15074936949102E-013 0.61355699983206E-014 -.20438923800655E-024 -.10122541568943E-025 -.23217148158632E-014 -.12297454450463E-013 -.12117642871565E-017 0.18696328928221E-017 0.22114596797048E-021 0.19410516862863E-013 -.48165884700453E-014 0.55912250472283E-018 -.53110581681607E-018 0.12263375297936E-016 0.19554325482281E-056 -.18835859572547E-056 -.35923295486700E-058 0.00000000000000E+000 0.52020719849906E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.24628550481023E+000 -.58065279760942E-014 -.40879308652991E-016 -.24867056483499E-020 -.58584236577543E-013 -.12290810813433E-014 0.43531218778620E-013 0.16273145888848E-013 -.87652856589245E-024 -.42186752124656E-025 -.68187479135454E-014 -.35561912706045E-013 -.53517445913114E-017 0.91522259866172E-017 -.69769117340961E-021 0.54876538649520E-013 -.12569444492390E-013 0.25430916674548E-017 -.23704828822783E-017 0.34710731052629E-016 0.54466974023328E-056 -.53591295942759E-056 -.43783904028487E-058 0.00000000000000E+000 0.14897948269771E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.23990938844494E+000 -.12900335612192E-013 -.88441563580849E-016 -.43365047528113E-020 -.12879584412502E-012 -.24196356125146E-014 0.97399140206807E-013 0.33786654789473E-013 -.25992347739440E-023 -.12436220296135E-024 -.15575011711697E-013 -.79587727915581E-013 -.16085069913950E-016 0.30365142830895E-016 -.37637939412819E-020 0.12063686175845E-012 -.25642624797105E-013 0.80840943549521E-017 -.74037485730063E-017 0.76432833983845E-016 0.12794579756058E-055 -.12695443271688E-055 -.49568242185176E-058 0.00000000000000E+000 0.33127893315087E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  11 -.23454113337753E+000 -.24692629199406E-013 -.16613551663721E-015 -.68523511480768E-020 -.24387909855572E-012 -.40840263011099E-014 0.18717196772933E-012 0.60713189221677E-013 -.61752447509936E-023 -.29724642425990E-024 -.30562182339286E-013 -.15289564064140E-012 -.38350037869572E-016 0.79826049271525E-016 -.11462627712733E-019 0.22837883942302E-012 -.45256245928847E-013 0.20760086761059E-016 -.18700876631357E-016 0.14482326197622E-015 0.27446945831074E-055 -.27339351392139E-055 -.53797219467453E-058 0.00000000000000E+000 0.63355604414294E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  12 -.22984864327310E+000 -.42787619164877E-013 -.28463483583429E-015 -.10082370983439E-019 -.41815894082707E-012 -.62179715909855E-014 0.32503732753544E-012 0.99164344535015E-013 -.12652332481402E-022 -.61711313157772E-024 -.54155012810646E-013 -.26534200330046E-012 -.78208162430653E-016 0.17961118213755E-015 -.27387815413512E-019 0.39146349519683E-012 -.72574635288849E-013 0.46272482536315E-016 -.41042883254821E-016 0.24816069296836E-015 0.56030717432216E-055 -.55916901888967E-055 -.56907771624620E-058 0.00000000000000E+000 0.10959614675191E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  13 -.22564510773385E+000 -.69011593111285E-013 -.45702024135371E-015 -.14073484869865E-019 -.66758360331665E-012 -.87826746385907E-014 0.52475044370873E-012 0.15126394218820E-012 -.23301006834458E-022 -.11567091610607E-023 -.89123076367397E-013 -.42800151971123E-012 -.14225835135514E-015 0.36112649273496E-015 -.56445056118156E-019 0.62473906245208E-012 -.10864743338089E-012 0.93169789889687E-016 -.81464749512946E-016 0.39537262740658E-015 0.11154301136109E-054 -.11142443547289E-054 -.59287944100845E-058 0.00000000000000E+000 0.17637319176236E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  14 -.22181338436340E+000 -.10541828218396E-012 -.69947327649927E-015 -.18890400255260E-019 -.10096833563873E-011 -.11710796997389E-013 0.80161343273454E-012 0.21913223242746E-012 -.39596544072758E-022 -.20037816754842E-023 -.13863489620571E-012 -.65313759245484E-012 -.23685330300123E-015 0.66647623075290E-015 -.10491284225958E-018 0.94448848605646E-012 -.15438484922926E-012 0.17372195382065E-015 -.14991808015806E-015 0.59586305635778E-015 0.22020822452421E-054 -.22008563110190E-054 -.61296711152401E-058 0.00000000000000E+000 0.26871197910876E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  15 -.21826000884210E+000 -.15453294531736E-012 -.10326225266078E-014 -.24659534947440E-019 -.14657234883588E-011 -.14922021027102E-013 0.11742543183122E-011 0.30527209309228E-012 -.63240718685131E-022 -.32692112842284E-023 -.20659642402212E-012 -.95563323473422E-012 -.36780960748537E-015 0.11520554583358E-014 -.18064466028677E-018 0.13704239600638E-011 -.21078956282087E-012 0.30562182249435E-015 -.26061911145186E-015 0.86059547583935E-015 0.43793469588133E-054 -.43780814452929E-054 -.63275676016916E-058 0.00000000000000E+000 0.39273053794138E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  16 -.21492190981763E+000 -.21931828726283E-012 -.14825084286964E-014 -.31574258141238E-019 -.20601742443690E-011 -.18321768974554E-013 0.16642594681964E-011 0.41240355542410E-012 -.96152770656015E-022 -.50840152236366E-023 -.29760700311967E-012 -.13526698174132E-011 -.53923548120743E-015 0.18905515002108E-014 -.29306552185518E-018 0.19251644135041E-011 -.27880227771568E-012 0.51373299437808E-015 -.43341884273369E-015 0.12015167944857E-014 0.88867078990626E-054 -.88853967171228E-054 -.65559096990776E-058 0.00000000000000E+000 0.55551227679333E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
