[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666869E-037 0.70833072485642E-035 -.71491465600664E-035 0.00000000000000E+000 0.00000000000000E+000 0.65839311502190E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.70833072485642E-035 0.70833072485642E-035 0.00000000000000E+000 0.00000000000000E+000 0.91922381768717E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46446360255671E+000 -.41187033040362E-030 0.77589791004931E-033 -.10209502765117E-029 -.41113248882078E-030 0.47257901402358E-031 0.97373036347213E-030 0.41109450176148E-030 0.50859931659520E-060 0.22077882290679E-054 0.15827723956968E-029 -.15828103814526E-029 -.60187827865233E-069 0.60182819734151E-069 0.37810886308296E-058 0.37985755764035E-034 0.50485287513598E-046 0.25597451555863E-041 -.25597467476595E-041 0.15921037428191E-047 0.90353763473964E-067 0.90353763473931E-067 -.90353763473948E-067 0.00000000000000E+000 0.13208463186111E-024 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.42892737363801E+000 -.12086836137801E-037 0.16816409666869E-037 0.22404707968781E-073 -.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 -.22404713687084E-073 0.22404707968781E-073 0.57183032881793E-080 0.78021653791014E-098 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508002E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.39339177870281E+000 -.12086836137801E-037 0.16816409666869E-037 0.43831248469082E-073 -.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 -.43831259656033E-073 0.43831248469081E-073 0.11186951090592E-079 0.15263695907341E-097 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508002E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.35785807679388E+000 -.12086836137802E-037 0.16816409666869E-037 0.90748002197029E-073 -.65839311502192E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502192E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893458E-037 -.58482048893458E-037 -.90748025358438E-073 0.90748002197029E-073 0.23161408757572E-079 0.31601881263120E-097 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508002E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.32232881892102E+000 -.12086836137801E-037 0.16816409666869E-037 0.18888284581376E-072 -.65839311502190E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502190E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 -.18888289402190E-072 0.18888284581376E-072 0.48208144457964E-079 0.65776139656349E-097 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508002E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.28680758887369E+000 -.12086836137802E-037 0.16816409666870E-037 0.42296146376190E-072 -.65839311502195E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502195E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893461E-037 -.58482048893461E-037 -.42296157171341E-072 0.42296146376190E-072 0.10795150431654E-078 0.14729115388853E-096 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508003E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.25130010708332E+000 -.12086836137802E-037 0.16816409666870E-037 0.12782028179785E-071 -.65839311502195E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502195E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893461E-037 -.58482048893461E-037 -.12782031442114E-071 0.12782028179785E-071 0.32623283406286E-078 0.44511848972985E-096 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508003E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.21583819992296E+000 -.12086836137801E-037 0.16816409666869E-037 0.00000000000000E+000 -.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.65839311502191E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.17447029508002E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.18059774752229E+000 -.12086836137803E-037 0.16816409698805E-037 0.00000000000000E+000 -.80186111486057E-037 0.00000000000000E+000 0.00000000000000E+000 0.80186111486057E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893465E-037 -.58482048893465E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.14346800015790E-037 -.14346800015790E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.15835515052813E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
