[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.71452524865216E-001 -.18871969411586E+004 0.10000000000000E+001 0.20906274312821E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   2 -.45120766977317E+000 0.10342068519743E-001 -.15313113909690E-039 0.71780162034960E-038 0.13679865441251E+000 -.86202071642031E-040 -.27637274231835E-030 0.19805778357549E-035 -.11608623680060E-042 -.25978583689956E-043 0.62646648879577E-036 0.40651061452604E+000 0.35967631241576E-038 0.91071770650259E-039 -.10937372637346E-042 -.13698854327336E-030 -.14522155651140E-037 0.13683960867674E-037 -.12321491296206E-037 -.78931996975666E-038 -.12808690297483E-037 0.30258067250002E-037 0.44634866254171E+000 0.91071738540946E-039 0.30000000000075E+003 0.63385304693517E-001 -.18871969411716E+004 0.10000000000000E+001 0.20906274312821E+003 0.10000000000000E+006 0.79109775256580E-003 0.19732680338963E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000075E+003 -.17447056264344E-031 0.00000000000000E+000
   3 -.40244554425035E+000 0.10342068488361E-001 -.18788109996920E-037 -.47818840191564E-030 0.13679865451317E+000 -.46691758645464E-033 0.11602244499950E-028 -.32049753163119E-028 -.14509039611540E-040 -.11593696584682E-042 0.70090424418721E-030 0.40651061488198E+000 0.75697548392491E-035 0.48591924794001E-038 -.83267609988441E-041 -.68279539720008E-028 -.55322767433126E-037 0.65505509504161E-037 -.45214686865888E-037 -.10668686012663E-031 -.84809528590056E-037 -.15663921413733E-031 0.44634866211649E+000 0.47252500099929E-038 0.30000000008013E+003 0.55331658360590E-001 -.18871969426963E+004 0.10000000000000E+001 0.20906274312844E+003 0.10000000000000E+006 0.79109775244100E-003 0.19732680341071E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000008013E+003 0.28832501856378E-030 0.00000000000000E+000
   4 -.35381735833874E+000 0.10342065890311E-001 0.10592542950573E-032 -.48214129676413E-029 0.13679866114413E+000 0.14011836226422E-031 0.24274343229463E-023 -.12124057862734E-025 0.14576316848620E-039 -.38127361890319E-038 0.37413031939870E-029 0.40651063996120E+000 0.20177192410020E-025 0.46225531384158E-030 0.83014144841460E-040 -.12839576274055E-025 -.21106635790299E-036 0.42465842054042E-028 -.11465475678117E-037 -.43248627928197E-030 -.30803985113318E-036 -.23806828013039E-030 0.44634863300436E+000 0.12640894874342E-037 0.30000000514166E+003 0.47333885564776E-001 -.18871970510089E+004 0.10000000000000E+001 0.20906274326101E+003 0.10000000000000E+006 0.79109774779674E-003 0.19732680558153E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000514166E+003 0.47527191422932E-024 0.30202117954908E-028
   5 -.30573089410977E+000 0.10341942806340E-001 0.19273685527649E-028 0.19565515399062E-025 0.13679888511238E+000 0.38679501489372E-027 0.93301276568702E-016 0.47395629327757E-020 -.68047950172779E-036 -.92479706774748E-037 0.91118603816411E-022 0.40651152495423E+000 0.80152724789441E-018 0.23646801565350E-022 -.23433180141232E-036 0.41698032022096E-023 -.91291907665522E-029 0.22480157256850E-020 -.69668806422954E-032 0.51928304224871E-023 -.69683920633944E-036 0.59886443061403E-026 0.44634764712706E+000 0.16945233871221E-037 0.30000017156004E+003 0.39527951328884E-001 -.18872008939320E+004 0.10000000000000E+001 0.20906274031711E+003 0.10000000000000E+006 0.79109784104603E-003 0.19732693830379E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000017156004E+003 0.87284717109272E-020 0.14174973025505E-025
   6 -.25942256374263E+000 0.10339037724400E-001 0.26046694894701E-024 0.27360470646949E-022 0.13680210399005E+000 0.47666912986397E-022 0.49285259283483E-010 0.53551961411531E-014 -.65916147630093E-034 -.45619708298031E-036 0.90149522575760E-016 0.40652454546167E+000 0.92101729112552E-012 0.35017539267291E-016 -.35477577869214E-034 0.81537649596137E-017 0.10747552148524E-022 0.33860787408816E-014 0.73502386915690E-027 0.84161040840391E-017 0.42318156885067E-036 0.68906956973336E-020 0.44633431277366E+000 -.18307457911833E-038 0.30000260327723E+003 0.32269148778930E-001 -.18872574881272E+004 0.10000000000000E+001 0.20906240874582E+003 0.10000000000000E+006 0.79110711525301E-003 0.19733085110467E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000260327723E+003 0.17031922561244E-015 0.98038780537674E-024
   7 -.21795328682669E+000 0.10309969531248E-001 0.54579192981196E-021 0.40298318107025E-020 0.13682229265707E+000 0.22001223292551E-018 0.82064316908010E-007 0.23308952912336E-010 0.10857493287966E-029 0.41636786754697E-031 0.22246154076318E-012 0.40660179330762E+000 0.44166207215191E-008 0.34246696284318E-011 0.88471954510595E-029 0.84411642325521E-012 0.14789771869863E-016 0.33525276086175E-009 0.37259245211535E-021 0.91143858384636E-012 0.35939204570186E-033 0.35443108970384E-016 0.44626585765916E+000 0.17490208381690E-035 0.30002486495053E+003 0.26255674443912E-001 -.18875817873229E+004 0.10000000000001E+001 0.20905787744487E+003 0.10000000000000E+006 0.79122659756580E-003 0.19737529946789E+002 0.10000000000000E+001 0.10000000000000E+001 0.30002486495053E+003 0.58006969173351E-012 0.36457315154728E-023
   8 -.18671358531953E+000 0.10203198444986E-001 0.11550240072555E-018 0.87196881428670E-019 0.13689345347232E+000 0.23539320817102E-015 0.53920583686478E-005 0.22364029135566E-008 0.65476802057250E-025 0.31768322112200E-026 0.17145125309229E-010 0.40675920097986E+000 0.43940609734199E-006 0.16404750038917E-008 -.34967416603011E-023 0.49946505056587E-009 0.33258438116030E-013 0.15920295614800E-006 0.15099709749415E-017 0.81842954326516E-009 0.11737458862619E-031 0.36193444064902E-014 0.44613815122345E+000 0.15302628482080E-033 0.30027332088121E+003 0.22193294284146E-001 -.18879808831079E+004 0.99999999999992E+000 0.20905774105141E+003 0.10000000000000E+006 0.79127738023928E-003 0.19755142794034E+002 0.10000000000000E+001 0.10000000000000E+001 0.30027332088121E+003 0.60123560929928E-009 0.12361757771549E-020
   9 -.16883812785763E+000 0.10062488802000E-001 0.54074867107143E-017 0.41221320540006E-018 0.13703037075856E+000 0.15083017092013E-013 0.41943855000911E-004 0.20544184502299E-007 0.34162584435992E-022 0.17845845102255E-023 0.14320965400234E-009 0.40675440353341E+000 0.41003899770816E-005 0.28585258181321E-007 0.29768999767826E-020 0.93879973523156E-008 0.17009201605208E-011 0.27647595356863E-005 0.12934197313134E-015 0.17815743129666E-007 0.68714351983422E-031 0.34153556926998E-013 0.44610385142338E+000 0.18763508030467E-034 0.30131099077384E+003 0.19973731366793E-001 -.18867607790545E+004 0.99999999999873E+000 0.20914214022586E+003 0.10000000000000E+006 0.78956290753616E-003 0.19780459965951E+002 0.10000000000000E+001 0.10000000000000E+001 0.30131099077384E+003 0.34271028658595E-007 0.99152335507791E-020
  10 -.15983111511770E+000 0.99641955864489E-002 0.38149195481817E-016 0.85612721849935E-018 0.13716012231517E+000 0.10639177807415E-012 0.10809524610651E-003 0.57173843409264E-007 0.64005244413979E-021 0.33721972597732E-022 0.38173763424379E-009 0.40654978794898E+000 0.11495322974900E-004 0.10647518377079E-006 0.80338476566451E-019 0.36165236198177E-007 0.11147188411894E-010 0.10282450571793E-004 0.13543933571461E-014 0.73330604283513E-007 0.15673785836210E-030 0.96238153875857E-013 0.44619574759179E+000 -.20289827443077E-032 0.30283328021919E+003 0.18787615476517E-001 -.18842210281981E+004 0.99999999999732E+000 0.20931124182267E+003 0.10000000000000E+006 0.78637114404743E-003 0.19800029827962E+002 0.10000000000000E+001 0.10000000000000E+001 0.30283328021919E+003 0.23600545500700E-006 0.26141100148813E-019
