[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.10342068519984E-001 0.00000000000000E+000 0.00000000000000E+000 0.13679865441157E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.40651061452297E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.44634866254547E+000 0.00000000000000E+000 0.30000000000000E+003 0.14734726433025E+000 -.18871969411586E+004 0.10000000000000E+001 0.41770819531423E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.17447029508001E-031 0.00000000000000E+000
   2 -.45352203711379E+000 0.10342068519984E-001 0.77922751783997E-041 0.62829348331065E-039 0.13679865441157E+000 -.60967455520664E-040 -.17351231621757E-032 0.87096367570105E-036 0.10409345318342E-043 -.12394420643762E-040 0.28024365423671E-036 0.40651061452297E+000 0.35268324592788E-039 0.73836423641114E-040 0.65096513525950E-044 0.33894003176732E-038 -.33375550721069E-038 0.31294303762707E-038 -.30915521907437E-038 -.16901178913133E-038 -.88086369118894E-039 0.21190225639664E-038 0.44634866254547E+000 0.73836436665434E-040 0.30000000000000E+003 0.13199004809058E+000 -.18871969411586E+004 0.10000000000000E+001 0.41770819531423E+003 0.10000000000000E+006 0.79109775256726E-003 0.19732680338950E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.13982315946902E-031 0.00000000000000E+000
   3 -.40705215002753E+000 0.10342068519987E-001 0.99843875170890E-038 0.13683884509363E-031 0.13679865441158E+000 0.97991115703901E-035 -.11972986355176E-032 0.21673899785421E-033 -.30424862215977E-042 -.21598456043277E-043 0.38469797073803E-033 0.40651061452300E+000 0.16911919458426E-038 0.36997015205904E-039 -.20327640039900E-042 0.20412173432216E-037 -.14155461764182E-037 0.12883988968586E-037 -.12593727440381E-037 -.64475514622421E-035 -.12574277382631E-031 0.26146781017580E-031 0.44634866254543E+000 0.36997017655334E-039 0.30000000000000E+003 0.11663851111010E+000 -.18871969411587E+004 0.10000000000000E+001 0.41770819531404E+003 0.10000000000000E+006 0.79109775256721E-003 0.19732680338949E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.69511240575508E-029 0.46827215195974E-036
   4 -.36060856022839E+000 0.10342068519857E-001 0.20886239955595E-037 0.28437840931977E-031 0.13679865441123E+000 0.20751779610952E-034 0.24507413303355E-032 0.77593968071667E-033 -.62278474533122E-042 -.19989862991262E-043 0.13839164902688E-032 0.40651061452144E+000 0.58431679921492E-038 0.13640303931550E-038 -.40746992131931E-042 -.35969114970208E-034 -.44723755078568E-037 0.40075692763740E-037 -.38738677802858E-037 -.21133161240911E-034 -.25678474412161E-031 0.55062646115808E-031 0.44634866254747E+000 0.13640305505353E-038 0.29999999999978E+003 0.10130588076226E+000 -.18871969411518E+004 0.10000000000000E+001 0.41770819531319E+003 0.10000000000000E+006 0.79109775256937E-003 0.19732680338988E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999978E+003 0.14648257008942E-028 0.00000000000000E+000
   5 -.31425310344177E+000 0.10342068523864E-001 0.10476446224185E-036 0.42798879079248E-031 0.13679865443445E+000 0.34990010926340E-034 0.12138009380239E-029 -.25519414790208E-029 0.17305790337611E-041 -.14135274565281E-043 0.24830511971377E-032 0.40651061461118E+000 0.13327765824156E-036 0.36713798937055E-038 0.96210667739199E-042 -.27068420995858E-029 -.10765661290641E-036 0.95604504112963E-037 -.90696507649492E-037 -.19403930633771E-033 -.39351700001524E-031 0.84401214609980E-031 0.44634866243051E+000 0.36619273166329E-038 0.30000000001576E+003 0.86046288164416E-001 -.18871969415426E+004 0.10000000000000E+001 0.41770819531783E+003 0.10000000000000E+006 0.79109775246272E-003 0.19732680337379E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000001576E+003 0.55839916276883E-028 0.00000000000000E+000
   6 -.26825156652164E+000 0.10342067984400E-001 0.44209306380202E-032 0.52986981877933E-031 0.13679865518202E+000 0.33144010550921E-033 0.61950632178170E-025 -.12621122154335E-025 -.17755235203119E-039 -.14421755643657E-038 -.12728370773560E-028 0.40651061632656E+000 0.12297341701279E-026 0.14234291889858E-030 -.10202410950966E-039 -.11750911232878E-025 0.61725549939370E-036 0.14837738133444E-028 -.44247512062810E-037 0.10507171154568E-030 -.53037338550309E-031 0.11373048534839E-030 0.44634866050701E+000 0.51453588797043E-038 0.30000000077178E+003 0.71066409217514E-001 -.18871969482866E+004 0.10000000000000E+001 0.41770819523795E+003 0.10000000000000E+006 0.79109775368449E-003 0.19732680417582E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000077178E+003 0.19651880917378E-023 0.15845150898584E-028
   7 -.22358904574275E+000 0.10342017284158E-001 0.14202578226860E-027 0.19992167212753E-025 0.13679885371951E+000 0.24582518627017E-027 0.30022435840819E-016 0.29056185550385E-020 0.61664241910157E-038 -.20142864581251E-036 0.24014323396520E-021 0.40651139230754E+000 0.45055473395605E-018 0.63872818358670E-022 0.34692798951542E-038 0.21445438404238E-022 0.97647714699920E-027 0.82071343114569E-020 0.12433507034211E-030 0.32292730490483E-022 -.66122991983296E-031 0.34895015366363E-026 0.44634773668879E+000 -.20238021710842E-037 0.30000014785227E+003 0.56951235667269E-001 -.18872003145350E+004 0.10000000000000E+001 0.41770822012163E+003 0.10000000000000E+006 0.79109742131879E-003 0.19732681801549E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000014785227E+003 0.63321752572560E-019 0.16204681413221E-025
   8 -.18282101163192E+000 0.10338547678558E-001 0.21311883279865E-023 0.92463713668296E-021 0.13680340178246E+000 0.51274521103047E-021 0.38007334894257E-010 0.38150839884096E-014 -.11117843836280E-033 -.26302831588503E-035 0.31911514467246E-015 0.40652960576066E+000 0.60302756808121E-012 0.11023773960338E-015 0.25788620696420E-034 0.44735626019679E-016 0.48254644996890E-020 0.14463899783568E-013 0.70905050892447E-024 0.61289629771041E-016 -.75659118602605E-031 0.46703372347661E-020 0.44632844473969E+000 -.40651261170687E-033 0.30000350317652E+003 0.44804654694119E-001 -.18872795410878E+004 0.10000000000000E+001 0.41770754191399E+003 0.10000000000000E+006 0.79110624995722E-003 0.19733122718900E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000350317652E+003 0.12990736094307E-014 0.10624605169001E-023
   9 -.15007388468589E+000 0.10293697529885E-001 0.80154157827919E-020 0.23390430712923E-018 0.13683329553074E+000 0.62681948804943E-017 0.18557098830459E-006 0.57701090575834E-010 0.36615574111471E-027 0.12972611394958E-028 0.25147475625184E-011 0.40664154471825E+000 0.10153198763117E-007 0.79097118112573E-011 0.12056577522138E-026 0.33683423978385E-011 0.10300145168551E-014 0.10525855156581E-008 0.17555271080655E-018 0.48121068567704E-011 0.91468126242320E-030 0.84661755421065E-016 0.44623126536804E+000 -.58141209467161E-031 0.30003978716406E+003 0.35819725285695E-001 -.18877438496885E+004 0.10000000000001E+001 0.41769335874706E+003 0.10000000000000E+006 0.79128843451685E-003 0.19740054253569E+002 0.10000000000000E+001 0.10000000000000E+001 0.30003978716406E+003 0.17986084893079E-010 0.19830046973281E-022
  10 -.12845189500660E+000 0.10147274608807E-001 0.18884813783571E-017 0.42492217445914E-017 0.13693277403844E+000 0.44907759260942E-014 0.97577503216171E-005 0.43036641392364E-008 0.11230833958174E-022 0.56716894753873E-024 0.15327683777085E-009 0.40683466227001E+000 0.78305492904797E-006 0.25385047508169E-008 0.13353199369565E-021 0.13050076074360E-008 0.10369362612062E-011 0.33527599507715E-006 0.28423271917895E-015 0.27004603016627E-008 0.25590548604614E-028 0.66877559208908E-014 0.44607440199953E+000 -.29047178904536E-029 0.30043967835088E+003 0.30316965274311E-001 -.18881197796789E+004 0.99999999999985E+000 0.41770706293487E+003 0.10000000000000E+006 0.79121160401817E-003 0.19764444452945E+002 0.10000000000000E+001 0.10000000000000E+001 0.30043967835088E+003 0.15799598233100E-007 0.17764669387467E-020
