[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001838.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 -.12086836137801E-037 0.16816409666869E-037 0.40311413742052E-035 -.40969806857074E-035 0.00000000000000E+000 0.00000000000000E+000 0.65839311502190E-037 0.00000000000000E+000 0.00000000000000E+000 0.58482048893457E-037 -.58482048893457E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.40311413742052E-035 0.40311413742052E-035 0.00000000000000E+000 0.00000000000000E+000 0.51561647792430E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.45550839071092E+000 -.16441399374421E-019 -.66689470239234E-022 -.12841498683728E-023 -.42195869491507E-019 -.11941615503205E-020 0.20856478877768E-019 0.22534824438631E-019 0.27335631251576E-033 -.19028893931366E-032 -.15921721768786E-019 -.37409171389730E-020 -.52662515506931E-026 0.11103139397382E-025 -.29315395316082E-026 0.26363209566959E-019 -.67021666472738E-020 -.39946928081400E-026 0.20606360671018E-026 0.79847541987878E-024 0.12558240880535E-060 0.10079085535646E-060 -.11318663208090E-060 0.00000000000000E+000 0.98548951991628E-014 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.41804212596969E+000 -.31937818013969E-018 -.16618631049267E-020 -.70144418905816E-023 -.19888567167429E-017 -.49308252833767E-019 0.14250296327892E-017 0.61313443559752E-018 0.11522485631433E-032 0.48962594766543E-027 -.33610058379625E-018 -.10397630585017E-017 -.79467378929462E-023 0.79427471862382E-023 0.13567065994915E-023 0.17337024369936E-017 -.35798153567942E-018 -.80733135976363E-024 0.64219442781781E-024 0.70859026040034E-022 0.13079372329486E-059 -.12581295612045E-060 -.59106213841408E-060 0.00000000000000E+000 0.50511627629658E-012 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.39022574052322E+000 -.44631163448931E-017 -.20986005504159E-019 -.20041238026740E-022 -.37320441824904E-016 -.69687369111006E-018 0.29197348128395E-016 0.88192179379892E-017 0.10557033054554E-030 0.44501253635451E-025 -.51850446372266E-017 -.23319005605563E-016 -.78160065387301E-021 0.78132933138456E-021 0.18330769998186E-021 0.34250500344857E-016 -.57494713327820E-017 -.53003435514118E-022 0.56018895257820E-022 0.14160594583709E-020 0.10289866157030E-058 -.75800837730752E-059 -.13548911919774E-059 0.00000000000000E+000 0.98169932845700E-011 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.36952930506209E+000 -.33411263029778E-016 -.14024298282990E-018 -.44292407739365E-022 -.29746675420019E-015 -.46231108804428E-017 0.24017710318268E-015 0.61894285582629E-016 -.61460997590316E-028 -.19522877027515E-027 -.40655836842365E-016 -.19493888573004E-015 -.12749261424262E-019 0.18842966121026E-019 -.49375104089559E-022 0.27570326796717E-015 -.40137166037594E-016 0.20585712537874E-020 -.18411781892932E-020 0.11070763682982E-019 0.46005688905322E-058 -.42337718023906E-058 -.18339854407078E-059 0.00000000000000E+000 0.79543153573549E-010 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.35268131872255E+000 -.16179320703917E-015 -.54686375605260E-018 -.71873678699103E-022 -.14552320792765E-014 -.17370148376682E-016 0.12012648860223E-014 0.27112956836117E-015 -.48271575393220E-027 -.13417253777436E-028 -.20484195507697E-015 -.97936684194592E-015 -.12446625322833E-018 0.21163887717535E-018 -.79887948402989E-022 0.13525023474558E-014 -.16849072301030E-015 0.21750716424412E-019 -.18134735289963E-019 0.51423939789097E-019 0.11889636264994E-057 -.11581585035252E-057 -.15402561487102E-059 0.00000000000000E+000 0.39459939483702E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.34203326485404E+000 -.42245991221053E-015 -.14815338568606E-017 -.39174688108928E-022 -.38191425938786E-014 -.42602926960895E-016 0.31722780662856E-014 0.68858328889699E-015 -.19775390134650E-026 0.32402697283358E-026 -.54161534864077E-015 -.25892132970920E-014 -.46964593397924E-018 0.90096299445691E-018 -.47462657787111E-021 0.35535085073028E-014 -.42339680291802E-015 0.10133730415831E-018 -.82344703178069E-019 0.12405685545160E-018 0.92186063278154E-058 -.91131567331091E-058 -.52724797353162E-060 0.00000000000000E+000 0.10399506400652E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.33286661843781E+000 -.93547350695682E-015 -.32855474054922E-017 0.51747177065504E-023 -.84480068755465E-014 -.83610953649107E-016 0.70685050778367E-014 0.14602167434767E-014 -.59962794540649E-026 0.56609396809627E-026 -.12183594791508E-014 -.57700037379719E-014 -.13560092746857E-017 0.29532644214379E-017 -.97421185907100E-021 0.78641671108908E-014 -.87803052146968E-015 0.34897397141184E-018 -.27522963986470E-018 0.24142905194710E-018 0.50806690688156E-059 -.50806690688156E-059 0.00000000000000E+000 0.00000000000000E+000 0.23127807075134E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.32369997202158E+000 -.20087363306803E-014 -.68522599620781E-017 0.13518980722104E-022 -.18058217926656E-013 -.15007811390874E-015 0.15235012296272E-013 0.29643455064146E-014 -.16093214679541E-025 0.22400083441031E-026 -.26658935243631E-014 -.12429138579087E-013 -.35889657383197E-017 0.91256908387097E-017 -.19629682134283E-020 0.16812836878048E-013 -.17246866864192E-014 0.11166353762769E-017 -.84791351115927E-018 0.40485298640004E-018 0.30396350575968E-058 -.30396350575968E-058 0.00000000000000E+000 0.00000000000000E+000 0.49756679350563E-008 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.31497170346190E+000 -.40412637163737E-014 -.13191449982933E-016 0.34527842397147E-022 -.36115662641976E-013 -.24476130578348E-015 0.30694692923377E-013 0.56410446323839E-014 -.37538952777813E-025 -.36524486747484E-026 -.54644333059869E-014 -.25012327218628E-013 -.82776096981855E-017 0.25245187537658E-016 -.37083576233819E-020 0.33622630250812E-013 -.31655349407692E-014 0.32293037515936E-017 -.23611030819209E-017 0.48247189614554E-018 0.18847850010659E-057 -.18847850010659E-057 0.00000000000000E+000 0.00000000000000E+000 0.10012642192910E-007 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
