[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46586254746506E+000 0.17124670040356E-046 0.25300357407142E-041 0.14969021044428E-034 -.14991746739374E-034 0.43489406148097E-038 0.27167409401391E-038 0.15660013392661E-037 0.13817972890543E-075 0.58199551351810E-071 0.25444791128253E-037 -.25444878542996E-037 0.52040189112281E-077 -.52040189112281E-077 0.16057590757708E-067 0.87414742680830E-043 0.16842238770540E-054 0.27430818132215E-053 -.27430818135060E-053 0.28452972089455E-063 -.14976086638565E-034 0.14976086638565E-034 0.21572417629562E-062 0.00000000000000E+000 0.19767962540846E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.43172515949420E+000 0.17205895776057E-046 0.11134612964636E-043 -.97027702438947E-037 -.15663614269949E-037 0.42559797166671E-037 0.54468987250265E-037 0.15662532293699E-037 0.48714737116687E-074 0.14442855150818E-068 0.16715815118091E-036 -.16715923315542E-036 0.20520354403110E-076 -.20520354403110E-076 0.30779511152015E-066 0.10819745098606E-041 0.18355415782353E-053 0.79045009142805E-052 -.79045009151004E-052 0.81990497647249E-062 0.23398114642227E-072 0.23398114642227E-072 -.23398114642227E-072 0.00000000000000E+000 -.15505961744364E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.39758798986188E+000 0.17206253370533E-046 0.45207345200825E-046 -.19348912645129E-036 -.15666095599217E-037 0.45394800170419E-037 0.14809787849872E-036 0.15662543383104E-037 0.34769712029222E-073 0.12892428461954E-067 0.35724599620184E-036 -.35724954841621E-036 0.20139900871607E-076 -.20139900871607E-076 0.14135968632610E-065 0.35522143723894E-041 0.52649710197581E-053 0.27959099725370E-051 -.27959099728270E-051 0.29000984009739E-061 0.46659671917305E-072 0.46659671917305E-072 -.46659671917305E-072 0.00000000000000E+000 0.29081214892563E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.36345151032208E+000 0.17206254822961E-046 0.16593365333121E-048 -.16088219776159E-036 -.15669196089991E-037 -.36165621300102E-037 0.19705447172528E-036 0.15662543428146E-037 0.83504247969179E-073 0.32126865547989E-067 0.37359256029296E-036 -.37359921295307E-036 0.45469669291695E-077 -.45469669291693E-077 0.37375408588967E-065 0.66526601050325E-041 0.81400848338339E-053 -.17362605357370E-080 0.12520386336112E-074 0.16815158745290E-066 0.38796549979743E-072 0.38796549979743E-072 -.38796549979743E-072 0.00000000000000E+000 0.62108208056052E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.32931696106511E+000 0.17206254828387E-046 -.23236932246857E-050 -.15535708842291E-037 -.15671095097858E-037 -.11652164755794E-036 0.13206590807151E-036 0.15662543428314E-037 0.75965357055054E-073 0.27677589878985E-067 0.16325560871220E-036 -.16326416038001E-036 0.65286750896148E-077 -.65286750896143E-077 0.70873778045140E-065 0.85516678037030E-041 0.75503775423735E-053 -.10304646851032E-080 0.17119536996098E-074 0.27785098826245E-066 0.37464176460645E-073 0.37464176460645E-073 -.37464176460645E-073 0.00000000000000E+000 0.40333119394738E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.29518674011782E+000 0.17206254828402E-046 -.27930257636959E-050 0.17399255606783E-047 -.15670634276678E-037 0.80908483631358E-041 -.16099952482342E-074 0.15662543428314E-037 0.11548637415037E-073 0.15780003330968E-077 0.15654452617841E-037 -.15662543464464E-037 0.18784802430003E-076 -.18784802430002E-076 0.10684864586262E-064 0.80908466232471E-041 0.32219761266302E-053 -.32314129825262E-087 0.14212843144154E-074 0.24871285841247E-066 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.36643231822407E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.26106452663381E+000 0.17206254828365E-046 -.16527287711450E-050 0.17399178910578E-047 -.15667535174484E-037 0.49917461710088E-041 -.12163761762409E-074 0.15662543428313E-037 0.71250577477320E-074 0.60065565586630E-078 0.15657551720033E-037 -.15662543464464E-037 0.33346911572807E-076 -.33346911572806E-076 0.13081296495747E-064 0.49917444311184E-041 -.28482236838136E-053 -.16833809010577E-086 0.54100727182526E-075 0.94670568741561E-067 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.36649930116278E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.22696188115468E+000 0.17206254828285E-046 0.82378748692617E-051 0.17399055375472E-047 -.15662543430051E-037 0.17399055375472E-047 -.24295658635038E-075 0.15662543428311E-037 0.14296907959806E-120 0.21445375659831E-120 0.15662543464464E-037 -.15662543464464E-037 0.28760338015783E-076 -.28760338015783E-076 0.12585083623529E-064 0.82280441447984E-053 -.82280441448110E-053 -.73923995047416E-086 0.87060281698997E-080 -.12313497519805E-079 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.36660719102590E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.19294865165093E+000 0.17206254828174E-046 0.42738792030238E-050 0.17399055375359E-047 -.15662543430047E-037 0.17399055375359E-047 0.00000000000000E+000 0.15662543428307E-037 0.81298425394152E-121 0.12194759182909E-120 0.15662543464464E-037 -.15662543464464E-037 0.20910052926690E-076 -.20910052926690E-076 0.71564201034215E-065 -.71564201034215E-065 0.83598580988325E-081 -.27545985670912E-085 0.10604905340237E-080 -.14998825188653E-080 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.36660719102597E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
