[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.97803635110524E-002 -.15649619001421E+003 0.10000000000000E+001 0.80272778672564E+002 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.92316405222193E-031
   2 -.49988966558805E+000 0.10393225287538E-005 0.43436190597774E-010 0.20710372904697E-008 0.22591900176273E+000 0.36189551592936E-007 0.35255236835570E-003 0.16378053820958E-005 0.12085771546557E-011 0.23567431262882E-013 0.23070246725892E-006 0.33962245815693E-001 0.10913623620823E-003 0.31829194381758E-003 0.55880987269657E-011 0.62658232856260E-005 0.34415984053402E-006 0.34069068442945E-005 0.58521851685178E-008 0.61970042789582E-005 0.29756524625013E-019 0.18868015963312E-008 0.73931960409874E+000 0.59299164992285E-025 0.30655843446174E+003 0.97705069024411E-002 -.15707853027443E+003 0.10000000000000E+001 0.80272778672564E+002 0.10000000000000E+006 0.11020319951378E-002 0.28089379662004E+002 0.10000000000000E+001 0.10000000000000E+001 0.30655843446174E+003 0.80752338911519E-001 0.92316405222193E-031
   3 -.49977715904680E+000 0.20938987290590E-005 0.89753942016432E-010 0.41605587158141E-008 0.22524149194650E+000 0.72704092890939E-007 0.70650010400209E-003 0.32863258051226E-005 0.27724805218408E-011 0.90394137403384E-013 0.46346119144146E-006 0.33841735582639E-001 0.21911689841525E-003 0.63859633132820E-003 0.15822043824814E-010 0.12568246069176E-004 0.69065369795131E-006 0.68379551705858E-005 0.11754360521078E-007 0.12441348253585E-004 0.59809186930483E-019 0.37877516142013E-008 0.73931408473299E+000 0.11911306943549E-024 0.31315607906766E+003 0.97605882852942E-002 -.15764459124578E+003 0.10000000000000E+001 0.80273113772611E+002 0.10000000000000E+006 0.10787198383834E-002 0.28086924551780E+002 0.10000000000000E+001 0.10000000000000E+001 0.31315607906766E+003 0.17133934268938E+000 0.95847153224063E-031
   4 -.49966057758449E+000 0.31813378129001E-005 0.14208928715545E-009 0.63041370178029E-008 0.22454821104102E+000 0.11016294811489E-006 0.10677276986461E-002 0.49723912265371E-005 0.49068448623162E-011 0.20474616876339E-012 0.70221439365659E-006 0.33718165163245E-001 0.33177046990189E-003 0.96622674944477E-003 0.32351431308463E-010 0.19011816260006E-004 0.10453683690300E-005 0.10350269167387E-004 0.17811100842073E-007 0.18837029994024E-004 0.90659839538755E-019 0.57344395980154E-008 0.73930965825834E+000 0.18042733814777E-024 0.31990163591712E+003 0.97505143001325E-002 -.15820377518364E+003 0.10000000000000E+001 0.80273798286695E+002 0.10000000000000E+006 0.10558797425196E-002 0.28084428710508E+002 0.10000000000000E+001 0.10000000000000E+001 0.31990163591712E+003 0.27528285625792E+000 0.24878641584655E-031
   5 -.49953945146618E+000 0.43056373091731E-005 0.20321851670704E-009 0.85106468041724E-008 0.22383688828743E+000 0.14870716741087E-006 0.14374347860205E-002 0.67011761432871E-005 0.77337620743785E-011 0.37030993591726E-012 0.94790932636960E-006 0.33591049107878E-001 0.44748290489625E-003 0.13022818065089E-002 0.56110238402740E-010 0.25618029424356E-004 0.14095824573184E-005 0.13955907879128E-004 0.24051474480553E-007 0.25406109248350E-004 0.12241885472670E-018 0.77335077168077E-008 0.73930632948525E+000 0.24344462663565E-024 0.32681682640820E+003 0.97402747929213E-002 -.15875742515225E+003 0.10000000000000E+001 0.80274853045907E+002 0.10000000000000E+006 0.10334445542415E-002 0.28081885523237E+002 0.10000000000000E+001 0.10000000000000E+001 0.32681682640820E+003 0.39432184331221E+000 0.25833505621059E-031
   6 -.49941372234384E+000 0.54669234269739E-005 0.27602145648183E-009 0.10782039512277E-007 0.22310773218012E+000 0.18834379733537E-006 0.18155272173629E-002 0.84718408311494E-005 0.11322767541044E-010 0.59068307384055E-012 0.12007017671970E-005 0.33460341339417E-001 0.56623789467698E-003 0.16466894133473E-002 0.87834037332725E-010 0.32385323807756E-004 0.17832481841473E-005 0.17654390574070E-004 0.30485053889476E-007 0.32147786351936E-004 0.15508749788283E-018 0.97846457793128E-008 0.73930412196883E+000 0.30814858229991E-024 0.33389918051909E+003 0.97298780124245E-002 -.15930483807995E+003 0.10000000000000E+001 0.80276297746985E+002 0.10000000000000E+006 0.10114308782551E-002 0.28079297387331E+002 0.10000000000000E+001 0.10000000000000E+001 0.33389918051909E+003 0.52933252230516E+000 0.10730790111777E-030
   7 -.49928335397302E+000 0.66651133883453E-005 0.36371217459614E-009 0.13120713936310E-007 0.22236106319199E+000 0.22907366730061E-006 0.22018555932445E-002 0.10283282369682E-004 0.15717042349417E-010 0.86956948211662E-012 0.14607731233443E-005 0.33326015431442E-001 0.68800073956573E-003 0.19993260093788E-002 0.12823623989164E-009 0.39311105901092E-004 0.21661945871766E-005 0.21444676742987E-004 0.37122782842349E-007 0.39060192461488E-004 0.18866296361363E-018 0.11887227509743E-007 0.73930305598288E+000 0.37451259361560E-024 0.34114510755191E+003 0.97193333618321E-002 -.15984528302123E+003 0.10000000000000E+001 0.80278151241236E+002 0.10000000000000E+006 0.98985533924671E-003 0.28076667084745E+002 0.10000000000000E+001 0.10000000000000E+001 0.34114510755191E+003 0.68080967820154E+000 0.27859458946490E-031
   8 -.49914832712370E+000 0.78999670715271E-005 0.46991372607145E-009 0.15529708546645E-007 0.22159727701421E+000 0.27089399039627E-006 0.25962342957870E-002 0.12134213733761E-004 0.20946664984188E-010 0.12108021299909E-011 0.17283470902805E-005 0.33188058957929E-001 0.81272412838108E-003 0.23600337182258E-002 0.17805243278393E-009 0.46392084912870E-004 0.25581401206327E-005 0.25325346192765E-004 0.43977575113441E-007 0.46140711875980E-004 0.22314031394086E-018 0.14040410797223E-007 0.73930314796266E+000 0.44250303100238E-024 0.34855025730298E+003 0.97086513825547E-002 -.16037803659223E+003 0.10000000000000E+001 0.80280431334886E+002 0.10000000000000E+006 0.96873318264180E-003 0.28073997632016E+002 0.10000000000000E+001 0.10000000000000E+001 0.34855025730298E+003 0.84899589550057E+000 0.28931222912300E-031
   9 -.49900864815758E+000 0.91710132527087E-005 0.59871706580256E-009 0.18012644002379E-007 0.22081688635769E+000 0.31379689998306E-006 0.29984197813461E-002 0.14023052290593E-004 0.27036086228531E-010 0.16183425537357E-011 0.20036777658387E-005 0.33046482014376E-001 0.94034110538313E-003 0.27286003576460E-002 0.23805093461889E-009 0.53623877510007E-004 0.29586662456013E-005 0.29294379898908E-004 0.51064203325112E-007 0.53385577031756E-004 0.25851098093503E-018 0.16243016671005E-007 0.73930441015738E+000 0.51207548404336E-024 0.35610911951125E+003 0.96978440801037E-002 -.16090236016588E+003 0.10000000000000E+001 0.80283154406033E+002 0.10000000000000E+006 0.94807924096307E-003 0.28071292407014E+002 0.10000000000000E+001 0.10000000000000E+001 0.35610911951125E+003 0.10339581561864E+001 0.00000000000000E+000
  10 -.49886435334793E+000 0.10477516623887E-004 0.75473083811821E-009 0.20573736895535E-007 0.22002053645170E+000 0.35776957497353E-006 0.34081025850422E-002 0.15947872636478E-004 0.34008420861586E-010 0.20962835791779E-011 0.22870450730285E-005 0.32901321170786E-001 0.10707622864997E-002 0.31047518300038E-002 0.30903441317041E-009 0.61000856463677E-004 0.33672060767445E-005 0.33349073129667E-004 0.58399378232741E-007 0.60789704914507E-004 0.29476252707948E-018 0.18493481740779E-007 0.73930685006501E+000 0.58317335248825E-024 0.36381488117754E+003 0.96869239002979E-002 -.16141749925945E+003 0.10000000000000E+001 0.80286335009398E+002 0.10000000000000E+006 0.92790801017684E-003 0.28068555178062E+002 0.10000000000000E+001 0.10000000000000E+001 0.36381488117754E+003 0.12356426460623E+001 0.31192561265296E-031
