[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.23406049496440E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.00000000000000E+000
   2 -.47042823558969E+000 -.25830705602259E-041 -.49549600448997E-036 0.15744561196569E-033 0.22659191879081E+000 -.35667132263487E-032 0.49181021601005E-032 0.13269776371222E-030 -.21030308804077E-032 -.19751976041048E-036 0.38239051355202E-032 0.34081758152042E-001 0.13025217708859E-030 0.10914036600485E-062 -.22549224196423E-032 0.11873302434244E-037 0.27474227830436E-049 -.18165576854213E-031 -.13479775019639E-030 -.25762044099242E-039 0.25248513655805E-031 0.27894904746219E-033 0.73932632305714E+000 0.24164382435607E-053 0.30000000000000E+003 0.21958835874904E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.10559082205566E-027 0.00000000000000E+000
   3 -.44085647025401E+000 0.31845643556526E-041 -.15300958579592E-034 0.32129970828378E-033 0.22659191879081E+000 -.13443125340312E-031 0.89168464782808E-032 0.10987902423342E-030 -.58060420628579E-034 -.62290919662242E-035 0.76776348460789E-032 0.34081758152042E-001 0.12838275096001E-030 0.37558310608508E-062 -.12823697891506E-034 0.28909182196957E-037 0.54302130424240E-049 -.35210082116751E-031 -.11694250720757E-030 -.46928281229784E-039 0.24545424070542E-031 0.58974392850556E-033 0.73932632305714E+000 0.14981769150502E-053 0.30000000000000E+003 0.20511622158266E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.10265500570225E-027 0.00000000000000E+000
   4 -.41128470195719E+000 0.26699704197498E-041 -.74153612605694E-036 0.55376517376170E-033 0.22659191879081E+000 -.15826896868283E-031 0.54794136623837E-032 0.73730171699704E-031 -.18272818477664E-032 -.17581684449850E-036 0.48544414703765E-032 0.34081758152042E-001 0.11395672476297E-030 -.56055334393149E-053 -.11390457684640E-032 0.41568869483506E-037 0.21097791231034E-049 -.51002759832350E-031 -.99982817986713E-031 -.11829073926172E-038 0.30878238772890E-031 0.10256146804674E-032 0.73932632305714E+000 0.77522502901442E-054 0.30000000000000E+003 0.19064409087706E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.12913374056783E-027 0.13560316804833E-035
   5 -.38171296302484E+000 0.21554433019680E-040 -.26486688638405E-034 0.80388237877976E-033 0.22659191879081E+000 0.10959198522578E-031 0.99089668222648E-032 0.10025007609293E-030 -.17480050253983E-032 -.11116027126028E-034 0.10399635783309E-031 0.34081758152042E-001 0.15316334358073E-030 -.52733740795667E-043 -.13538326312677E-032 0.66701835690483E-037 -.13914073189680E-048 -.65260690062374E-031 -.83867678698031E-031 -.19288485588765E-038 0.32190377636880E-031 0.14992212450806E-032 0.73932632305714E+000 0.12876586541084E-053 0.30000000000000E+003 0.17617202947374E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.64080172384414E-027 0.00000000000000E+000
   6 -.35214147794690E+000 0.16196566084656E-040 -.67887580364468E-036 0.10430397092638E-032 0.22659191879081E+000 0.18746861094880E-031 0.23905324825688E-031 0.10017638131674E-030 -.30882864410614E-032 -.18221989013172E-036 0.21684360678808E-031 0.34081758152042E-001 0.16625178214387E-030 0.83567665784937E-033 -.16673333734182E-032 0.13280247704302E-036 -.26438562950297E-048 -.78397003413979E-031 -.71334555804066E-031 -.31617224448605E-038 0.28504072537821E-031 0.19456840495073E-032 0.73932632305714E+000 0.18663670386213E-053 0.30000000000000E+003 0.16170029211951E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.98509002420493E-027 0.00000000000000E+000
   7 -.32257106331154E+000 0.17410769797892E-040 -.82271559721325E-037 0.13160011300448E-032 0.22659191879081E+000 -.38886417383362E-032 0.42035654136012E-031 0.77059338282193E-031 -.71213860252891E-034 -.25478232112495E-037 0.36949969536777E-031 0.34081758152042E-001 0.15864801050024E-030 0.70691356281533E-033 -.29099599612881E-034 0.26302291942833E-036 -.20898370988299E-048 -.90181543985424E-031 -.58706768937157E-031 -.45292034091503E-038 0.30471945820501E-031 0.24569665196849E-032 0.73932632305714E+000 0.17075039811739E-053 0.30000000000000E+003 0.14722955265890E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.12747569084104E-027 0.00000000000000E+000
   8 -.29300365634275E+000 0.17035445758585E-040 -.23737218135993E-035 0.16111519933873E-032 0.22659191879081E+000 -.49436320219448E-032 0.65306352246037E-031 0.82150125209510E-031 -.22753413243255E-033 -.95473446678637E-036 0.56315042828475E-031 0.34081758152042E-001 0.17193865813080E-030 0.14890694239001E-032 -.82676544243487E-034 0.46410213991464E-036 0.12754617577182E-048 -.99326511657372E-031 -.49986553368256E-031 -.61453754739826E-038 0.30034073068142E-031 0.30135033713196E-032 0.73932632305714E+000 0.27931153817032E-053 0.30000000000000E+003 0.13276095545630E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.12567020430015E-027 0.13560316804833E-035
   9 -.26344199651034E+000 0.18944777294584E-040 0.61886196423173E-037 0.20501859188287E-032 0.22659191879081E+000 -.22953527099873E-031 0.84337270382613E-031 -.70531170678709E-031 -.30829994811415E-035 0.35948183227290E-037 0.72419632808011E-031 0.34081758152042E-001 0.85728132277457E-031 0.13814843470558E-032 -.49789835259096E-032 0.77776173599382E-036 0.72888228212500E-048 -.14230386039110E-030 -.19570433670839E-030 -.75695175935993E-038 0.40546848288274E-031 0.37417248416136E-032 0.73932632305714E+000 0.11378680990739E-053 0.30000000000000E+003 0.11829528214195E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.69328077996852E-027 0.13560316804833E-035
  10 -.23388653864626E+000 0.18099557574871E-040 -.13361051129036E-034 0.24902367307557E-032 0.22659191879081E+000 -.41392110724521E-031 0.10827663761666E-030 -.31195367556669E-031 -.78590086494846E-033 -.53543046042815E-035 0.92215395180302E-031 0.34081758152042E-001 0.87199238032450E-031 0.17981035599801E-032 -.25881836279561E-032 0.12297315050398E-035 0.15333245463997E-047 -.11103362686276E-030 -.19740055761698E-030 -.81692045676181E-038 0.31991224097442E-031 0.45485051639496E-032 0.73932632305714E+000 -.34333167033421E-053 0.30000000000000E+003 0.10383104261558E+001 -.15649619001421E+003 0.10000000000000E+001 0.43454148262965E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.13390087277443E-027 0.13560316804833E-035
