[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
  11 -.49894972372728E+000 0.98474080432841E-005 0.71211954687938E-009 0.19721202330398E-007 0.22039795540619E+000 0.34128071219223E-006 0.32432859769668E-002 0.15027744440409E-004 0.31406632168518E-010 0.19071655805692E-011 0.21768362472972E-005 0.32977887980812E-001 0.10044122224150E-002 0.29301499089482E-002 0.27736853502046E-009 0.57328489796153E-004 0.31829259815710E-005 0.31544253222454E-004 0.56318451967650E-007 0.57341856645994E-004 0.29074654754365E-018 0.16678237356676E-007 0.73926942396888E+000 -.16284421027280E-037 0.36005269106180E+003 0.95337909919590E-002 -.16173472312843E+003 0.10000000000000E+001 0.79565929353556E+002 0.10000000000000E+006 0.93762765863737E-003 0.28069271822374E+002 0.10000000000000E+001 0.10000000000000E+001 0.36005269106180E+003 0.11714502720354E+001 0.18349142779327E-022
  12 -.49882532620743E+000 0.10987804506106E-004 0.86474365438453E-009 0.22004808828231E-007 0.21970480836593E+000 0.38013736814738E-006 0.36029140748654E-002 0.16700927032869E-004 0.37936414144319E-010 0.23592403540253E-011 0.24273316153989E-005 0.32852059205991E-001 0.11175135011406E-002 0.32579625354708E-002 0.34393988602650E-009 0.63728353485550E-004 0.35393001802525E-005 0.35088271334943E-004 0.62907492035844E-007 0.63797006927150E-004 0.32387493686988E-018 0.18554221445954E-007 0.73926798846866E+000 -.18515890107821E-037 0.36674506040279E+003 0.95245509355937E-002 -.16223696847788E+003 0.10000000000000E+001 0.79568756930995E+002 0.10000000000000E+006 0.92043787394201E-003 0.28066834182939E+002 0.10000000000000E+001 0.10000000000000E+001 0.36674506040279E+003 0.13558457618385E+001 0.12571848960161E-022
  13 -.49869739449872E+000 0.12155498687708E-004 0.10440175691996E-008 0.24356386059162E-007 0.21899946972115E+000 0.41984634750886E-006 0.39683750718054E-002 0.18401144555757E-004 0.45177885236031E-010 0.28703101589294E-011 0.26845866374362E-005 0.32723429608555E-001 0.12327618737043E-002 0.35916015296665E-002 0.41978931418469E-009 0.70239088385299E-004 0.39014515346090E-005 0.38698406193487E-004 0.69714867643626E-007 0.70374363409274E-004 0.35772807793451E-018 0.20465426916557E-007 0.73926737176083E+000 -.20833473707131E-037 0.37354912628973E+003 0.95152268042364E-002 -.16273321818015E+003 0.10000000000000E+001 0.79571928487568E+002 0.10000000000000E+006 0.90359314769955E-003 0.28064372032369E+002 0.10000000000000E+001 0.10000000000000E+001 0.37354912628973E+003 0.15529786438643E+001 0.12019986725802E-022
  14 -.49856596467488E+000 0.13349892189281E-004 0.12539841325439E-008 0.26780259079917E-007 0.21828240431179E+000 0.46040332804538E-006 0.43394433601332E-002 0.20126960362654E-004 0.53153799307980E-010 0.34436526937800E-011 0.29488775256104E-005 0.32592034208325E-001 0.13500911830577E-002 0.39308671828480E-002 0.50554640925457E-009 0.76856577259090E-004 0.42688650428178E-005 0.42372637920464E-004 0.76756448777303E-007 0.77070057607053E-004 0.39230067266048E-018 0.22410746048203E-007 0.73926757771903E+000 -.23228210357843E-037 0.38045999578692E+003 0.95058275050285E-002 -.16322296232433E+003 0.10000000000000E+001 0.79575451823342E+002 0.10000000000000E+006 0.88710129279064E-003 0.28061887940281E+002 0.10000000000000E+001 0.10000000000000E+001 0.38045999578692E+003 0.17628009160428E+001 0.17140107430213E-022
  15 -.49843109328731E+000 0.14570210672653E-004 0.14990650413615E-008 0.29281172867979E-007 0.21755416325550E+000 0.50180277971105E-006 0.47158495795351E-002 0.21876698312701E-004 0.61889379224496E-010 0.40826907832710E-011 0.32204895603311E-005 0.32457926465632E-001 0.14694204869265E-002 0.42755189404733E-002 0.60186618147535E-009 0.83575883778260E-004 0.46409354711603E-005 0.46108488562157E-004 0.84049470254122E-007 0.83879345600121E-004 0.42758602299856E-018 0.24388827770286E-007 0.73926860753082E+000 -.25690303590440E-037 0.38747194270803E+003 0.94963621041231E-002 -.16370567564006E+003 0.10000000000000E+001 0.79579333327484E+002 0.10000000000000E+006 0.87097002404775E-003 0.28059384713881E+002 0.10000000000000E+001 0.10000000000000E+001 0.38747194270803E+003 0.19852479346037E+001 0.16820650444796E-022
  16 -.49829283713014E+000 0.15815689839327E-004 0.17841063083217E-008 0.31864696620973E-007 0.21681527176195E+000 0.54404495627028E-006 0.50973384939733E-002 0.23648708770556E-004 0.71414076891338E-010 0.47911119336266E-011 0.34997566522614E-005 0.32321158115401E-001 0.15906723427809E-002 0.46253283185266E-002 0.70944500756808E-009 0.90392283337009E-004 0.50170264224784E-005 0.49903593813877E-004 0.91613679057504E-007 0.90797649619831E-004 0.46358199099910E-018 0.26398380902647E-007 0.73927045976744E+000 -.28209626137634E-037 0.39457949268006E+003 0.94868396750610E-002 -.16418089376697E+003 0.10000000000000E+001 0.79583578460168E+002 0.10000000000000E+006 0.85520446041911E-003 0.28056865002470E+002 0.10000000000000E+001 0.10000000000000E+001 0.39457949268006E+003 0.22202798682179E+001 0.16539398941818E-022
  17 -.49815126970158E+000 0.17085428193453E-004 0.21143586530185E-008 0.34536946611576E-007 0.21606631697737E+000 0.58713152069948E-006 0.54836233893289E-002 0.25441153920327E-004 0.81761013222553E-010 0.55728270613447E-011 0.37870264505129E-005 0.32181795647941E-001 0.17137583633833E-002 0.49800371806705E-002 0.82901257652651E-009 0.97300448262081E-004 0.53964277342418E-005 0.53755249800269E-004 0.99470481951759E-007 0.97819732162718E-004 0.50028736952552E-018 0.28437934745592E-007 0.73927313036719E+000 -.30775559136574E-037 0.40177658059293E+003 0.94772726574516E-002 -.16464815379002E+003 0.10000000000000E+001 0.79588191243667E+002 0.10000000000000E+006 0.83980920882200E-003 0.28054331594580E+002 0.10000000000000E+001 0.10000000000000E+001 0.40177658059293E+003 0.24678620244862E+001 0.16311253123122E-022
  18 -.49800656616808E+000 0.18377633304033E-004 0.24952349413550E-008 0.37302968285527E-007 0.21530838770640E+000 0.63104044843155E-006 0.58741595474906E-002 0.27250957252793E-004 0.92960508001960E-010 0.64314702668643E-011 0.40824836110236E-005 0.32040003273613E-001 0.18385066918681E-002 0.53391491701967E-002 0.96125263703749E-009 0.10429038930298E-003 0.57781382284153E-005 0.57658143494964E-004 0.10763808229016E-006 0.10493555831266E-003 0.53768073563452E-018 0.30504637810753E-007 0.73927661026491E+000 -.33375621601264E-037 0.40905233680409E+003 0.94676747357811E-002 -.16510673593946E+003 0.10000000000000E+001 0.79593171154089E+002 0.10000000000000E+006 0.82479687825431E-003 0.28051788876696E+002 0.10000000000000E+001 0.10000000000000E+001 0.40905233680409E+003 0.27278138987664E+001 0.16127936078376E-022
  19 -.49785886498362E+000 0.19690868949582E-004 0.29325815300379E-008 0.40169313256651E-007 0.21454233606127E+000 0.67576858637032E-006 0.62685251020465E-002 0.29075573145515E-004 0.10505002797438E-009 0.73711437471501E-011 0.43864244702737E-005 0.31895906410289E-001 0.19647831580430E-002 0.57022790866210E-002 0.11069144883988E-008 0.11135426312469E-003 0.61612465472471E-005 0.61608143297526E-004 0.11613893264044E-006 0.11213720839886E-003 0.57575707782009E-018 0.32596265679898E-007 0.73928088762878E+000 -.35998156851180E-037 0.41639819350762E+003 0.94580456624342E-002 -.16555613147191E+003 0.10000000000000E+001 0.79598517413074E+002 0.10000000000000E+006 0.81017267505742E-003 0.28049240315135E+002 0.10000000000000E+001 0.10000000000000E+001 0.41639819350762E+003 0.30000488428549E+001 0.15951049799190E-022
  20 -.49770793721251E+000 0.21026968325570E-004 0.34338844924093E-008 0.43150675588639E-007 0.21376709921408E+000 0.72143165265382E-006 0.66672830951423E-002 0.30916960816208E-004 0.11810482900840E-009 0.83988665061828E-011 0.46999452604148E-005 0.31749272336907E-001 0.20927688340288E-002 0.60699491108413E-002 0.12671956048245E-008 0.11850183987424E-003 0.65457616629575E-005 0.65610976655675E-004 0.12501948019968E-006 0.11943470018479E-003 0.61461335200502E-018 0.34715816453916E-007 0.73928596111101E+000 -.38638167106928E-037 0.42382394495891E+003 0.94483771970728E-002 -.16599695349682E+003 0.10000000000000E+001 0.79604242233434E+002 0.10000000000000E+006 0.79590519750889E-003 0.28046682974646E+002 0.10000000000000E+001 0.10000000000000E+001 0.42382394495891E+003 0.32852179042963E+001 0.15749941464610E-022
