[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.13703566576928E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.11282685777964E+001 -.15649619001421E+003 0.10000000000000E+001 0.21213209064194E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.33900792012082E-036
   2 -.46571330309680E+000 -.10231582787590E-037 -.10173160014355E-041 -.38672913309620E-037 0.22659191879081E+000 0.61294144946436E-037 -.12664319676165E-031 0.40019543200494E-036 -.53250729013802E-040 -.56156199862923E-040 0.22611489112109E-035 0.34081758152042E-001 0.40459666742326E-038 0.25127573764416E-039 -.53833348013891E-040 0.85791990069927E-039 0.51511579461437E-039 0.86464980825585E-039 0.49377609707345E-039 -.22306548988725E-035 0.67268321859363E-039 0.70350419418458E-039 0.73932632305714E+000 0.68249181855155E-039 0.30000000000000E+003 0.10463549685146E+001 -.15649619001421E+003 0.10000000000000E+001 0.21213209064194E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.91043330289953E-033 0.33900792012082E-036
   3 -.43142662410347E+000 -.19605985202219E-037 0.62474912267407E-041 -.78666030031255E-037 0.22659191879081E+000 0.11088416211744E-036 -.35932566923214E-032 0.89669689606282E-036 -.46721823026069E-040 -.56081122576693E-040 0.47204466930565E-035 0.34081758152042E-001 0.17470192856307E-037 0.21803331129137E-038 -.48738117645307E-040 0.39710696530191E-038 0.21972667430649E-038 0.40261784849283E-038 0.20927173386347E-038 -.46342620839252E-035 0.30220436963863E-038 0.31932269554998E-038 0.73932632305714E+000 0.30765207517765E-038 0.30000000000000E+003 0.96444148460492E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209064200E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.10550645867291E-031 0.00000000000000E+000
   4 -.39714003215461E+000 -.25360611240923E-037 0.24141584456266E-040 -.11750566718684E-036 0.22659191879081E+000 0.15659332976453E-036 -.11946003576516E-030 0.16100135879794E-035 -.30112231445227E-040 -.55891517205036E-040 0.74135139924013E-035 0.34081758152042E-001 0.56784230880089E-037 0.86890850213379E-038 -.35764882049868E-040 0.13324507417031E-037 0.68451585043788E-038 0.13572717164376E-037 0.64815644955221E-038 -.72375666564070E-035 0.98788370329947E-038 0.10541521252238E-037 0.73932632305714E+000 0.10089730964697E-037 0.30000000000000E+003 0.88252859154065E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209064222E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.38912933167050E-031 0.00000000000000E+000
   5 -.36285384778326E+000 -.18480029872254E-037 0.72983050651206E-040 -.14637197716462E-036 0.22659191879081E+000 0.21591232508002E-036 -.16498628615739E-030 0.29109096189062E-035 0.15203452380844E-040 -.55374631223703E-040 0.10401233064932E-034 0.34081758152042E-001 0.17358204743299E-036 0.28970862358686E-037 -.36580393730240E-042 0.41548476310269E-037 0.20121141186355E-037 0.42461889095750E-037 0.18969005337967E-037 -.10069233067232E-034 0.30191475241716E-037 0.32489401618645E-037 0.73932632305714E+000 0.30922770922349E-037 0.30000000000000E+003 0.80061796847495E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209064289E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.11655854159066E-030 0.00000000000000E+000
   6 -.32856915614723E+000 0.30074502066778E-037 0.21086639581573E-039 -.13587477969556E-036 0.22659191879081E+000 0.33673958326305E-036 -.14912852505736E-030 0.59689199627449E-035 0.14315608119294E-039 -.53913743975839E-040 0.13810539206031E-034 0.34081758152042E-001 0.53228427638544E-036 0.92296402723504E-037 0.99584864930340E-040 0.12937601141738E-036 0.59477767652042E-037 0.13249486561670E-036 0.55864565265575E-037 -.13149359369475E-034 0.92371883081377E-037 0.10017739743930E-036 0.73932632305714E+000 0.94855921616073E-037 0.30000000000000E+003 0.71871391361093E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209064494E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.36849549127857E-030 0.00000000000000E+000
   7 -.29428847029830E+000 0.18188426978264E-036 0.50635642740283E-039 -.22547790350352E-037 0.22659191879081E+000 0.60052826319215E-036 -.18264444320447E-030 0.13264210789506E-034 0.41731035264018E-039 -.50783443827205E-040 0.17887716895889E-034 0.34081758152042E-001 0.14803534389685E-035 0.26055744128782E-036 0.31373777416035E-039 0.36810415606986E-036 0.15645541644681E-036 0.37740690986655E-036 0.14609833442660E-036 -.16482117475325E-034 0.25590364844654E-036 0.28069626327173E-036 0.73932632305714E+000 0.26379368831786E-036 0.30000000000000E+003 0.63682443072380E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209065019E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.90953984864269E-030 0.11829423726597E-029
   8 -.26001597748731E+000 0.39668084114679E-036 0.62376397385284E-039 0.15482323674609E-036 0.22659191879081E+000 0.85186839270733E-036 -.15294164850555E-030 0.23309093777686E-034 0.52607741370746E-039 -.49546379480915E-040 0.22704273894232E-034 0.34081758152042E-001 0.27950707516596E-035 0.49391326115233E-036 0.39869235538085E-039 0.73154492438055E-036 0.25715976417891E-036 0.75025321636741E-036 0.23650616600007E-036 -.20198364690905E-034 0.47861765170924E-036 0.53924864071786E-036 0.73932632305714E+000 0.49791294910095E-036 0.30000000000000E+003 0.55496739725122E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209065636E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 0.11351941428094E-029 0.11791458229622E-029
   9 -.22576245642924E+000 -.31602309482494E-036 -.16192878677894E-038 -.62287915748389E-036 0.22659191879081E+000 -.58695205572853E-036 -.14091283123878E-030 -.30738834440373E-035 -.15555955335661E-038 -.73328569171103E-040 0.25877882263364E-034 0.34081758152042E-001 -.10841297141212E-035 -.19861865047807E-036 -.12273706873173E-038 -.11648407660173E-036 -.27255264742976E-036 -.12169596010902E-036 -.26838127162226E-036 -.25416263667735E-034 -.20737957010535E-036 -.16453366923372E-036 0.73932632305714E+000 -.19374422584312E-036 0.30000000000000E+003 0.47323256763317E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209063037E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37391369160518E-032 0.33900792012082E-036
  10 -.19159226566841E+000 0.14210530100274E-029 -.11985317087760E-037 -.68957214124620E-035 0.22659191879081E+000 -.94530843265845E-035 -.13775413126776E-030 -.23919308516616E-033 -.11173509162507E-037 -.18312940220105E-039 0.15107412510083E-034 0.34081758152042E-001 -.34569474920105E-034 -.61659835636020E-035 -.87402484122675E-038 -.85514538721089E-035 -.36871853635493E-035 -.87823944802169E-035 -.34435691612232E-035 -.36653580643144E-034 -.59835067077581E-035 -.65383801836497E-035 0.73932632305714E+000 -.61600904816158E-035 0.30000000000000E+003 0.39207035366457E+000 -.15649619001421E+003 0.10000000000000E+001 0.21213209044479E+004 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37543586226535E-032 0.13560316804833E-035
