[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22659191879081E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.87741627003635E-001 -.15649619001421E+003 0.10000000000000E+001 0.21175016802543E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.33900792031424E-036
   2 -.46248856085055E+000 0.25863529152400E-011 -.23503192906254E-034 0.59910416661423E-028 0.22659191877613E+000 -.13293416575239E-029 -.47891293912924E-020 -.70503428926137E-023 -.47089191850613E-037 -.22333438073800E-038 -.38424422622032E-026 0.34081758149710E-001 -.57646121162376E-021 -.35865098492866E-021 -.10731745730728E-034 -.11286637097406E-022 -.40098426127991E-027 -.50156736977961E-023 -.32533089520026E-031 -.44688932883018E-023 -.54013790454795E-029 -.16272985222953E-026 0.73932632307157E+000 -.79381491773845E-031 0.29999999999149E+003 0.78801560903541E-001 -.15649619001226E+003 0.10000000000000E+001 0.21175016802543E+003 0.10000000000000E+006 0.11262223852611E-002 0.28091833463283E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999149E+003 -.33639259837712E-027 0.33900792031424E-036
   3 -.42502390683235E+000 0.75250489173428E-010 -.74271899689484E-032 0.13119676808638E-023 0.22659191846687E+000 -.35205075104114E-024 -.17132566011291E-018 -.24526313407731E-021 -.64077932536516E-035 -.32716652279591E-036 0.15519067737651E-024 0.34081758099693E-001 -.20149524574685E-019 -.12066164639643E-019 -.17124528573706E-031 -.38048061993061E-021 -.51736568920148E-024 -.16972245488431E-021 -.13637123811340E-029 -.14938619858091E-021 -.64530536066339E-028 -.56550483588557E-025 0.73932632335819E+000 -.79425255719947E-031 0.29999999980787E+003 0.69884104634660E-001 -.15649618997098E+003 0.10000000000000E+001 0.21175016803185E+003 0.10000000000000E+006 0.11262223848907E-002 0.28091833436851E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999980787E+003 -.71471916369612E-023 0.00000000000000E+000
   4 -.38770208558874E+000 0.14742393381945E-008 -.22742131017920E-029 0.43886104354752E-020 0.22659191398169E+000 -.11526624379671E-021 -.49549844782153E-018 -.39216644442204E-020 -.11882012496703E-032 -.61891483599891E-034 0.13975379979616E-021 0.34081757364066E-001 -.33753554346043E-018 -.18982752731201E-018 -.75293528190880E-029 -.58424312043291E-020 -.17660158458476E-021 -.26892377686617E-020 -.36240049027795E-028 -.23223504729338E-020 -.39223100442350E-027 -.93702394578179E-024 0.73932632718001E+000 -.49776530779770E-028 0.29999999709274E+003 0.61034067448372E-001 -.15649618937121E+003 0.10000000000000E+001 0.21175016823125E+003 0.10000000000000E+006 0.11262223746972E-002 0.28091832928345E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999709274E+003 -.24443944104152E-019 0.33900798315187E-036
   5 -.35080284283056E+000 0.19782420692409E-007 -.25358140369866E-026 0.32082929409497E-017 0.22659187006122E+000 0.33504899816984E-020 0.23239297891941E-012 0.85218012287710E-017 -.42168391170602E-029 -.21428674983780E-030 0.11639970492543E-017 0.34081750081872E-001 0.60022089236967E-015 -.18976758176286E-017 -.26962248049020E-026 -.27437349123330E-019 -.33719117768791E-019 -.27129101431414E-019 -.10568902952622E-025 -.22609666187686E-019 -.18277227876858E-026 0.13881748376160E-020 0.73932636007425E+000 -.26490356858907E-027 0.29999996996537E+003 0.52368938934824E-001 -.15649618359019E+003 0.10000000000000E+001 0.21175017183262E+003 0.10000000000000E+006 0.11262222098466E-002 0.28091826276218E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999996996537E+003 0.13838083023738E-015 0.00000000000000E+000
   6 -.31503175351547E+000 0.17837772855326E-006 -.24366946663229E-023 0.63223675357234E-015 0.22659160337388E+000 0.66148783166042E-017 0.76761337760023E-009 0.19052162799163E-012 -.40012565843974E-025 -.20863589206507E-026 0.63798353302999E-014 0.34081700779079E-001 0.14017933611548E-010 0.16857775124466E-013 -.46858100492660E-023 0.37685963008508E-015 -.59011381607326E-017 0.39130768577162E-015 -.56472876902450E-022 0.14851632599749E-016 -.27573326400327E-025 0.38248470732492E-016 0.73932651668747E+000 -.81920009018244E-027 0.29999978525907E+003 0.44182403513776E-001 -.15649615504378E+003 0.10000000000000E+001 0.21175021097918E+003 0.10000000000000E+006 0.11262205969638E-002 0.28091768749646E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999978525907E+003 0.31100760555718E-012 0.33901280527669E-036
   7 -.28214615889822E+000 0.10302326966196E-005 -.29816560436436E-021 0.35718413840917E-013 0.22659118364099E+000 0.35915727157805E-014 0.24616776231939E-006 0.15828768186803E-009 -.82631215709300E-022 -.43495284176010E-023 0.27223975418461E-011 0.34081061043181E-001 0.11849922622116E-007 0.59591080390501E-009 -.46111876150402E-020 0.15576640359494E-010 -.42916525688023E-016 0.92930546516569E-011 -.20694137155154E-019 0.31104424298540E-011 -.22065851058122E-023 0.34771497584077E-013 0.73932646628047E+000 0.97271758442059E-027 0.30000062430605E+003 0.37245925007103E-001 -.15649562418494E+003 0.10000000000000E+001 0.21175061996614E+003 0.10000000000000E+006 0.11262053671117E-002 0.28091467432088E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000062430605E+003 0.17265600116923E-009 0.00000000000000E+000
   8 -.25685804408764E+000 0.33607821271804E-005 0.42624939534262E-019 0.50190863821212E-012 0.22659583332726E+000 0.46917917935403E-012 0.91949384405794E-005 0.95033062448185E-008 0.28147894281204E-020 0.14605230631073E-021 0.11718155353391E-009 0.34069733313799E-001 0.71735373396378E-006 0.14910790408037E-006 -.81939434351978E-018 0.40964038287651E-008 0.31424973633876E-012 0.20644980157734E-008 0.85548211307867E-017 0.12108657131645E-008 -.46564886913422E-022 0.21783193275368E-011 0.73932099418101E+000 0.28233513653736E-025 0.30008949284530E+003 0.32495856374812E-001 -.15647370602301E+003 0.10000000000000E+001 0.21176195287181E+003 0.10000000000000E+006 0.11258425732449E-002 0.28090736889185E+002 0.10000000000000E+001 0.10000000000000E+001 0.30008949284530E+003 0.40578030176773E-007 0.42269081748965E-028
   9 -.24229836525792E+000 0.62286098472669E-005 0.25277809090176E-017 0.19780303713371E-011 0.22660772766523E+000 0.10262529936203E-010 0.58475030007010E-004 0.75595644804164E-007 0.41126146210203E-018 0.21451669022908E-019 0.78737105875180E-009 0.34019629073058E-001 0.57289708745769E-005 0.21986059341423E-005 0.82677268314673E-017 0.61590130933399E-007 0.14182783206606E-010 0.29016252889998E-007 0.92970337461022E-015 0.21222168216243E-007 -.23036032057659E-021 0.17673324655918E-010 0.73929982378938E+000 0.19523907886205E-024 0.30064937322380E+003 0.29848935926896E-001 -.15635172904325E+003 0.10000000000000E+001 0.21183257299810E+003 0.10000000000000E+006 0.11237181467221E-002 0.28090040939901E+002 0.10000000000000E+001 0.10000000000000E+001 0.30064937322380E+003 0.14056629248868E-005 0.26491372514474E-027
  10 -.23461876274498E+000 0.84575946252784E-005 0.25203040866842E-016 0.39215420112113E-011 0.22661006990677E+000 0.51116279617005E-010 0.14520309415476E-003 0.20955266524789E-006 0.51401809335912E-017 0.26938648273052E-018 0.19869794931582E-008 0.33941571081401E-001 0.15914412070906E-004 0.82280687011606E-005 0.15287055910823E-015 0.23254761278782E-006 0.95439067730703E-010 0.10611470661287E-006 0.12389306578026E-013 0.86302582113442E-007 -.50786013557606E-021 0.49474058210257E-010 0.73926991913777E+000 0.89041358571669E-024 0.30169762981283E+003 0.28378307789169E-001 -.15614515736620E+003 0.10000000000000E+001 0.21197057029440E+003 0.10000000000000E+006 0.11197956600300E-002 0.28089586970854E+002 0.10000000000000E+001 0.10000000000000E+001 0.30169762981283E+003 0.89962526705067E-005 0.73630768561312E-027
