[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch          Press            Density          MeanMass         Surface          Porosity         Tsolid           HeatRel          Dissipation     
   1 -.50000000000000E+000 0.00000000000000E+000 0.55382344136213E-108 0.60754023704580E-108 0.22659191879081E+000 0.00000000000000E+000 0.55346055046852E-034 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.34081758152042E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.73932632305714E+000 0.00000000000000E+000 0.30000000000000E+003 0.20457449645484E+000 -.15649619001421E+003 0.10000000000000E+001 0.42477338315212E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37757096506038E-032 0.33900792012082E-036
   2 -.46292110092723E+000 0.11606949911467E-025 -.42555727165937E-039 0.15123384078104E-040 0.22659191879081E+000 0.17364435281546E-039 -.19599783269168E-033 0.18237617121479E-036 -.44366469059951E-039 -.60620094029757E-040 0.43063427886866E-037 0.34081758152042E-001 0.13364002864601E-038 0.31889444191400E-046 -.35884521912363E-039 0.30294450718264E-037 -.31309830407646E-037 0.33932196693905E-037 -.35151355930107E-037 -.93948157990562E-045 -.13257586488036E-040 0.28401402760740E-040 0.73932632305714E+000 0.32640763860790E-046 0.30000000000000E+003 0.18683730950963E+000 -.15649619001421E+003 0.10000000000000E+001 0.42477338315212E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37676287370198E-032 0.33900792012082E-036
   3 -.42584622100360E+000 0.17236442628228E-021 -.80731276962701E-039 0.12952355815624E-039 0.22659191879081E+000 0.16893200812781E-039 -.12125629792196E-033 0.51494050177997E-036 -.79830302050362E-039 -.64668954751120E-040 0.90169270189021E-037 0.34081758152042E-001 0.23235631957632E-038 -.37207593498305E-046 -.63576379475669E-039 0.12349148590918E-036 -.12763179484470E-036 0.13043991094424E-036 -.13512652273939E-036 -.22055671932863E-044 -.11357789175397E-039 0.24331413013593E-039 0.73932632305714E+000 -.36540129347012E-046 0.30000000000000E+003 0.16910402655545E+000 -.15649619001421E+003 0.10000000000000E+001 0.42477338315212E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37677804553120E-032 0.00000000000000E+000
   4 -.38878364332889E+000 0.56447629637889E-018 -.18145224675471E-041 0.45480563679157E-039 0.22659191879081E+000 -.46834365138141E-039 0.19178068546140E-033 0.63076634684645E-036 -.15891965223319E-041 -.40677031958905E-040 0.14142953588976E-036 0.34081758152042E-001 0.82076446156705E-040 0.11891779927093E-045 -.12355936507552E-041 0.14507915581426E-036 -.14993785452343E-036 0.13762047573153E-036 -.14256507971170E-036 0.57031078759638E-044 -.39900390388755E-039 0.85477352194065E-039 0.73932632305714E+000 0.11924217715728E-045 0.30000000000000E+003 0.15138181580635E+000 -.15649619001421E+003 0.10000000000000E+001 0.42477338315212E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.30000000000000E+003 -.37755123245163E-032 0.00000000000000E+000
   5 -.35175505292401E+000 0.55193370532097E-015 -.52137579846826E-039 -.12577272139625E-038 0.22659191879079E+000 0.87446157482369E-035 0.36893688048084E-033 0.89544243518887E-036 -.49313673724262E-039 -.61187655436508E-040 0.14400383818069E-029 0.34081758152039E-001 0.14849657988938E-038 -.90443979923159E-046 -.39742595641307E-039 0.52502008351775E-034 -.12799763077920E-036 0.26867694273682E-036 -.27833015688210E-036 0.27954587168178E-034 -.99348121893347E-039 0.21283023828273E-038 0.73932632305717E+000 -.88555472963871E-046 0.29999999999999E+003 0.13368960110151E+000 -.15649619001421E+003 0.10000000000000E+001 0.42477338315211E+003 0.10000000000000E+006 0.11262223852669E-002 0.28091833464225E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999999E+003 0.24352929003148E-029 0.33900792012093E-036
   6 -.31481787957888E+000 0.19362997634133E-012 -.12999058968010E-037 -.42384850621659E-036 0.22659191878692E+000 0.13767685096338E-032 0.31669854107239E-032 0.55420704669121E-034 -.83158046178497E-038 -.14958963180549E-039 0.21957246930152E-027 0.34081758151479E-001 0.23150666113405E-037 -.73999708570615E-045 -.65048119149259E-038 0.89479820992565E-032 -.13806086964618E-035 0.26265487524529E-034 -.27209161630145E-034 0.46857711282665E-032 -.40105017914562E-038 0.85915651037591E-038 0.73932632306141E+000 -.96956385041199E-045 0.29999999999800E+003 0.11607598599023E+000 -.15649619001370E+003 0.10000000000000E+001 0.42477338315193E+003 0.10000000000000E+006 0.11262223852715E-002 0.28091833464153E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999999800E+003 0.37390296596836E-027 0.00000000000000E+000
   7 -.27811789014734E+000 0.27341811723290E-010 0.13278163333300E-034 0.94915321035049E-028 0.22659191852192E+000 0.15775177190577E-030 0.46520669131617E-028 0.21155957491902E-025 -.38477938817644E-041 0.21507108281818E-044 0.17202381816755E-025 0.34081758109999E-001 0.76555702250710E-031 -.33992593980750E-034 -.33656817310616E-041 0.18220380187760E-025 -.56403731557541E-033 0.19734360519395E-032 -.20448871372069E-032 0.42363504660018E-030 -.12684427678908E-037 0.15004825209372E-036 0.73932632334074E+000 0.11886222050266E-043 0.29999999984728E+003 0.98660022937066E-001 -.15649618997864E+003 0.10000000000000E+001 0.42477338314446E+003 0.10000000000000E+006 0.11262223854396E-002 0.28091833454232E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999984728E+003 0.50332067038550E-025 0.10825773951944E-029
   8 -.24200703989677E+000 0.16624382801388E-008 0.38948912591472E-030 0.89603085528163E-020 0.22659191028248E+000 0.26264824899237E-022 -.69015903768543E-019 -.52371246080329E-024 0.67123207724197E-041 0.35324334762837E-042 0.13269562516386E-021 0.34081756765180E-001 -.12797723492499E-021 0.71699204748266E-025 0.34988268181832E-041 0.12847959095188E-023 -.16748673874683E-029 0.11430736153389E-026 -.10589892868532E-030 0.21485294967876E-027 0.34055255552591E-035 -.20498699474151E-027 0.73932633128990E+000 0.23926102329607E-042 0.29999999490245E+003 0.81750865184860E-001 -.15649618888503E+003 0.10000000000000E+001 0.42477338339212E+003 0.10000000000000E+006 0.11262223801630E-002 0.28091832859584E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999999490245E+003 0.11635393655349E-017 0.10193144771702E-029
   9 -.20742584885468E+000 0.44332002911569E-007 0.75187848033217E-026 0.10411959185038E-015 0.22659179905856E+000 0.20094232370481E-017 0.32198930186286E-011 0.10120044090753E-015 0.84618873358099E-032 0.24486952737630E-033 0.45360377128637E-016 0.34081738169537E-001 0.66817812157495E-014 -.48084794245173E-017 0.47947316511371E-032 -.10166767574322E-018 -.31184843232304E-023 -.76931234653811E-019 -.10011428242143E-027 -.13830930684000E-019 0.48419641578013E-030 0.10729294817305E-019 0.73932641843667E+000 0.16040094061776E-037 0.29999992424378E+003 0.66148493844447E-001 -.15649617571646E+003 0.10000000000000E+001 0.42477340214747E+003 0.10000000000000E+006 0.11262220239888E-002 0.28091817358946E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999992424378E+003 0.92300435952725E-013 0.16647601169754E-029
  10 -.17677825704776E+000 0.49816879818354E-006 0.63015171280747E-022 0.36267102427482E-013 0.22659135393884E+000 0.48535618106803E-014 0.35302290551382E-007 0.17105507533166E-010 0.21520349619086E-024 0.10592457230829E-025 0.82068507711693E-012 0.34081524078763E-001 0.12012697691227E-008 0.22825442183033E-010 0.17188580287811E-024 0.50933435453197E-012 0.21337286300117E-016 0.36276648879416E-012 0.71927792587942E-021 0.70754972914733E-013 0.45912877406839E-027 0.25240946909671E-014 0.73932658726830E+000 0.85864986724775E-033 0.29999952457990E+003 0.53311903736225E-001 -.15649606835371E+003 0.10000000000000E+001 0.42477368399288E+003 0.10000000000000E+006 0.11262170102288E-002 0.28091654874552E+002 0.10000000000000E+001 0.10000000000000E+001 0.29999952457990E+003 0.22611827087089E-009 0.40542245379614E-026
