[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          28

[TIME]
0.000000000000000E+00
[INLET]
, Tinlet =  300.001666.00 K, Pinlet =  100000.00 Pa.
[COMMENT]
Counterflow flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Stretch         
   1 -.50000000000000E+000 0.00000000000000E+000 0.53358525246979E-039 0.00000000000000E+000 -.15128958194788E-037 0.32082502162705E-070 -.32082502162705E-070 0.15128958194788E-037 0.00000000000000E+000 0.00000000000000E+000 0.15662543447258E-037 -.15662543447258E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37757096506038E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.46570589823725E+000 0.00000000000000E+000 0.53358525246979E-039 0.36567079623505E-052 -.15143734046030E-037 -.45527342403941E-037 0.45542118255184E-037 0.15128958194788E-037 0.59080351078254E-073 0.16491207749236E-067 0.61189885851199E-037 -.61204661702441E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.14775851242603E-040 0.36567079623505E-052 0.00000000000000E+000 0.47401884793512E-074 0.82949795999341E-066 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.10554306722145E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.43141181484529E+000 0.00000000000000E+000 0.53358525246979E-039 0.76199540752458E-052 -.15159748542021E-037 -.76504323716559E-037 0.76535114063792E-037 0.15128958194788E-037 0.17698755258434E-072 0.57751337450112E-067 0.92166867163816E-037 -.92197657511050E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.30790347233232E-040 0.76199540752458E-052 0.00000000000000E+000 0.20583525575229E-073 0.36019648898986E-065 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.79710176788147E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.39711782084798E+000 0.00000000000000E+000 0.53358525246979E-039 0.11914353568631E-051 -.15177101146808E-037 -.88181316964593E-037 0.88229459916613E-037 0.15128958194788E-037 0.30851756679386E-072 0.10409576557582E-066 0.10384386041185E-036 -.10389200336387E-036 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.48142952019799E-040 0.11914353568631E-051 0.00000000000000E+000 0.50321783346025E-073 0.88059402723310E-065 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.14985479134872E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.36282424309832E+000 0.00000000000000E+000 0.53358525246979E-039 0.16550260613283E-051 -.15195833699030E-037 -.69281224060804E-037 0.69348099565046E-037 0.15128958194788E-037 0.35727825287646E-072 0.11365495122183E-066 0.84943767508061E-037 -.85010643012304E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.66875504242067E-040 0.16550260613283E-051 0.00000000000000E+000 0.97101229586761E-073 0.16991997724549E-064 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.37611708285340E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.32853218152228E+000 0.00000000000000E+000 0.53358525246979E-039 0.21540774158560E-051 -.15215999128298E-037 -.14156008332953E-037 0.14243049266464E-037 0.15128958194788E-037 0.19423342309848E-072 0.30381782134649E-067 0.29818551780211E-037 -.29905592713721E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.87040933510258E-040 0.21540774158560E-051 0.00000000000000E+000 0.16448930683442E-072 0.28784413331716E-064 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.29071432773342E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.29424417081947E+000 0.00000000000000E+000 0.53358525246979E-039 0.27012560391959E-051 -.15238109261305E-037 0.10915106651745E-039 0.00000000000000E+000 0.15128958194788E-037 0.15580759043637E-072 0.28719199446618E-075 0.15553392380740E-037 -.15662543447257E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.10915106651745E-039 0.27012560391959E-051 0.00000000000000E+000 0.25867029434164E-072 0.45265390269176E-064 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.37521181110464E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.25996441514804E+000 0.00000000000000E+000 0.53358525246979E-039 0.33406124927747E-051 -.15263944072141E-037 -.16279081745629E-037 0.16414067622983E-037 0.15128958194787E-037 0.31777287256211E-072 0.54298931211213E-067 0.31941625192885E-037 -.32076611070239E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.13498587735372E-039 0.33406124927747E-051 0.00000000000000E+000 0.39560999677884E-072 0.69228826387504E-064 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.27672556345854E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.22570374290212E+000 0.61716893631528E-043 -.19133764781229E-035 0.62408451565758E-044 -.22569556573704E-035 -.97643310068119E-037 0.23346428614299E-036 0.21211346812956E-035 -.13565421474303E-036 0.40247272782926E-042 0.24895974166936E-036 -.24912689923309E-036 0.17215829018893E-036 0.00000000000000E+000 -.36504485843369E-037 0.84078579878316E-038 -.82406924993668E-038 0.11696744994795E-037 -.11696744996009E-037 0.12132599301708E-047 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.47128476926854E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.19152690122428E+000 0.34368439678904E-043 -.10652702602342E-035 0.31200808297633E-039 -.12503556871817E-035 -.23149342904376E-036 0.29125906182945E-036 0.11902780497884E-035 -.59561300698436E-037 0.17671252758765E-042 0.30671713780259E-036 -.30692164312702E-036 0.67340565623287E-037 0.00000000000000E+000 -.77794451168701E-038 0.19218861463611E-037 -.19014352659696E-037 0.22990365667809E-037 -.22990365670193E-037 0.23847052711791E-047 -.31200460762113E-039 0.31200460762113E-039 0.00000000000000E+000 0.00000000000000E+000 0.26399837100444E-030 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
